region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;has_educational_record;school_year;school_network;education_level;school_grades;approval_rate;performance_indicator;saeb_math_score;saeb_portuguese_score;saeb_standardized_average_score;ideb;ideb_projection;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021
1;Norte;12;AC;Acre;1200013;Acrelândia;True;2023;publica;medio;todos (1-4);77.2;0.78646;262.95;261.66;4.299698;3.4;;502663.016;35850.73;445829.309;31797.25;398724.884;25362.56;157857.659;13439.221;91388.786;114911.158;377596.825;21128.059;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita
1;Norte;12;AC;Acre;1200054;Assis Brasil;True;2023;publica;medio;todos (1-4);86.0;0.866122;266.78;267.12;4.435227;3.8;;187366.498;23131.67;164920.809;20360.59;133916.175;17507.67;44810.294;3943.744;20601.455;61986.011;131341.504;2574.671;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
1;Norte;12;AC;Acre;1200104;Brasiléia;True;2023;publica;medio;todos (1-4);94.5;0.946945;271.22;268.43;4.517197;4.3;;929800.488;35761.56;820792.843;31568.96;685636.225;25278.78;185723.919;45440.044;171335.056;203111.807;605610.826;80025.399;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
1;Norte;12;AC;Acre;1200138;Bujari;True;2023;publica;medio;todos (1-4);88.7;0.886603;245.62;246.36;3.827257;3.4;;365418.786;28289.76;344752.47;26689.83;300830.265;28455.38;168855.771;8390.806;36997.695;81805.917;296050.189;4780.076;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita
1;Norte;12;AC;Acre;1200179;Capixaba;True;2023;publica;medio;todos (1-4);81.4;0.827358;261.79;262.08;4.289693;3.5;;530656.841;51063.98;717612.049;69054.28;512352.894;41722.55;342298.272;13142.103;52997.489;94528.186;502966.051;9386.843;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária
1;Norte;12;AC;Acre;1200203;Cruzeiro do Sul;True;2023;publica;medio;todos (1-4);87.3;0.885849;265.97;267.59;4.430886;3.9;;2680143.051;29167.5;2313075.195;25172.77;2058629.669;22934.82;100356.957;167725.301;900139.923;696401.756;1864623.937;194005.732;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
1;Norte;12;AC;Acre;1200252;Epitaciolândia;True;2023;publica;medio;todos (1-4);91.8;0.923534;265.33;269.05;4.443754;4.1;;793426.711;42300.3;776867.616;41417.48;644541.502;33960.77;160895.347;22539.976;246925.145;143215.398;573575.866;70965.636;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;Demais serviços
1;Norte;12;AC;Acre;1200302;Feijó;True;2023;publica;medio;todos (1-4);90.9;0.928951;254.63;250.52;4.016078;3.7;;741343.805;20926.55;639843.594;18061.41;567040.488;16207.64;172858.325;24430.691;103189.963;248872.237;549351.216;17689.272;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
1;Norte;12;AC;Acre;1200328;Jordão;True;2023;publica;medio;todos (1-4);90.0;0.936562;251.72;264.58;4.185686;3.9;;150648.095;16335.73;136531.072;14804.93;113975.208;13209.92;21976.924;2459.774;14030.504;73684.212;112151.415;1823.793;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
1;Norte;12;AC;Acre;1200336;Mâncio Lima;True;2023;publica;medio;todos (1-4);85.4;0.855859;250.25;256.68;4.046776;3.5;;339224.183;17581.85;289345.138;14991.98;269204.838;13704.87;53380.808;13659.005;48626.059;147681.74;263347.612;5857.226;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
