region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;has_educational_record;school_year;school_network;education_level;school_grades;approval_rate;performance_indicator;saeb_math_score;saeb_portuguese_score;saeb_standardized_average_score;ideb;ideb_projection;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021
2;Nordeste;27;AL;Alagoas;2700102;Água Branca;True;2023;publica;medio;todos (1-4);97.5;0.973958;259.5;257.74;4.19256;4.1;;246052.188;12832.6;218171.81;11477.89;202705.02;10003.7;34102.722;6900.23;46774.129;108512.583;196289.664;6415.355;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;27;AL;Alagoas;2700201;Anadia;True;2023;publica;medio;todos (1-4);90.1;0.91091;250.25;248.75;3.928064;3.6;;276951.671;19830.42;234236.944;16960.17;250500.324;14308.58;87012.19;14073.951;47812.205;93058.729;241957.075;8543.249;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2;Nordeste;27;AL;Alagoas;2700300;Arapiraca;True;2023;publica;medio;todos (1-4);93.1;0.934626;274.33;279.76;4.730488;4.4;;6880940.082;29318.52;5859831.25;24967.75;5916237.941;25249.73;1159463.243;466663.138;2675436.489;952828.767;5254391.637;661846.304;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;Comércio e reparação de veículos automotores e motocicletas
2;Nordeste;27;AL;Alagoas;2700409;Atalaia;True;2023;publica;medio;todos (1-4);95.4;0.953558;255.76;255.55;4.107248;3.9;;1637106.831;43642.22;1135583.114;30272.53;1500459.65;31562.05;888066.539;92736.966;219985.033;251802.498;1452591.036;47868.613;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2;Nordeste;27;AL;Alagoas;2700508;Barra de Santo Antônio;True;2023;publica;medio;todos (1-4);97.7;0.978756;257.93;256.47;4.151498;4.1;;358500.789;21906.56;268712.346;16419.94;262046.828;16174.73;107404.498;13175.464;46809.102;88312.073;255701.137;6345.691;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Produção florestal, pesca e aquicultura
2;Nordeste;27;AL;Alagoas;2700607;Barra de São Miguel;True;2023;publica;medio;todos (1-4);78.6;0.776427;261.76;262.63;4.297506;3.3;;304435.563;38322.7;259441.556;32658.81;238456.185;28273.2;42233.334;28737.927;102825.383;49912.7;223709.343;14746.841;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Produção florestal, pesca e aquicultura
2;Nordeste;27;AL;Alagoas;2700706;Batalha;True;2023;publica;medio;todos (1-4);95.2;0.952624;268.59;271.01;4.518882;4.3;;308733.305;18405.47;247802.949;15065.84;229982.453;12471.93;33768.811;11765.661;68514.221;102911.283;216959.976;13022.477;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2;Nordeste;27;AL;Alagoas;2700805;Belém;True;2023;publica;medio;todos (1-4);97.1;0.967708;244.76;237.72;3.685837;3.6;;187160.23;39635.8;145721.211;30860.06;191336.348;45275.99;137598.741;4535.098;17461.337;30642.609;190237.785;1098.563;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2;Nordeste;27;AL;Alagoas;2700904;Belo Monte;True;2023;publica;medio;todos (1-4);95.6;0.949316;250.4;243.36;3.849482;3.7;;196376.816;33934.13;111702.348;18817.78;151407.058;22540.88;76750.475;16365.751;15593.432;39973.116;148682.774;2724.283;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária
2;Nordeste;27;AL;Alagoas;2701001;Boca da Mata;True;2023;publica;medio;todos (1-4);100.0;1.0;261.38;255.54;4.186031;4.2;;565490.707;26690.46;425181.351;20068.03;506080.912;18450.58;217957.807;41939.584;94290.228;130748.039;484935.658;21145.254;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2;Nordeste;27;AL;Alagoas;2701100;Branquinha;True;2023;publica;medio;todos (1-4);100.0;1.0;255.01;255.79;4.100307;4.1;;849267.199;88437.7;643725.072;67033.75;775435.38;74375.16;658730.791;10645.58;48282.094;55583.124;773241.588;2193.792;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2;Nordeste;27;AL;Alagoas;2701209;Cacimbinhas;True;2023;publica;medio;todos (1-4);100.0;1.0;257.82;257.25;4.16163;4.2;;195082.744;18620.1;171398.818;16361.09;140486.703;12865.08;45893.75;4869.681;28589.083;57065.281;136417.795;4068.908;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2;Nordeste;27;AL;Alagoas;2701308;Cajueiro;True;2023;publica;medio;todos (1-4);95.3;0.95479;250.14;246.7;3.89583;3.7;;223747.585;13677.34;207396.563;12942.87;207919.19;9717.21;38159.218;5459.316;47597.432;110996.438;202212.405;5706.785;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;27;AL;Alagoas;2701357;Campestre;True;2023;publica;medio;todos (1-4);93.9;0.941155;252.39;244.27;3.891054;3.7;;109805.49;16474.94;91713.199;13760.42;87777.208;12589.96;29739.831;1842.531;16167.228;38306.979;86056.569;1720.639;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2;Nordeste;27;AL;Alagoas;2701407;Campo Alegre;True;2023;publica;medio;todos (1-4);87.1;0.876037;261.4;261.31;4.272689;3.7;;884684.562;27555.12;669688.755;20858.68;734765.521;12669.03;150205.571;100780.896;149056.297;282074.311;682117.075;52648.446;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2;Nordeste;27;AL;Alagoas;2701506;Campo Grande;False;;;;;;;;;;;;113469.687;13934.63;105162.664;12916.07;106141.611;11084.13;21789.035;5158.106;20726.974;55226.227;102900.343;3241.269;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;27;AL;Alagoas;2701605;Canapi;True;2023;publica;medio;todos (1-4);100.0;1.0;259.07;249.97;4.070204;4.1;;235141.067;15292.73;204471.092;13141.66;166520.676;9399.98;21849.944;3587.989;39071.417;96165.058;160674.408;5846.268;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2;Nordeste;27;AL;Alagoas;2701704;Capela;True;2023;publica;medio;todos (1-4);94.4;0.948965;253.75;253.44;4.047431;3.8;;250652.573;16916.55;233253.701;15517.14;248032.377;14670.4;72304.449;6885.346;61276.434;100668.962;241135.191;6897.186;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
