region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;has_educational_record;school_year;school_network;education_level;school_grades;approval_rate;performance_indicator;saeb_math_score;saeb_portuguese_score;saeb_standardized_average_score;ideb;ideb_projection;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021
1;Norte;13;AM;Amazonas;1300029;Alvarães;True;2023;publica;medio;todos (1-4);73.3;0.728945;234.82;234.36;3.495931;2.5;;242584.495;15289.58;222261.723;14008.68;217332.509;13255.22;66407.124;10232.344;32275.709;104372.105;213287.281;4045.227;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
1;Norte;13;AM;Amazonas;1300060;Amaturá;True;2023;publica;medio;todos (1-4);91.3;0.914603;237.67;229.8;3.467696;3.2;;134731.625;12453.24;124174.907;11477.48;118871.741;9960.76;13548.264;5176.561;19563.875;77746.18;116034.88;2836.861;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
1;Norte;13;AM;Amazonas;1300086;Anamã;True;2023;publica;medio;todos (1-4);86.0;0.858984;238.27;236.91;3.58256;3.1;;154694.426;15528.45;135488.422;13600.52;138599.397;9697.69;36623.922;6641.347;20013.702;72409.641;135688.612;2910.785;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
1;Norte;13;AM;Amazonas;1300102;Anori;True;2023;publica;medio;todos (1-4);93.7;0.938456;255.72;257.63;4.137824;3.9;;297170.704;17283.4;252603.104;14691.35;248435.25;11324.94;83154.828;10306.785;33232.566;115607.169;242301.348;6133.902;Administração, defesa, educação e saúde públicas e seguridade social;Produção florestal, pesca e aquicultura;Demais serviços
1;Norte;13;AM;Amazonas;1300144;Apuí;True;2023;publica;medio;todos (1-4);78.5;0.788698;257.37;251.89;4.07507;3.2;;386133.301;18701.67;321020.398;15548.04;297810.086;13096.89;84455.832;24728.401;59992.079;113588.958;282765.269;15044.817;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
1;Norte;13;AM;Amazonas;1300201;Atalaia do Norte;True;2023;publica;medio;todos (1-4);80.3;0.801234;227.13;225.22;3.251099;2.6;;206768.902;13501.95;177564.771;11594.93;184947.271;8862.72;26576.167;5315.828;25012.825;123688.707;180593.528;4353.744;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
1;Norte;13;AM;Amazonas;1300300;Autazes;True;2023;publica;medio;todos (1-4);83.4;0.835606;241.17;241.12;3.686314;3.1;;584989.752;14074.43;567927.776;13658.02;506340.588;12348.26;118723.645;31985.203;95443.012;238317.386;484469.246;21871.342;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
1;Norte;13;AM;Amazonas;1300409;Barcelos;True;2023;publica;medio;todos (1-4);88.0;0.878787;245.9;245.05;3.811579;3.3;;242100.261;12854.43;207958.551;11043.42;245621.569;8844.22;31861.9;19069.033;41808.891;146399.995;239139.819;6481.75;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
1;Norte;13;AM;Amazonas;1300508;Barreirinha;True;2023;publica;medio;todos (1-4);87.7;0.877848;238.58;235.57;3.566854;3.1;;398068.438;12819.83;377493.439;12151.73;344889.507;10476.91;52170.922;16600.356;57523.414;208089.569;334384.261;10505.246;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
1;Norte;13;AM;Amazonas;1300607;Benjamin Constant;True;2023;publica;medio;todos (1-4);95.6;0.95621;231.42;221.19;3.251023;3.1;;469445.192;12469.33;390615.591;10375.47;388780.899;8664.03;36798.708;24291.26;64580.178;251028.324;376698.469;12082.43;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
