region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;has_educational_record;school_year;school_network;education_level;school_grades;approval_rate;performance_indicator;saeb_math_score;saeb_portuguese_score;saeb_standardized_average_score;ideb;ideb_projection;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021
1;Norte;16;AP;Amapá;1600055;Serra do Navio;True;2023;publica;medio;todos (1-4);80.3;0.787791;239.0;234.06;3.550148;2.8;;126543.789;27079.78;99725.003;21340.68;92138.896;16521.23;3926.101;4403.386;15663.341;64932.751;88925.579;3213.317;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
1;Norte;16;AP;Amapá;1600105;Amapá;False;;;;;;;;;;;;219044.853;27577.09;184055.672;23172.06;159527.756;17218.32;28583.102;4594.977;26863.333;95507.175;155548.587;3979.168;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
1;Norte;16;AP;Amapá;1600154;Pedra Branca do Amapari;True;2023;publica;medio;todos (1-4);92.2;0.92988;252.82;263.8;4.189459;3.9;;375826.783;29254.05;391427.154;30468.37;453332.697;25721.0;7110.505;142227.968;55803.822;192839.348;397981.644;55351.053;Administração, defesa, educação e saúde públicas e seguridade social;Construção;Demais serviços
1;Norte;16;AP;Amapá;1600204;Calçoene;False;;;;;;;;;;;;295400.671;27836.47;231683.745;21832.24;186851.738;16257.87;16007.332;10558.928;38438.997;113900.615;178905.872;7945.866;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
1;Norte;16;AP;Amapá;1600212;Cutias;True;2023;publica;medio;todos (1-4);86.0;0.866607;237.59;238.95;3.603548;3.1;;115359.475;25859.56;94530.609;21190.45;94992.099;15279.41;22728.846;1951.392;8393.777;60376.803;93450.817;1541.282;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
1;Norte;16;AP;Amapá;1600238;Ferreira Gomes;True;2023;publica;medio;todos (1-4);85.0;0.848946;244.98;260.7;4.032939;3.4;;557990.114;83706.89;478972.318;71853.03;578736.652;71001.92;3229.019;439810.403;28152.457;101349.705;572541.584;6195.069;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
1;Norte;16;AP;Amapá;1600253;Itaubal;False;;;;;;;;;;;;132722.74;23704.72;108364.672;19354.29;87878.458;15336.55;11715.57;2495.382;9177.287;62281.954;85670.193;2208.265;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
1;Norte;16;AP;Amapá;1600279;Laranjal do Jari;True;2023;publica;medio;todos (1-4);85.0;0.853034;258.24;269.78;4.355103;3.7;;1335225.46;38025.44;1168830.466;33286.74;1134544.13;21692.17;13271.415;366792.267;196684.201;525104.315;1101852.198;32691.933;Administração, defesa, educação e saúde públicas e seguridade social;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Demais serviços
1;Norte;16;AP;Amapá;1600303;Macapá;True;2023;publica;medio;todos (1-4);84.4;0.847435;257.62;269.24;4.338312;3.7;;18470857.969;41701.25;15571144.823;35154.63;12938091.016;24768.68;71439.507;1069060.327;5643502.592;4962327.996;11746330.422;1191760.593;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
1;Norte;16;AP;Amapá;1600402;Mazagão;True;2023;publica;medio;todos (1-4);88.8;0.891626;242.85;243.26;3.741946;3.3;;583553.165;26617.09;468715.056;21384.94;374987.092;16689.83;27650.66;33320.478;57293.868;235717.633;353982.639;21004.453;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias de transformação
