region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;has_educational_record;school_year;school_network;education_level;school_grades;approval_rate;performance_indicator;saeb_math_score;saeb_portuguese_score;saeb_standardized_average_score;ideb;ideb_projection;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021
2;Nordeste;29;BA;Bahia;2900108;Abaíra;True;2023;publica;medio;todos (1-4);98.7;0.987242;277.5;272.17;4.661387;4.6;;84853.976;11622.24;79219.551;10850.51;70036.719;8067.82;5645.005;2519.128;21864.093;36780.918;66809.144;3227.575;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;29;BA;Bahia;2900207;Abaré;True;2023;publica;medio;todos (1-4);97.5;0.974567;246.54;241.88;3.773113;3.7;;224238.542;12712.66;206161.515;11687.82;208481.098;10123.39;25259.572;11206.016;67106.232;87825.186;191397.006;17084.093;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2;Nordeste;29;BA;Bahia;2900306;Acajutiba;True;2023;publica;medio;todos (1-4);86.9;0.848148;241.67;240.45;3.683307;3.1;;186446.172;13515.49;157503.769;11417.45;144340.89;9487.37;24598.617;7391.122;43322.968;63685.497;138998.204;5342.687;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;29;BA;Bahia;2900355;Adustina;True;2023;publica;medio;todos (1-4);95.7;0.962925;268.84;274.29;4.571495;4.4;;275493.875;19399.61;368395.122;25943.32;240507.055;13975.66;108042.607;9535.009;45173.868;70543.437;233294.921;7212.134;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2;Nordeste;29;BA;Bahia;2900405;Água Fria;True;2023;publica;medio;todos (1-4);96.4;0.963527;246.37;249.61;3.886444;3.7;;174798.461;12057.56;159896.355;11029.62;158357.102;9262.82;34768.81;12037.177;31623.275;72435.984;150865.246;7491.856;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
2;Nordeste;29;BA;Bahia;2900504;Érico Cardoso;True;2023;publica;medio;todos (1-4);96.2;0.96291;267.3;269.19;4.473518;4.3;;102934.025;9707.09;89979.906;8485.47;77947.069;7414.35;7236.006;6056.813;20498.143;41369.871;75160.833;2786.236;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;29;BA;Bahia;2900603;Aiquara;True;2023;publica;medio;todos (1-4);99.1;0.992558;247.79;270.57;4.22016;4.2;;75418.036;16959.31;63586.611;14301.98;53699.466;12240.59;14798.687;2516.606;10384.931;24622.559;52322.782;1376.684;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2;Nordeste;29;BA;Bahia;2900702;Alagoinhas;True;2023;publica;medio;todos (1-4);90.7;0.934875;264.0;274.01;4.499326;4.2;;5705227.49;37769.21;5150945.94;34097.55;4533419.568;29625.74;123134.438;1169443.865;1814750.929;624234.166;3731563.398;801856.17;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social
2;Nordeste;29;BA;Bahia;2900801;Alcobaça;True;2023;publica;medio;todos (1-4);98.0;0.976869;257.93;259.34;4.194462;4.1;;439081.541;17899.78;365754.053;14910.48;347521.385;15439.22;81418.809;32807.139;102762.43;107331.278;324319.656;23201.73;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;29;BA;Bahia;2900900;Almadina;True;2023;publica;medio;todos (1-4);90.4;0.89949;239.4;257.23;3.902622;3.5;;79710.606;15276.08;71248.189;13654.31;62839.1;11917.14;18644.017;2955.727;13050.565;26543.168;61193.477;1645.624;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;29;BA;Bahia;2901007;Amargosa;True;2023;publica;medio;todos (1-4);88.0;0.881518;256.03;257.62;4.142028;3.7;;608765.198;16668.91;534104.124;14624.18;463245.567;12310.21;34306.137;47548.415;197711.832;139664.352;419230.736;44014.831;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2;Nordeste;29;BA;Bahia;2901106;Amélia Rodrigues;True;2023;publica;medio;todos (1-4);90.7;0.91142;268.35;285.14;4.727038;4.3;;521349.037;21598.68;483418.635;20027.29;437827.407;17515.2;55706.71;74248.182;145817.505;105100.186;380872.584;56954.823;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias de transformação
2;Nordeste;29;BA;Bahia;2901155;América Dourada;True;2023;publica;medio;todos (1-4);97.1;0.963829;250.32;254.68;4.017819;3.9;;198616.016;13121.23;172892.166;11421.83;167875.859;10436.15;46344.555;11187.524;36665.411;64693.812;158891.301;8984.558;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
