region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;has_educational_record;school_year;school_network;education_level;school_grades;approval_rate;performance_indicator;saeb_math_score;saeb_portuguese_score;saeb_standardized_average_score;ideb;ideb_projection;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021
2;Nordeste;23;CE;Ceará;2300101;Abaiara;True;2023;publica;medio;todos (1-4);94.1;0.938879;264.93;266.53;4.400411;4.1;;143729.523;14318.54;126793.548;12631.36;117970.96;9859.67;23662.663;3052.829;29092.647;56904.091;112712.23;5258.73;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;23;CE;Ceará;2300150;Acarape;True;2023;publica;medio;todos (1-4);100.0;1.0;271.57;266.11;4.487382;4.5;;220474.376;15717.86;183506.602;13082.38;179994.282;11888.66;9311.684;34203.564;57169.15;68078.574;168762.971;11231.31;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias extrativas
2;Nordeste;23;CE;Ceará;2300200;Acaraú;True;2023;publica;medio;todos (1-4);98.5;0.985577;293.54;286.29;5.098045;5.0;;1250250.592;19156.82;1184672.454;18280.29;1020200.581;16051.99;133170.27;264941.961;289732.981;265681.611;953526.823;66673.758;Administração, defesa, educação e saúde públicas e seguridade social;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Demais serviços
2;Nordeste;23;CE;Ceará;2300309;Acopiara;True;2023;publica;medio;todos (1-4);99.4;0.993626;277.83;275.57;4.71692;4.7;;693534.939;15424.91;604192.176;13437.84;564519.851;10322.74;145254.33;19613.702;171030.614;190732.653;526631.299;37888.552;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2;Nordeste;23;CE;Ceará;2300408;Aiuaba;True;2023;publica;medio;todos (1-4);99.2;0.992304;265.39;264.75;4.380225;4.3;;169075.878;12011.64;146744.374;10425.15;151596.307;8621.26;34132.687;3098.332;33932.697;75084.278;146247.994;5348.313;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;23;CE;Ceará;2300507;Alcântaras;True;2023;publica;medio;todos (1-4);96.6;0.966862;279.14;277.91;4.770349;4.6;;115642.521;10171.74;105769.787;9303.35;98201.759;8289.87;8402.252;4789.1;26246.944;54764.208;94202.504;3999.254;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;23;CE;Ceará;2300606;Altaneira;True;2023;publica;medio;todos (1-4);97.9;0.97614;251.64;244.28;3.88067;3.8;;92127.661;13584.14;82200.933;12120.46;74653.984;9680.24;9573.989;2560.762;19194.212;40752.564;72081.527;2572.457;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;23;CE;Ceará;2300705;Alto Santo;True;2023;publica;medio;todos (1-4);95.4;0.955197;267.46;262.63;4.377562;4.2;;273863.485;19347.47;240389.488;16982.66;232267.743;14447.21;72845.033;10252.489;56940.885;81357.513;221395.92;10871.823;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2;Nordeste;23;CE;Ceará;2300754;Amontada;True;2023;publica;medio;todos (1-4);98.4;0.984537;268.43;273.29;4.550766;4.5;;808125.932;19169.89;684585.969;16239.35;665472.069;15057.63;54292.724;226017.734;147238.361;199441.792;626990.612;38481.458;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2;Nordeste;23;CE;Ceará;2300804;Antonina do Norte;True;2023;publica;medio;todos (1-4);96.4;0.96491;260.49;257.33;4.200327;4.1;;101190.958;13967.01;89237.596;12317.13;78953.405;10666.5;5681.154;2950.285;25682.15;40074.056;74387.646;4565.76;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2;Nordeste;23;CE;Ceará;2300903;Apuiarés;True;2023;publica;medio;todos (1-4);97.9;0.979798;277.23;281.92;4.803553;4.7;;166863.721;12907.16;134458.491;10428.8;120978.07;8206.35;11490.795;5448.445;35731.806;61698.904;114369.951;6608.119;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2;Nordeste;23;CE;Ceará;2301000;Aquiraz;True;2023;publica;medio;todos (1-4);96.9;0.969852;274.7;279.4;4.730295;4.6;;4851008.175;60152.62;4429049.626;55195.46;3854400.667;47246.3;94738.443;974486.869;1347196.141;434602.979;2851024.433;1003376.234;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social
2;Nordeste;23;CE;Ceará;2301109;Aracati;True;2023;publica;medio;todos (1-4);96.4;0.964408;270.57;274.0;4.591451;4.4;;1966473.133;26180.2;1791174.448;23846.71;1706227.209;22631.41;130620.874;529561.843;598728.841;297681.343;1556592.9;149634.308;Demais serviços;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Administração, defesa, educação e saúde públicas e seguridade social
2;Nordeste;23;CE;Ceará;2301208;Aracoiaba;True;2023;publica;medio;todos (1-4);97.5;0.976772;274.69;279.88;4.73734;4.6;;336284.104;13160.26;285456.949;11171.17;266421.718;10015.85;42995.4;10560.044;80018.686;117270.737;250844.867;15576.851;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;23;CE;Ceará;2301257;Ararendá;True;2023;publica;medio;todos (1-4);100.0;1.0;385.54;317.39;6.855749;6.9;;143424.021;12925.74;117633.625;10601.44;106783.977;9722.66;13293.024;5562.87;27873.765;55233.412;101963.072;4820.906;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;23;CE;Ceará;2301307;Araripe;True;2023;publica;medio;todos (1-4);93.3;0.936042;278.64;286.06;4.885333;4.6;;259167.904;13100.54;219194.164;11079.93;207981.617;9581.32;36361.151;8031.785;48531.004;107395.363;200319.303;7662.314;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;23;CE;Ceará;2301406;Aratuba;True;2023;publica;medio;todos (1-4);98.9;0.987829;260.18;259.24;4.224566;4.2;;191054.761;17021.99;159277.477;14190.79;151644.922;12896.07;51354.332;3979.614;32495.35;58320.008;146149.304;5495.619;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2;Nordeste;23;CE;Ceará;2301505;Arneiroz;True;2023;publica;medio;todos (1-4);98.6;0.985967;260.89;266.71;4.346364;4.3;;88078.487;11856.04;81650.575;10990.79;70223.605;8947.96;14423.335;1828.186;17066.303;33826.865;67144.689;3078.916;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2;Nordeste;23;CE;Ceará;2301604;Assaré;True;2023;publica;medio;todos (1-4);98.5;0.98463;268.4;264.68;4.421453;4.4;;309804.211;14278.67;273041.388;12584.29;237259.073;10080.26;44519.774;7705.809;75909.788;96688.701;224824.072;12435.001;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;23;CE;Ceará;2301703;Aurora;True;2023;publica;medio;todos (1-4);98.0;0.981884;276.96;275.0;4.696168;4.6;;291950.421;12311.31;250837.151;10577.6;216792.136;8824.53;31832.824;6992.288;65679.729;99767.628;204272.469;12519.667;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
