region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;has_educational_record;school_year;school_network;education_level;school_grades;approval_rate;performance_indicator;saeb_math_score;saeb_portuguese_score;saeb_standardized_average_score;ideb;ideb_projection;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021
3;Sudeste;32;ES;Espírito Santo;3200102;Afonso Cláudio;True;2023;publica;medio;todos (1-4);97.7;0.978773;287.38;284.89;4.990571;4.9;;740219.596;24123.96;704170.435;22949.11;569778.046;18788.43;128586.908;48979.656;196277.678;157075.061;530919.303;38858.742;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
3;Sudeste;32;ES;Espírito Santo;3200136;Águia Branca;True;2023;publica;medio;todos (1-4);99.7;0.997656;278.83;280.44;4.80387;4.8;;313557.518;32288.9;285359.077;29385.14;246002.446;25569.32;69292.967;23925.046;75295.943;56113.923;224627.879;21374.567;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
3;Sudeste;32;ES;Espírito Santo;3200169;Água Doce do Norte;True;2023;publica;medio;todos (1-4);98.4;0.984322;272.7;280.81;4.723313;4.6;;234306.619;19457.45;193867.98;16099.32;184399.688;17072.46;35850.465;26076.813;51037.666;61241.195;174206.139;10193.549;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
3;Sudeste;32;ES;Espírito Santo;3200201;Alegre;False;;;;;;;;;;;;702107.251;24063.72;615686.288;21101.77;575149.145;19255.72;72353.453;133957.364;201941.773;134753.986;543006.577;32142.568;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação
3;Sudeste;32;ES;Espírito Santo;3200300;Alfredo Chaves;True;2023;publica;medio;todos (1-4);99.5;0.995968;293.1;304.18;5.35968;5.3;;565384.874;40863.32;503090.108;36360.95;457722.918;31201.29;100174.554;91659.178;140580.336;82615.745;415029.813;42693.106;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social
3;Sudeste;32;ES;Espírito Santo;3200359;Alto Rio Novo;True;2023;publica;medio;todos (1-4);99.5;0.995289;279.82;287.37;4.921517;4.9;;152484.588;20511.78;128054.552;17225.52;113032.919;14288.07;26348.147;5259.733;30857.88;45621.751;108087.512;4945.407;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
3;Sudeste;32;ES;Espírito Santo;3200409;Anchieta;True;2023;publica;medio;todos (1-4);93.3;0.940044;305.4;304.57;5.538271;5.2;;2317578.734;77293.85;1812851.595;60460.63;5764186.103;190331.39;40268.586;4238345.458;1094528.302;250852.84;5623995.187;140190.916;Indústrias extrativas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
3;Sudeste;32;ES;Espírito Santo;3200508;Apiacá;True;2023;publica;medio;todos (1-4);96.7;0.966801;278.97;291.22;4.967213;4.8;;146814.376;20325.96;132066.536;18284.17;118191.414;15671.1;19530.803;5834.122;38434.154;43500.361;107299.439;10891.974;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
3;Sudeste;32;ES;Espírito Santo;3200607;Aracruz;True;2023;publica;medio;todos (1-4);94.7;0.949648;293.11;293.73;5.203383;4.9;;7724839.436;81515.74;6372857.764;67249.07;5313108.839;50629.0;79985.592;2627038.5;1304697.183;566579.569;4578300.844;734807.995;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
3;Sudeste;32;ES;Espírito Santo;3200706;Atílio Vivácqua;True;2023;publica;medio;todos (1-4);88.1;0.873687;266.61;261.66;4.351103;3.8;;453838.514;43058.68;400925.534;38038.48;360868.696;29410.65;21920.219;94298.25;105393.433;73985.013;295596.915;65271.781;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;Demais serviços
3;Sudeste;32;ES;Espírito Santo;3200805;Baixo Guandu;True;2023;publica;medio;todos (1-4);99.6;0.996658;282.13;280.46;4.850517;4.8;;910611.357;29686.75;892742.477;29104.21;928257.93;29691.9;52844.137;382634.566;258169.008;166346.586;859994.297;68263.633;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
3;Sudeste;32;ES;Espírito Santo;3200904;Barra de São Francisco;True;2023;publica;medio;todos (1-4);95.4;0.955527;292.9;287.35;5.104925;4.9;;1326676.964;31217.4;1174754.929;27642.59;1164996.859;25716.8;75624.136;341416.461;401364.324;219844.991;1038249.913;126746.946;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação
3;Sudeste;32;ES;Espírito Santo;3201001;Boa Esperança;True;2023;publica;medio;todos (1-4);99.5;0.995629;288.11;284.94;5.001572;5.0;;372418.31;27367.6;309700.853;22758.73;271045.672;17895.53;65207.679;15183.256;93095.472;78859.734;252346.141;18699.531;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
3;Sudeste;32;ES;Espírito Santo;3201100;Bom Jesus do Norte;True;2023;publica;medio;todos (1-4);98.4;0.982759;277.55;275.06;4.705353;4.6;;269758.037;26307.59;221084.982;21560.85;186829.835;18705.43;5936.116;22484.189;82834.013;55792.114;167046.432;19783.402;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
3;Sudeste;32;ES;Espírito Santo;3201159;Brejetuba;True;2023;publica;medio;todos (1-4);97.6;0.978938;284.95;288.04;5.003597;4.9;;342657.68;26388.73;491754.125;37870.94;294748.857;23674.61;128968.5;19827.877;66139.794;66767.679;281703.85;13045.008;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
3;Sudeste;32;ES;Espírito Santo;3201209;Cachoeiro de Itapemirim;True;2023;publica;medio;todos (1-4);96.1;0.967839;294.56;292.79;5.209677;5.0;;7593554.334;40872.59;6282575.274;33816.56;6146964.834;28971.61;80565.191;1531964.991;2727955.766;1000413.851;5340899.798;806065.036;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social
3;Sudeste;32;ES;Espírito Santo;3201308;Cariacica;True;2023;publica;medio;todos (1-4);96.5;0.974664;271.75;277.25;4.656677;4.5;;19710842.61;55760.52;14637850.578;41407.18;13698898.983;35443.92;20821.459;1673109.587;5874895.229;1581488.277;9150314.552;4548584.431;Comércio e reparação de veículos automotores e motocicletas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
3;Sudeste;32;ES;Espírito Santo;3201407;Castelo;True;2023;publica;medio;todos (1-4);93.0;0.931267;293.76;288.63;5.136165;4.8;;1395637.924;37791.44;1300851.106;35224.78;1170583.934;30840.55;112137.411;279117.427;421756.878;198043.097;1011054.814;159529.12;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação
3;Sudeste;32;ES;Espírito Santo;3201506;Colatina;True;2023;publica;medio;todos (1-4);94.9;0.954913;285.68;287.15;5.000526;4.8;;5157944.636;42971.05;4427118.552;36895.11;4378290.192;35228.39;127942.893;1130283.05;1964294.275;657832.221;3880352.439;497937.753;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social
3;Sudeste;32;ES;Espírito Santo;3201605;Conceição da Barra;True;2023;publica;medio;todos (1-4);98.9;0.990643;272.89;273.0;4.609065;4.6;;676074.457;24622.13;609139.25;22184.4;607064.319;19284.74;103950.844;91797.693;177039.948;178808.634;551597.119;55467.2;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
3;Sudeste;32;ES;Espírito Santo;3201704;Conceição do Castelo;True;2023;publica;medio;todos (1-4);93.0;0.939424;306.73;297.16;5.446023;5.1;;356678.843;29880.11;328816.857;27546.02;279074.054;21655.47;59572.226;26593.867;101683.197;68410.253;256259.542;22814.512;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
3;Sudeste;32;ES;Espírito Santo;3201803;Divino de São Lourenço;True;2023;publica;medio;todos (1-4);100.0;1.0;284.6;278.13;4.850328;4.9;;101957.606;20058.55;98082.078;19296.1;82577.364;19494.18;27969.516;5004.985;18413.791;27877.369;79265.661;3311.703;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
3;Sudeste;32;ES;Espírito Santo;3201902;Domingos Martins;True;2023;publica;medio;todos (1-4);98.3;0.982986;316.03;309.12;5.755683;5.7;;1294973.94;36564.66;1104696.858;31192.03;957718.297;28069.12;172884.295;149378.538;388190.985;172279.008;882732.825;74985.472;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita
