region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;has_educational_record;school_year;school_network;education_level;school_grades;approval_rate;performance_indicator;saeb_math_score;saeb_portuguese_score;saeb_standardized_average_score;ideb;ideb_projection;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021
5;Centro-oeste;52;GO;Goiás;5200050;Abadia de Goiás;True;2023;publica;medio;todos (1-4);100.0;1.0;273.32;285.58;4.803428;4.8;;477983.256;24988.67;405353.071;21191.61;353748.126;38627.22;14324.855;79643.857;155677.648;60678.175;310324.535;43423.592;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
5;Centro-oeste;52;GO;Goiás;5200100;Abadiânia;True;2023;publica;medio;todos (1-4);98.3;0.984504;271.11;276.55;4.637209;4.6;;633024.793;36735.42;544311.583;31594.59;445368.652;21337.07;81207.871;56946.179;168160.678;93489.322;399804.05;45564.602;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
5;Centro-oeste;52;GO;Goiás;5200134;Acreúna;True;2023;publica;medio;todos (1-4);100.0;1.0;280.79;279.84;4.822416;4.8;;1188179.252;55089.91;1456802.819;67544.64;1051903.257;46318.95;480043.203;71131.5;310693.241;116135.303;978003.246;73900.01;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
5;Centro-oeste;52;GO;Goiás;5200159;Adelândia;True;2023;publica;medio;todos (1-4);100.0;1.0;260.0;248.34;4.058864;4.1;;59485.587;25897.08;53664.318;23362.79;48809.836;19407.49;11914.353;3545.699;12209.371;18976.256;46645.68;2164.156;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
5;Centro-oeste;52;GO;Goiás;5200175;Água Fria de Goiás;True;2023;publica;medio;todos (1-4);100.0;1.0;281.01;270.47;4.685236;4.7;;476287.771;96142.06;616436.524;124432.08;533255.861;91264.05;389836.207;20265.647;70533.278;33486.417;514121.549;19134.312;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
5;Centro-oeste;52;GO;Goiás;5200209;Água Limpa;True;2023;publica;medio;todos (1-4);100.0;1.0;276.87;279.25;4.758527;4.8;;74935.31;40331.17;66332.045;35835.79;63866.678;35304.96;25089.902;2355.097;14060.132;19321.076;60826.206;3040.471;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
5;Centro-oeste;52;GO;Goiás;5200258;Águas Lindas de Goiás;True;2023;publica;medio;todos (1-4);97.4;0.975523;266.84;276.12;4.5708;4.5;;3062184.834;13567.92;2814336.754;12470.97;2463487.799;11054.47;6071.775;186286.133;1132537.631;901917.413;2226812.951;236674.848;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
5;Centro-oeste;52;GO;Goiás;5200308;Alexânia;True;2023;publica;medio;todos (1-4);98.1;0.981872;271.46;276.56;4.642274;4.6;;1832280.539;67842.14;1493904.867;55313.42;1128156.013;39779.83;105083.215;251302.051;460093.369;155999.091;972477.726;155678.287;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas
5;Centro-oeste;52;GO;Goiás;5200506;Aloândia;True;2023;publica;medio;todos (1-4);100.0;1.0;313.06;285.52;5.360676;5.4;;66408.229;33658.5;78700.887;39888.94;63742.508;32258.35;25349.454;2283.621;16604.493;15747.357;59984.926;3757.582;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
5;Centro-oeste;52;GO;Goiás;5200555;Alto Horizonte;True;2023;publica;medio;todos (1-4);98.8;0.988404;264.6;272.33;4.482603;4.4;;623005.66;102603.04;737307.708;121427.49;1280308.333;188391.46;22507.356;859699.765;224657.453;79589.071;1186453.646;93854.687;Indústrias extrativas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
