region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;has_educational_record;school_year;school_network;education_level;school_grades;approval_rate;performance_indicator;saeb_math_score;saeb_portuguese_score;saeb_standardized_average_score;ideb;ideb_projection;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021
3;Sudeste;31;MG;Minas Gerais;3100104;Abadia dos Dourados;True;2023;publica;medio;todos (1-4);93.5;0.937587;266.13;286.53;4.716666;4.4;;190396.516;30356.59;179485.464;28616.94;176730.073;25168.05;75110.576;10609.966;43375.457;38585.978;167681.977;9048.095;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
3;Sudeste;31;MG;Minas Gerais;3100203;Abaeté;True;2023;publica;medio;todos (1-4);77.9;0.785322;286.41;289.86;5.051348;4.0;;641970.992;28311.84;569165.637;25101.02;541135.868;23261.65;127033.876;40594.899;220366.054;108966.05;496960.879;44174.989;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária
3;Sudeste;31;MG;Minas Gerais;3100302;Abre Campo;True;2023;publica;medio;todos (1-4);90.0;0.906788;278.99;272.71;4.690398;4.3;;331512.387;23803.57;301984.737;21683.4;262668.33;19552.5;66751.611;14006.53;100226.086;61422.445;242406.671;20261.658;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita
3;Sudeste;31;MG;Minas Gerais;3100401;Acaiaca;True;2023;publica;medio;todos (1-4);89.4;0.897228;266.74;266.99;4.432719;4.0;;85065.9;21761.55;75588.102;19336.94;64892.356;16243.39;3563.593;12306.954;22200.75;23345.463;61416.761;3475.596;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias extrativas
3;Sudeste;31;MG;Minas Gerais;3100500;Açucena;True;2023;publica;medio;todos (1-4);88.7;0.887324;257.4;252.82;4.089413;3.6;;172093.758;19243.4;158448.9;17717.65;165795.99;17885.22;21964.548;75035.537;24500.72;41343.003;162843.808;2952.181;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
3;Sudeste;31;MG;Minas Gerais;3100609;Água Boa;True;2023;publica;medio;todos (1-4);90.9;0.913562;266.41;267.89;4.441557;4.1;;235422.116;18700.62;223378.515;17743.94;192064.905;14420.37;56490.598;7669.372;54780.869;63873.615;182814.454;9250.451;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
3;Sudeste;31;MG;Minas Gerais;3100708;Água Comprida;True;2023;publica;medio;todos (1-4);97.8;0.975157;258.16;264.06;4.268351;4.2;;330940.253;156992.53;238190.686;112993.68;230005.138;115813.26;154963.363;9949.164;39703.55;20053.535;224669.612;5335.526;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
3;Sudeste;31;MG;Minas Gerais;3100807;Aguanil;True;2023;publica;medio;todos (1-4);88.5;0.887998;275.28;288.86;4.880058;4.3;;111493.611;25589.54;110897.644;25452.75;94598.101;20758.85;33972.85;3193.004;26809.425;27140.709;91115.988;3482.113;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
3;Sudeste;31;MG;Minas Gerais;3100906;Águas Formosas;True;2023;publica;medio;todos (1-4);83.5;0.842196;263.01;270.01;4.425541;3.7;;362825.731;19667.48;310640.891;16836.9;287546.392;14910.37;21207.082;24021.94;128787.557;91588.988;265605.567;21940.825;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
3;Sudeste;31;MG;Minas Gerais;3101003;Águas Vermelhas;True;2023;publica;medio;todos (1-4);87.0;0.875747;267.26;261.49;4.357687;3.8;;278389.902;19832.58;290803.105;20716.9;236693.731;17332.58;52991.442;8903.823;88300.49;65954.424;216150.179;20543.552;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
3;Sudeste;31;MG;Minas Gerais;3101102;Aimorés;True;2023;publica;medio;todos (1-4);88.7;0.892878;266.91;271.11;4.496783;4.0;;793375.795;31397.2;723559.561;28634.28;637982.739;25401.45;62403.461;198204.927;218161.917;122602.555;601372.86;36609.879;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
3;Sudeste;31;MG;Minas Gerais;3101201;Aiuruoca;True;2023;publica;medio;todos (1-4);84.4;0.853985;300.5;300.71;5.411667;4.6;;154421.875;24774.89;133881.725;21479.5;128545.751;21607.96;36086.111;3032.313;51240.177;31536.171;121894.771;6650.98;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária
3;Sudeste;31;MG;Minas Gerais;3101300;Alagoa;True;2023;publica;medio;todos (1-4);91.7;0.924846;322.62;297.25;5.670544;5.2;;63839.679;23222.87;51305.672;18663.39;47699.152;17952.26;12807.848;2783.566;12137.637;17906.919;45635.97;2063.182;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
3;Sudeste;31;MG;Minas Gerais;3101409;Albertina;True;2023;publica;medio;todos (1-4);94.3;0.945641;298.16;299.11;5.354849;5.1;;90906.241;30794.8;176971.584;60092.22;153934.928;51056.36;18311.194;6168.609;76542.771;20671.727;121694.301;32240.627;Comércio e reparação de veículos automotores e motocicletas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
3;Sudeste;31;MG;Minas Gerais;3101508;Além Paraíba;True;2023;publica;medio;todos (1-4);89.6;0.903816;261.51;252.16;4.137258;3.7;;1045758.927;34044.96;915497.548;29804.26;971558.229;27415.72;13246.91;330854.988;404540.467;163827.62;912469.986;59088.243;Demais serviços;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Administração, defesa, educação e saúde públicas e seguridade social
