region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;has_educational_record;school_year;school_network;education_level;school_grades;approval_rate;performance_indicator;saeb_math_score;saeb_portuguese_score;saeb_standardized_average_score;ideb;ideb_projection;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021
5;Centro-oeste;50;MS;Mato Grosso do Sul;5000203;Água Clara;False;;;;;;;;;;;;1544633.286;92266.49;1718477.907;102650.85;1211925.182;75627.16;437794.807;352320.973;181127.601;139218.894;1110462.275;101462.907;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Produção florestal, pesca e aquicultura;Demais serviços
5;Centro-oeste;50;MS;Mato Grosso do Sul;5000252;Alcinópolis;True;2023;publica;medio;todos (1-4);86.5;0.974332;265.93;273.74;4.52239;4.4;;384368.067;84718.55;291925.709;64343.33;237904.41;43342.03;123963.725;8570.233;35896.421;53929.996;222360.374;15544.036;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita
5;Centro-oeste;50;MS;Mato Grosso do Sul;5000609;Amambai;True;2023;publica;medio;todos (1-4);87.3;0.874556;272.76;266.01;4.502599;3.9;;2426261.174;61697.68;2107400.859;53589.34;2033694.68;50530.34;575058.731;104045.306;768518.777;286134.391;1733757.205;299937.475;Agricultura, inclusive apoio à agricultura e a pós colheita;Comércio e reparação de veículos automotores e motocicletas;Demais serviços
5;Centro-oeste;50;MS;Mato Grosso do Sul;5000708;Anastácio;True;2023;publica;medio;todos (1-4);84.6;0.860963;255.88;262.03;4.205939;3.6;;783841.0;32505.64;964114.854;39993.15;609913.447;24073.0;141824.745;87227.152;166075.174;167535.076;562662.147;47251.3;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
5;Centro-oeste;50;MS;Mato Grosso do Sul;5000807;Anaurilândia;True;2023;publica;medio;todos (1-4);77.2;0.851032;261.1;261.81;4.27596;3.6;;623710.209;81498.79;438852.733;57343.88;410374.498;45016.95;204618.225;21679.656;80933.44;73747.496;380978.818;29395.68;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social
5;Centro-oeste;50;MS;Mato Grosso do Sul;5000856;Angélica;True;2023;publica;medio;todos (1-4);91.9;0.933082;250.05;256.04;4.034387;3.8;;1243471.217;115898.15;1013830.394;94494.4;883913.46;79768.38;444215.932;147320.973;150568.042;84082.117;826187.064;57726.396;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Indústrias de transformação
5;Centro-oeste;50;MS;Mato Grosso do Sul;5000906;Antônio João;True;2023;publica;medio;todos (1-4);88.6;0.890754;258.98;264.75;4.290197;3.8;;851780.994;91559.82;917074.913;98578.41;866590.014;95418.41;247294.367;17466.088;364115.302;67176.629;696052.385;170537.629;Comércio e reparação de veículos automotores e motocicletas;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
5;Centro-oeste;50;MS;Mato Grosso do Sul;5001003;Aparecida do Taboado;True;2023;publica;medio;todos (1-4);80.3;0.806774;259.71;261.75;4.25554;3.4;;2189221.716;79107.53;2245279.187;81133.16;1660199.249;62919.7;278535.172;748573.755;315031.136;175058.242;1517198.304;143000.946;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
5;Centro-oeste;50;MS;Mato Grosso do Sul;5001102;Aquidauana;True;2023;publica;medio;todos (1-4);85.7;0.868898;267.16;269.78;4.480384;3.9;;1437450.67;30712.79;1341941.172;28672.12;1116844.16;23178.73;226683.112;92770.038;387659.097;317298.603;1024410.85;92433.31;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
5;Centro-oeste;50;MS;Mato Grosso do Sul;5001243;Aral Moreira;True;2023;publica;medio;todos (1-4);86.2;0.867015;252.2;253.46;4.02596;3.5;;1348751.703;125488.62;1184828.063;110237.07;1255600.93;100359.76;577099.317;45028.255;362335.734;97296.959;1081760.265;173840.665;Agricultura, inclusive apoio à agricultura e a pós colheita;Comércio e reparação de veículos automotores e motocicletas;Demais serviços
5;Centro-oeste;50;MS;Mato Grosso do Sul;5001508;Bandeirantes;False;;;;;;;;;;;;1001346.231;126114.13;1076854.73;135624.02;780113.614;107143.75;497302.754;28141.709;124784.502;68046.431;718275.396;61838.218;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
5;Centro-oeste;50;MS;Mato Grosso do Sul;5001904;Bataguassu;True;2023;publica;medio;todos (1-4);98.5;0.985316;263.03;277.33;4.535403;4.5;;1841917.456;79975.57;1403351.852;60933.17;1055097.238;44669.65;85011.401;350539.299;322248.716;169531.672;927331.088;127766.15;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
5;Centro-oeste;50;MS;Mato Grosso do Sul;5002001;Batayporã;False;;;;;;;;;;;;784829.39;73266.37;637225.074;59487.03;603790.351;53113.16;250906.332;146448.487;88015.588;84481.563;569851.97;33938.38;Agricultura, inclusive apoio à agricultura e a pós colheita;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social
5;Centro-oeste;50;MS;Mato Grosso do Sul;5002100;Bela Vista;True;2023;publica;medio;todos (1-4);97.0;0.975541;259.92;260.75;4.243519;4.1;;1176300.428;54425.6;1098990.963;50848.61;931638.335;37502.55;314006.974;156573.446;211913.134;179182.657;861676.211;69962.124;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
5;Centro-oeste;50;MS;Mato Grosso do Sul;5002159;Bodoquena;False;;;;;;;;;;;;386420.183;45105.66;511355.209;59688.95;332560.558;42625.04;81004.818;91751.233;61203.15;67657.99;301617.191;30943.368;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
5;Centro-oeste;50;MS;Mato Grosso do Sul;5002209;Bonito;True;2023;publica;medio;todos (1-4);80.9;0.817469;256.33;260.86;4.194744;3.4;;1586576.757;67060.18;1312946.331;55494.58;1130066.674;50447.15;392625.95;74435.79;383924.412;161882.348;1012868.501;117198.173;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
