region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;has_educational_record;school_year;school_network;education_level;school_grades;approval_rate;performance_indicator;saeb_math_score;saeb_portuguese_score;saeb_standardized_average_score;ideb;ideb_projection;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021
5;Centro-oeste;51;MT;Mato Grosso;5100102;Acorizal;True;2023;publica;medio;todos (1-4);99.5;0.996644;258.47;245.06;3.988274;4.0;;169373.16;33780.05;143255.396;28571.08;109140.223;20557.59;12827.09;27602.444;20731.257;34813.185;95973.977;13166.246;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;Demais serviços
5;Centro-oeste;51;MT;Mato Grosso;5100201;Água Boa;True;2023;publica;medio;todos (1-4);96.8;0.972573;265.07;269.31;4.443994;4.3;;2479715.078;84866.53;2559709.277;87604.27;2000534.81;74985.37;837748.398;113732.173;665870.965;186787.182;1804138.718;196396.092;Agricultura, inclusive apoio à agricultura e a pós colheita;Comércio e reparação de veículos automotores e motocicletas;Demais serviços
5;Centro-oeste;51;MT;Mato Grosso;5100250;Alta Floresta;True;2023;publica;medio;todos (1-4);95.9;0.961211;272.37;275.78;4.643379;4.5;;3034592.885;51773.38;2570691.483;43858.73;2111630.29;40526.44;304018.098;331996.701;843988.335;360618.562;1840621.695;271008.594;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
5;Centro-oeste;51;MT;Mato Grosso;5100300;Alto Araguaia;True;2023;publica;medio;todos (1-4);93.0;0.932717;258.53;269.96;4.361871;4.1;;2036608.914;118455.7;1820876.291;105908.0;1172813.645;59491.41;317456.533;356186.932;265691.418;144166.721;1083501.604;89312.041;Indústrias de transformação;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
5;Centro-oeste;51;MT;Mato Grosso;5100359;Alto Boa Vista;True;2023;publica;medio;todos (1-4);95.2;0.954557;262.73;263.03;4.317117;4.1;;307732.425;53846.44;321152.134;56951.97;263999.716;37225.0;147566.714;5953.991;42471.773;54705.341;250697.819;13301.897;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
5;Centro-oeste;51;MT;Mato Grosso;5100409;Alto Garças;False;;;;;;;;;;;;1233308.155;94491.89;1382832.325;105947.93;1197571.995;97181.85;733645.876;31959.299;262253.386;91793.836;1119652.397;77919.598;Agricultura, inclusive apoio à agricultura e a pós colheita;Comércio e reparação de veículos automotores e motocicletas;Demais serviços
5;Centro-oeste;51;MT;Mato Grosso;5100508;Alto Paraguai;True;2023;publica;medio;todos (1-4);99.3;0.992639;244.63;242.89;3.761407;3.7;;171250.947;21382.31;155561.559;19423.34;166609.592;14379.01;58132.462;9344.035;20659.663;72134.53;160270.69;6338.902;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
5;Centro-oeste;51;MT;Mato Grosso;5100607;Alto Taquari;True;2023;publica;medio;todos (1-4);99.3;0.990835;271.63;272.51;4.584033;4.5;;1194825.9;109576.84;1516365.825;139065.1;1295709.939;113529.3;761359.883;164176.717;202757.669;102661.105;1230955.374;64754.565;Agricultura, inclusive apoio à agricultura e a pós colheita;Indústrias de transformação;Demais serviços
5;Centro-oeste;51;MT;Mato Grosso;5100805;Apiacás;True;2023;publica;medio;todos (1-4);94.8;0.96049;269.14;278.9;4.64472;4.5;;291453.184;33929.36;256493.66;29859.56;233789.589;22412.96;60100.221;19194.646;58006.118;75906.06;213207.045;20582.544;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
5;Centro-oeste;51;MT;Mato Grosso;5101001;Araguaiana;False;;;;;;;;;;;;169004.88;44533.57;172514.331;45458.32;126561.189;41305.87;70563.696;2862.582;17544.388;29170.825;120141.491;6419.697;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita
