region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;has_educational_record;school_year;school_network;education_level;school_grades;approval_rate;performance_indicator;saeb_math_score;saeb_portuguese_score;saeb_standardized_average_score;ideb;ideb_projection;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021
1;Norte;15;PA;Pará;1500107;Abaetetuba;True;2023;publica;medio;todos (1-4);98.8;0.990366;259.16;261.09;4.237935;4.2;;2441092.172;15431.59;2193299.951;13865.15;1947974.167;12141.53;272103.456;73614.293;754091.481;669459.89;1769269.119;178705.048;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
1;Norte;15;PA;Pará;1500131;Abel Figueiredo;True;2023;publica;medio;todos (1-4);99.6;0.99187;249.59;249.41;3.928674;3.9;;131077.033;21361.97;126585.01;18006.4;105404.256;13986.76;27211.225;9393.594;24584.275;36359.239;97548.333;7855.923;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
1;Norte;15;PA;Pará;1500206;Acará;True;2023;publica;medio;todos (1-4);97.8;0.964668;247.79;246.33;3.857286;3.7;;2111467.04;35773.63;1242612.023;21653.95;1432520.752;25698.21;904959.242;58472.312;130251.458;312426.984;1406109.995;26410.757;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
1;Norte;15;PA;Pará;1500305;Afuá;True;2023;publica;medio;todos (1-4);97.4;0.958484;257.34;259.1;4.182583;4.0;;665557.288;17623.65;539302.779;14280.49;443759.447;11119.0;174162.198;20306.774;46160.739;191038.928;431668.638;12090.809;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Produção florestal, pesca e aquicultura
1;Norte;15;PA;Pará;1500347;Água Azul do Norte;True;2023;publica;medio;todos (1-4);100.0;1.0;258.12;262.94;4.251023;4.3;;1047225.878;57921.79;848598.193;46935.74;642852.642;23126.69;239535.884;123807.096;63707.32;123699.046;550749.346;92103.296;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação
1;Norte;15;PA;Pará;1500404;Alenquer;True;2023;publica;medio;todos (1-4);98.8;0.984536;248.32;252.2;3.952604;3.9;;1578583.75;22753.7;919275.51;13250.44;744810.674;12978.06;302185.384;24520.523;135246.493;258088.078;720040.478;24770.196;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
1;Norte;15;PA;Pará;1500503;Almeirim;True;2023;publica;medio;todos (1-4);98.4;0.978805;246.92;248.87;3.883091;3.8;;593847.2;17323.43;687485.189;20054.99;687773.094;20202.48;88297.443;217294.275;118064.406;197238.572;620894.696;66878.398;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias extrativas
1;Norte;15;PA;Pará;1500602;Altamira;True;2023;publica;medio;todos (1-4);99.1;0.990975;270.14;283.52;4.727927;4.7;;3887893.813;30788.13;3457956.969;27383.47;3118776.506;26583.5;429743.804;443279.899;1337527.145;569188.773;2779739.621;339036.885;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social
1;Norte;15;PA;Pará;1500701;Anajás;True;2023;publica;medio;todos (1-4);98.2;0.977352;235.23;230.02;3.43672;3.4;;370837.756;13239.0;304791.32;10881.13;258574.161;8593.07;38552.119;7906.759;37950.767;159539.327;243948.972;14625.189;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
1;Norte;15;PA;Pará;1500800;Ananindeua;True;2023;publica;medio;todos (1-4);99.5;0.995191;262.27;272.96;4.459309;4.4;;11473897.449;23964.96;9983644.977;20852.35;8937579.161;16538.52;13285.364;1035307.804;4679394.526;1832302.524;7560290.219;1377288.942;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social
1;Norte;15;PA;Pará;1500859;Anapu;True;2023;publica;medio;todos (1-4);99.0;0.983827;260.18;261.22;4.254207;4.2;;715999.089;22480.35;687042.972;21571.21;587646.637;20047.99;235104.415;22728.151;140245.962;146742.09;544820.617;42826.02;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária
1;Norte;15;PA;Pará;1500909;Augusto Corrêa;True;2023;publica;medio;todos (1-4);98.7;0.979528;250.65;253.11;3.998951;3.9;;490156.571;10996.71;405344.847;9093.95;363264.865;7739.41;67395.739;12547.534;56528.437;214920.868;351392.577;11872.288;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura
1;Norte;15;PA;Pará;1500958;Aurora do Pará;True;2023;publica;medio;todos (1-4);99.9;0.998663;253.5;257.15;4.099458;4.1;;390415.051;16421.93;340026.93;14388.41;308260.187;9573.3;88250.275;9605.742;47400.109;152010.852;297266.979;10993.208;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
