region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;has_educational_record;school_year;school_network;education_level;school_grades;approval_rate;performance_indicator;saeb_math_score;saeb_portuguese_score;saeb_standardized_average_score;ideb;ideb_projection;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021
2;Nordeste;25;PB;Paraíba;2500106;Água Branca;True;2023;publica;medio;todos (1-4);80.8;0.826845;282.49;277.78;4.815454;4.0;;107368.213;11501.68;95192.995;10197.43;92268.329;8893.33;6074.33;3754.809;20934.959;57405.239;88169.337;4098.992;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2;Nordeste;25;PB;Paraíba;2500205;Aguiar;True;2023;publica;medio;todos (1-4);96.6;0.968462;280.78;283.56;4.877964;4.7;;68585.332;13708.84;61115.323;12215.74;60255.576;10717.82;5837.415;5973.882;12376.005;31700.426;55887.728;4367.848;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2;Nordeste;25;PB;Paraíba;2500304;Alagoa Grande;True;2023;publica;medio;todos (1-4);61.6;0.621798;246.5;257.16;4.001293;2.5;;367231.922;14090.7;320351.096;12291.88;300766.384;10596.34;29547.763;15614.498;86553.76;151077.907;282793.928;17972.456;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2;Nordeste;25;PB;Paraíba;2500403;Alagoa Nova;False;;;;;;;;;;;;376825.036;17932.95;377884.689;17983.38;335568.446;15985.54;106987.3;47694.485;61155.046;102035.992;317872.824;17695.622;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2;Nordeste;25;PB;Paraíba;2500502;Alagoinha;True;2023;publica;medio;todos (1-4);83.2;0.838922;232.82;236.58;3.501075;2.9;;166686.215;12144.72;152279.608;11095.05;138844.393;9491.04;12232.541;4813.802;34654.769;80675.963;132377.075;6467.318;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2;Nordeste;25;PB;Paraíba;2500536;Alcantil;True;2023;publica;medio;todos (1-4);81.6;0.832005;285.01;301.62;5.207733;4.3;;70347.946;12611.68;62649.179;11231.48;55221.414;9991.21;6315.517;1919.346;11031.2;34075.748;53341.811;1879.603;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2;Nordeste;25;PB;Paraíba;2500577;Algodão de Jandaíra;True;2023;publica;medio;todos (1-4);80.3;0.809329;262.01;259.77;4.258202;3.4;;38482.518;13031.67;33767.792;11435.08;28687.686;11084.89;1977.301;931.241;5452.437;19708.633;28069.612;618.074;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2;Nordeste;25;PB;Paraíba;2500601;Alhandra;True;2023;publica;medio;todos (1-4);86.3;0.864571;246.32;250.28;3.895771;3.4;;3148252.077;144880.45;3639169.052;167603.24;3391901.194;170747.61;30130.762;181909.568;2232427.0;136909.015;2581376.344;810524.85;Comércio e reparação de veículos automotores e motocicletas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
2;Nordeste;25;PB;Paraíba;2500700;São João do Rio do Peixe;True;2023;publica;medio;todos (1-4);88.8;0.889561;261.22;257.7;4.216119;3.8;;286060.022;15924.07;248471.599;13831.64;226325.939;12559.71;24075.694;11447.132;71169.243;98894.551;205586.621;20739.318;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2;Nordeste;25;PB;Paraíba;2500734;Amparo;True;2023;publica;medio;todos (1-4);100.0;1.0;264.07;254.22;4.204051;4.2;;37039.128;16579.74;33047.789;14793.1;29514.119;13036.27;2456.023;1422.681;6615.939;17848.745;28343.388;1170.731;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
