region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;has_educational_record;school_year;school_network;education_level;school_grades;approval_rate;performance_indicator;saeb_math_score;saeb_portuguese_score;saeb_standardized_average_score;ideb;ideb_projection;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021
2;Nordeste;26;PE;Pernambuco;2600054;Abreu e Lima;True;2023;publica;medio;todos (1-4);97.6;0.976419;270.35;280.83;4.690607;4.6;;2129775.378;21630.43;1942161.222;19724.98;1724257.659;17123.06;13674.464;396475.63;610997.284;421929.978;1443077.357;281180.302;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação
2;Nordeste;26;PE;Pernambuco;2600104;Afogados da Ingazeira;True;2023;publica;medio;todos (1-4);94.3;0.973442;289.21;282.64;4.98259;4.9;;651000.735;16273.39;601793.56;14954.74;541816.47;14430.74;9863.197;33955.203;268673.031;172518.566;485009.998;56806.473;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2;Nordeste;26;PE;Pernambuco;2600203;Afrânio;True;2023;publica;medio;todos (1-4);95.5;0.954806;287.23;269.07;4.751637;4.5;;271667.78;14547.92;248783.937;13322.48;209814.557;10500.7;17293.246;7425.543;71102.287;94700.884;190521.96;19292.597;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2;Nordeste;26;PE;Pernambuco;2600302;Agrestina;True;2023;publica;medio;todos (1-4);91.5;0.913885;277.43;275.01;4.702919;4.3;;368076.202;15479.04;339884.546;14293.48;352858.433;13980.13;62107.576;39094.0;99114.654;128627.986;328944.216;23914.217;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2;Nordeste;26;PE;Pernambuco;2600401;Água Preta;True;2023;publica;medio;todos (1-4);98.8;0.992327;267.42;272.25;4.521012;4.5;;263641.502;9963.4;253239.882;9570.31;259866.491;6950.9;20762.356;6278.446;61329.074;161165.9;249535.776;10330.715;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;26;PE;Pernambuco;2600500;Águas Belas;True;2023;publica;medio;todos (1-4);90.6;0.916068;279.33;282.19;4.83709;4.4;;489637.13;11784.85;451412.101;10864.83;401110.734;9132.13;45481.086;10289.63;126113.905;187522.046;369406.667;31704.067;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2;Nordeste;26;PE;Pernambuco;2600609;Alagoinha;True;2023;publica;medio;todos (1-4);92.3;0.968775;259.02;255.76;4.156178;4.0;;199751.482;14234.41;166384.223;12286.53;144944.925;9794.9;30535.351;4102.745;35858.729;68678.793;139175.618;5769.307;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;26;PE;Pernambuco;2600708;Aliança;True;2023;publica;medio;todos (1-4);96.4;0.964888;266.61;267.45;4.437779;4.3;;472448.892;13218.68;435530.762;12185.75;413314.494;10761.16;105473.849;16447.915;98029.439;178064.793;398015.996;15298.498;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2;Nordeste;26;PE;Pernambuco;2600807;Altinho;True;2023;publica;medio;todos (1-4);97.6;0.975791;279.12;278.42;4.777703;4.7;;302021.724;14608.77;256376.194;12400.9;222588.795;9679.46;24053.048;8598.8;73319.051;102779.386;208750.285;13838.51;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2;Nordeste;26;PE;Pernambuco;2600906;Amaraji;True;2023;publica;medio;todos (1-4);100.0;1.0;279.24;279.83;4.800496;4.8;;307791.652;16906.98;248291.721;13638.66;294407.127;12850.59;101905.624;11652.084;60038.488;109220.905;282817.1;11590.026;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
