region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;has_educational_record;school_year;school_network;education_level;school_grades;approval_rate;performance_indicator;saeb_math_score;saeb_portuguese_score;saeb_standardized_average_score;ideb;ideb_projection;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021
2;Nordeste;22;PI;Piauí;2200053;Acauã;True;2023;publica;medio;todos (1-4);99.1;0.990622;273.31;271.44;4.591611;4.5;;84924.313;13228.09;69703.234;10857.2;73622.922;10341.75;16418.648;2482.409;14358.629;36877.224;70136.911;3486.011;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;22;PI;Piauí;2200103;Agricolândia;True;2023;publica;medio;todos (1-4);100.0;1.0;288.43;280.97;4.946635;4.9;;57335.342;11606.34;51901.68;10506.41;47283.337;9229.62;7406.218;3185.921;9090.615;25409.486;45092.24;2191.097;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;22;PI;Piauí;2200202;Água Branca;True;2023;publica;medio;todos (1-4);100.0;1.0;253.82;256.34;4.091827;4.1;;303532.26;17272.65;267272.929;15209.29;244026.811;13924.5;5365.341;18155.182;106537.977;95314.261;225372.761;18654.05;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2;Nordeste;22;PI;Piauí;2200251;Alagoinha do Piauí;True;2023;publica;medio;todos (1-4);93.8;0.934647;271.84;264.52;4.467372;4.2;;80787.107;11847.35;75805.535;11116.81;65441.715;8523.28;12193.652;2631.576;11886.461;36415.254;63126.943;2314.773;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;22;PI;Piauí;2200277;Alegrete do Piauí;True;2023;publica;medio;todos (1-4);96.6;0.967744;271.81;266.73;4.500034;4.4;;56359.397;12162.15;54723.972;11809.23;48183.522;9791.41;7211.957;1889.813;11232.302;25567.293;45901.365;2282.157;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;22;PI;Piauí;2200301;Alto Longá;True;2023;publica;medio;todos (1-4);89.5;0.904816;277.69;278.07;4.752379;4.3;;146913.269;10899.42;128594.608;9540.37;130958.328;9112.68;20280.394;5069.754;27746.637;71899.688;124996.472;5961.856;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;22;PI;Piauí;2200400;Altos;True;2023;publica;medio;todos (1-4);97.9;0.979795;264.22;262.96;4.336996;4.2;;764914.1;16119.4;660824.303;13936.74;538140.324;13228.3;14420.98;56925.681;201070.857;217848.945;490266.462;47873.862;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2;Nordeste;22;PI;Piauí;2200459;Alvorada do Gurguéia;True;2023;publica;medio;todos (1-4);99.5;0.994609;263.79;249.43;4.128412;4.1;;109088.428;20497.64;95670.499;17976.42;82124.847;15016.43;22668.039;3198.457;20090.708;30328.482;76285.686;5839.161;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2;Nordeste;22;PI;Piauí;2200509;Amarante;True;2023;publica;medio;todos (1-4);91.9;0.9191;250.58;247.99;3.921321;3.6;;243953.678;14155.37;220119.299;12771.64;192593.565;10937.22;18989.055;18115.84;53064.666;89829.234;179998.795;12594.77;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2;Nordeste;22;PI;Piauí;2200608;Angical do Piauí;True;2023;publica;medio;todos (1-4);97.1;0.98114;276.17;284.77;4.83133;4.7;;84771.951;12417.16;75215.065;11017.29;66749.412;9846.5;6252.324;3422.879;21198.007;31248.462;62121.672;4627.74;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2;Nordeste;22;PI;Piauí;2200707;Anísio de Abreu;True;2023;publica;medio;todos (1-4);99.7;0.996982;282.2;268.57;4.673506;4.7;;124990.013;13286.92;111663.346;11870.24;98552.117;9861.13;10792.146;5007.608;26246.336;50572.999;92619.089;5933.029;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2;Nordeste;22;PI;Piauí;2200806;Antônio Almeida;False;;;;;;;;;;;;197618.998;62696.38;218386.155;69284.95;140157.215;44144.0;51789.271;40425.711;21057.617;19568.638;132841.236;7315.978;Indústrias extrativas;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social
2;Nordeste;22;PI;Piauí;2200905;Aroazes;True;2023;publica;medio;todos (1-4);97.5;0.976108;265.42;273.58;4.512832;4.4;;69489.39;12942.71;58914.075;10973.01;57304.894;9847.89;7351.555;2745.828;13324.248;30979.949;54401.58;2903.313;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
