region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;has_educational_record;school_year;school_network;education_level;school_grades;approval_rate;performance_indicator;saeb_math_score;saeb_portuguese_score;saeb_standardized_average_score;ideb;ideb_projection;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021
4;Sul;41;PR;Paraná;4100103;Abatiá;True;2023;publica;medio;todos (1-4);100.0;1.0;262.48;265.07;4.344145;4.3;;297166.248;41039.39;282503.197;39014.39;221816.638;30138.13;110595.508;9932.391;52304.936;40040.739;212873.574;8943.064;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
4;Sul;41;PR;Paraná;4100202;Adrianópolis;True;2023;publica;medio;todos (1-4);98.7;0.986981;257.25;264.52;4.262456;4.2;;467129.251;74669.0;442776.424;70776.28;368853.702;63628.38;27453.137;209013.429;52302.063;35027.116;323795.745;45057.957;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
4;Sul;41;PR;Paraná;4100301;Agudos do Sul;True;2023;publica;medio;todos (1-4);96.7;0.969147;293.38;297.47;5.263164;5.1;;279388.38;27302.69;238564.978;23313.3;216903.776;22672.08;74699.052;12693.01;66287.359;48096.204;201775.625;15128.151;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
4;Sul;41;PR;Paraná;4100400;Almirante Tamandaré;True;2023;publica;medio;todos (1-4);95.5;0.960578;267.52;277.06;4.594422;4.4;;2242619.546;18715.79;2074574.049;17313.37;1936254.916;15946.75;51409.687;491204.082;702419.93;484339.152;1729372.851;206882.065;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação
4;Sul;41;PR;Paraná;4100459;Altamira do Paraná;True;2023;publica;medio;todos (1-4);99.2;0.99118;265.56;261.42;4.332763;4.3;;115509.036;32175.22;106033.128;29535.69;96207.266;67324.89;50691.225;3237.393;21899.422;15395.11;91223.15;4984.115;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
4;Sul;41;PR;Paraná;4100509;Altônia;True;2023;publica;medio;todos (1-4);98.2;0.986382;288.05;294.76;5.147735;5.1;;546400.969;29153.82;442850.157;23633.8;462492.851;20746.1;118591.363;29725.462;176952.506;102560.909;427830.24;34662.611;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita
4;Sul;41;PR;Paraná;4100608;Alto Paraná;True;2023;publica;medio;todos (1-4);100.0;1.0;277.66;279.06;4.766778;4.8;;562666.681;40453.42;391675.5;28159.86;436261.407;29191.13;208719.693;35429.821;98518.253;72865.767;415533.534;20727.873;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
4;Sul;41;PR;Paraná;4100707;Alto Piquiri;True;2023;publica;medio;todos (1-4);98.0;0.983844;265.07;268.67;4.434413;4.4;;488593.684;50230.67;381077.187;39177.26;410779.606;42252.58;177000.125;19871.393;130778.872;52293.15;379943.54;30836.066;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
4;Sul;41;PR;Paraná;4100806;Alvorada do Sul;True;2023;publica;medio;todos (1-4);99.6;0.997227;262.96;269.09;4.411066;4.4;;436442.873;42266.4;449849.048;43564.7;338358.675;29173.88;109215.74;17170.2;123759.131;64222.644;314367.716;23990.959;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
4;Sul;41;PR;Paraná;4100905;Amaporã;True;2023;publica;medio;todos (1-4);96.3;0.956915;284.45;275.33;4.806305;4.6;;163898.554;34418.01;122957.49;25820.56;121114.3;18909.34;42474.46;5477.422;30270.619;33434.802;111657.302;9456.997;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
4;Sul;41;PR;Paraná;4101002;Ampére;True;2023;publica;medio;todos (1-4);97.0;0.972751;282.04;287.72;4.957936;4.8;;1001174.451;51028.26;814702.33;41524.07;750363.843;38547.41;137752.589;169445.868;256768.323;96991.134;660957.914;89405.929;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social
4;Sul;41;PR;Paraná;4101051;Anahy;True;2023;publica;medio;todos (1-4);98.3;0.985222;273.25;271.02;4.584481;4.5;;124322.819;42605.49;110971.656;38030.04;115042.263;41471.62;54504.608;3389.48;29340.603;20354.38;107589.071;7453.192;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social
4;Sul;41;PR;Paraná;4101101;Andirá;True;2023;publica;medio;todos (1-4);99.4;0.99118;273.74;281.68;4.750944;4.7;;861172.558;43322.9;842323.786;42374.67;816503.278;41189.69;119514.232;144801.944;351229.269;104426.643;719972.088;96531.19;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social
4;Sul;41;PR;Paraná;4101150;Ângulo;False;;;;;;;;;;;;179777.974;55572.79;170201.886;52612.64;154196.936;52608.99;77282.452;4288.946;41445.919;21024.758;144042.075;10154.861;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
