region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;has_educational_record;school_year;school_network;education_level;school_grades;approval_rate;performance_indicator;saeb_math_score;saeb_portuguese_score;saeb_standardized_average_score;ideb;ideb_projection;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021
2;Nordeste;24;RN;Rio Grande do Norte;2400109;Acari;True;2023;publica;medio;todos (1-4);88.6;0.886455;263.72;265.33;4.365453;3.9;;195828.116;18479.58;173700.041;16391.44;141991.931;12785.15;17168.872;8761.905;41690.199;63154.107;130775.084;11216.847;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2;Nordeste;24;RN;Rio Grande do Norte;2400208;Açu;True;2023;publica;medio;todos (1-4);79.2;0.800615;250.5;257.46;4.061964;3.3;;2170177.264;38412.94;2146108.39;37982.87;1467561.99;24982.76;35044.132;483175.739;518976.745;330938.934;1368135.55;99426.44;Indústrias extrativas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
2;Nordeste;24;RN;Rio Grande do Norte;2400307;Afonso Bezerra;False;;;;;;;;;;;;160921.097;14846.49;193262.64;17830.3;138262.051;12541.91;8877.799;21455.315;28611.588;73058.876;132003.577;6258.473;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Construção
2;Nordeste;24;RN;Rio Grande do Norte;2400406;Água Nova;True;2023;publica;medio;todos (1-4);92.5;0.932888;271.27;292.14;4.872839;4.5;;42554.072;14444.7;37808.694;12833.91;34552.095;10492.59;1135.124;1000.937;8886.842;22038.278;33061.182;1490.912;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2;Nordeste;24;RN;Rio Grande do Norte;2400505;Alexandria;True;2023;publica;medio;todos (1-4);74.3;0.748605;264.9;284.5;4.669002;3.5;;209116.995;15331.16;178559.142;13090.85;150788.602;11145.58;6759.887;3026.819;58179.665;72752.262;140718.632;10069.97;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2;Nordeste;24;RN;Rio Grande do Norte;2400604;Almino Afonso;True;2023;publica;medio;todos (1-4);90.0;0.895913;267.3;272.27;4.519626;4.0;;68328.729;14578.35;61041.514;13023.58;50061.102;10685.4;2673.071;2238.398;12955.675;29925.13;47792.274;2268.828;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2;Nordeste;24;RN;Rio Grande do Norte;2400703;Alto do Rodrigues;True;2023;publica;medio;todos (1-4);77.4;0.78544;256.3;264.59;4.250161;3.3;;902783.049;72315.21;792175.921;63455.3;616322.331;41300.16;21237.096;304515.088;141516.24;109153.277;576421.701;39900.63;Indústrias extrativas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
2;Nordeste;24;RN;Rio Grande do Norte;2400802;Angicos;True;2023;publica;medio;todos (1-4);77.0;0.775023;251.5;258.91;4.097716;3.2;;257919.437;22173.27;214392.795;18431.29;180163.149;15405.14;6313.769;6847.368;78364.365;71610.555;163136.056;17027.093;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2;Nordeste;24;RN;Rio Grande do Norte;2400901;Antônio Martins;True;2023;publica;medio;todos (1-4);86.3;0.861029;254.52;266.39;4.252108;3.7;;79463.801;12082.07;70796.769;10764.3;65524.996;9148.98;3496.661;2869.552;15338.859;40750.864;62455.935;3069.061;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2;Nordeste;24;RN;Rio Grande do Norte;2401008;Apodi;True;2023;publica;medio;todos (1-4);88.9;0.905301;297.89;296.89;5.317824;4.8;;941920.331;26239.53;895177.54;24801.28;709585.968;19763.42;65974.569;168018.971;229537.839;191888.015;655419.394;54166.574;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias extrativas
2;Nordeste;24;RN;Rio Grande do Norte;2401107;Areia Branca;True;2023;publica;medio;todos (1-4);75.6;0.765693;256.25;268.41;4.306645;3.3;;1089647.398;45226.72;1218377.47;50569.77;935968.204;33242.23;18115.834;388192.989;273952.973;176058.25;856320.046;79648.158;Indústrias extrativas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
2;Nordeste;24;RN;Rio Grande do Norte;2401206;Arês;True;2023;publica;medio;todos (1-4);76.7;0.772007;240.82;252.2;3.847267;3.0;;471283.907;35565.91;440357.608;33232.03;386630.977;26616.48;92346.845;82343.139;74999.436;94452.495;344141.914;42489.062;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;Produção florestal, pesca e aquicultura
2;Nordeste;24;RN;Rio Grande do Norte;2401305;Campo Grande;True;2023;publica;medio;todos (1-4);69.4;0.708873;246.27;246.98;3.845668;2.7;;136391.199;14017.6;119802.037;12296.22;105354.051;10876.94;10855.642;3783.999;30122.507;55107.521;99869.669;5484.382;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
2;Nordeste;24;RN;Rio Grande do Norte;2401404;Baía Formosa;False;;;;;;;;;;;;335923.178;38064.95;276105.191;31290.25;325030.343;34677.3;74900.749;97476.555;64389.848;56159.422;292926.573;32103.77;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2;Nordeste;24;RN;Rio Grande do Norte;2401453;Baraúna;True;2023;publica;medio;todos (1-4);70.7;0.724588;260.22;261.95;4.265697;3.1;;991164.144;36828.45;783898.839;29147.72;746395.219;25638.75;73460.591;197064.01;189702.883;183388.345;643615.828;102779.39;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias extrativas
2;Nordeste;24;RN;Rio Grande do Norte;2401503;Barcelona;True;2023;publica;medio;todos (1-4);84.9;0.852403;251.06;243.07;3.85441;3.3;;63583.271;15951.65;55407.707;13900.58;45863.612;11497.52;1592.787;1789.771;10445.962;30481.322;44309.842;1553.77;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação
