region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;has_educational_record;school_year;school_network;education_level;school_grades;approval_rate;performance_indicator;saeb_math_score;saeb_portuguese_score;saeb_standardized_average_score;ideb;ideb_projection;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021
1;Norte;11;RO;Rondônia;1100015;Alta Floresta D'Oeste;True;2023;publica;medio;todos (1-4);97.4;0.978445;274.69;273.68;4.644526;4.5;;1046342.546;48680.68;919520.273;42778.33;734467.017;32619.78;311468.683;27845.497;172434.698;173121.632;684870.51;49596.507;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita
1;Norte;11;RO;Rondônia;1100023;Ariquemes;True;2023;publica;medio;todos (1-4);91.2;0.913555;272.01;274.56;4.620059;4.2;;4383815.338;45271.91;3809355.08;39339.43;3211294.276;28892.06;293000.779;407674.509;1307976.899;782306.216;2790958.402;420335.874;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
1;Norte;11;RO;Rondônia;1100031;Cabixi;True;2023;publica;medio;todos (1-4);98.1;0.980316;262.44;256.32;4.212595;4.1;;300832.108;56219.79;289782.675;54033.69;238414.1;47052.32;136659.3;8117.127;35865.575;46579.249;227221.251;11192.849;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social
1;Norte;11;RO;Rondônia;1100049;Cacoal;True;2023;publica;medio;todos (1-4);92.9;0.929303;270.03;268.93;4.507969;4.2;;3848467.896;44292.79;3195489.49;36774.15;2792505.911;32314.69;341314.544;236801.003;1200653.615;629109.371;2407878.532;384627.379;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
1;Norte;11;RO;Rondônia;1100056;Cerejeiras;True;2023;publica;medio;todos (1-4);87.8;0.888075;272.43;275.23;4.635988;4.1;;1006389.44;63334.77;903098.536;56834.39;743061.678;46187.32;151690.475;27433.023;308668.019;123364.617;611156.134;131905.544;Comércio e reparação de veículos automotores e motocicletas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
1;Norte;11;RO;Rondônia;1100064;Colorado do Oeste;True;2023;publica;medio;todos (1-4);97.3;0.975512;279.57;284.06;4.868454;4.7;;580898.591;37087.31;514218.546;32830.14;424845.954;27926.51;123523.517;28827.32;124601.082;114880.697;391832.616;33013.338;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
1;Norte;11;RO;Rondônia;1100072;Corumbiara;True;2023;publica;medio;todos (1-4);98.2;0.98319;255.62;256.99;4.126838;4.1;;509565.719;67770.41;473844.806;63019.66;396740.22;56259.25;260728.227;14013.544;45391.792;60535.181;380668.745;16071.475;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social
1;Norte;11;RO;Rondônia;1100080;Costa Marques;True;2023;publica;medio;todos (1-4);96.7;0.967926;263.2;257.28;4.23764;4.1;;413942.952;32782.37;349795.626;27702.2;316671.541;16446.2;116782.743;6682.944;53392.482;128056.964;304915.132;11756.408;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
1;Norte;11;RO;Rondônia;1100098;Espigão D'Oeste;True;2023;publica;medio;todos (1-4);96.6;0.966336;272.12;269.35;4.54361;4.4;;1023972.935;34812.43;921381.731;31342.71;773371.568;23429.11;202433.801;54682.28;221161.996;217510.539;695788.617;77582.951;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
1;Norte;11;RO;Rondônia;1100106;Guajará-Mirim;True;2023;publica;medio;todos (1-4);92.4;0.928341;259.42;269.69;4.370329;4.1;;1145033.649;29071.36;1057883.463;26859.38;1054254.562;22464.41;77441.552;40538.01;436343.879;319235.34;873558.78;180695.782;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;Demais serviços
1;Norte;11;RO;Rondônia;1100114;Jaru;True;2023;publica;medio;todos (1-4);94.0;0.940173;264.99;270.38;4.458889;4.2;;2515557.725;49723.42;2113514.91;41776.5;1764718.012;34287.01;280710.555;177622.679;688454.672;379859.774;1526647.68;238070.332;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
1;Norte;11;RO;Rondônia;1100122;Ji-Paraná;True;2023;publica;medio;todos (1-4);93.1;0.935556;270.09;272.49;4.562105;4.3;;5824472.224;46845.75;4934531.717;39688.03;4230355.007;32286.38;206344.829;502237.665;1926052.214;876138.636;3510773.344;719581.663;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
1;Norte;11;RO;Rondônia;1100130;Machadinho D'Oeste;True;2023;publica;medio;todos (1-4);87.2;0.883864;258.83;261.83;4.244378;3.8;;1055806.05;34383.24;909026.718;29603.24;890319.226;21338.3;352193.201;34663.211;174794.285;275752.76;837403.456;52915.77;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
1;Norte;11;RO;Rondônia;1100148;Nova Brasilândia D'Oeste;True;2023;publica;medio;todos (1-4);96.3;0.963857;280.6;286.1;4.91346;4.7;;731951.76;46683.57;641839.015;40936.22;549852.674;26816.85;228450.895;25504.877;114550.697;142582.174;511088.644;38764.031;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária
1;Norte;11;RO;Rondônia;1100155;Ouro Preto do Oeste;True;2023;publica;medio;todos (1-4);87.5;0.883732;280.0;280.09;4.815063;4.3;;1275478.843;36396.5;1089382.241;31086.13;986045.503;27819.03;216209.007;71310.999;352571.686;249016.476;889108.169;96937.334;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
1;Norte;11;RO;Rondônia;1100189;Pimenta Bueno;True;2023;publica;medio;todos (1-4);83.0;0.841793;267.35;270.63;4.495777;3.8;;2124340.165;60558.74;1714399.696;48985.65;1642621.468;44277.9;297492.054;207693.244;550815.52;280779.155;1336779.973;305841.495;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
1;Norte;11;RO;Rondônia;1100205;Porto Velho;True;2023;publica;medio;todos (1-4);88.1;0.884428;266.01;273.87;4.52546;4.0;;25402193.434;55170.11;22537532.735;48950.69;20056138.467;36535.32;1041284.612;4625035.281;7555290.353;3983359.174;17204969.419;2851169.048;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação
1;Norte;11;RO;Rondônia;1100254;Presidente Médici;True;2023;publica;medio;todos (1-4);95.7;0.96082;266.38;277.8;4.589489;4.4;;776280.726;40165.61;653357.021;33805.4;560209.59;30840.05;183438.443;50709.564;140127.735;134436.852;508712.594;51496.996;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
1;Norte;11;RO;Rondônia;1100262;Rio Crespo;True;2023;publica;medio;todos (1-4);95.3;0.945393;275.02;266.37;4.53973;4.3;;265160.116;76393.0;265661.176;76537.36;184428.411;47990.74;115354.219;7563.59;18756.154;36556.852;178230.815;6197.596;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social
1;Norte;11;RO;Rondônia;1100288;Rolim de Moura;True;2023;publica;medio;todos (1-4);95.9;0.961607;279.1;277.15;4.75841;4.6;;2287630.996;40556.52;1906485.406;33799.34;1565241.344;28077.09;194673.218;171673.943;606268.102;411623.166;1384238.428;181002.915;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
1;Norte;11;RO;Rondônia;1100296;Santa Luzia D'Oeste;True;2023;publica;medio;todos (1-4);99.3;0.989609;266.63;274.74;4.547192;4.5;;291886.731;39343.14;262242.618;35347.43;213590.225;35945.85;106979.911;13082.702;33187.597;51633.282;204883.492;8706.732;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
1;Norte;11;RO;Rondônia;1100304;Vilhena;True;2023;publica;medio;todos (1-4);82.8;0.839622;277.68;287.64;4.895502;4.1;;5115785.079;53382.85;4515119.507;47114.95;4215441.811;40332.59;674880.42;369205.556;1712252.035;777251.976;3533589.987;681851.824;Comércio e reparação de veículos automotores e motocicletas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
1;Norte;11;RO;Rondônia;1100320;São Miguel do Guaporé;True;2023;publica;medio;todos (1-4);98.6;0.986642;264.2;269.32;4.431925;4.4;;1549191.677;74674.23;1383948.43;63968.03;905340.789;39112.66;381638.945;82318.381;199587.559;176033.832;839578.717;65762.072;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
1;Norte;11;RO;Rondônia;1100338;Nova Mamoré;True;2023;publica;medio;todos (1-4);94.1;0.944709;254.6;258.41;4.13377;3.9;;1060566.252;41682.37;928841.773;36505.34;742686.01;23076.25;344262.837;21481.29;129299.19;214671.737;709715.055;32970.955;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
1;Norte;11;RO;Rondônia;1100346;Alvorada D'Oeste;True;2023;publica;medio;todos (1-4);97.6;0.974725;254.03;253.51;4.052411;3.9;;486626.485;37098.92;435099.488;33170.66;352629.612;25539.92;147689.219;11552.751;72542.819;104853.489;336638.278;15991.334;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
1;Norte;11;RO;Rondônia;1100379;Alto Alegre dos Parecis;True;2023;publica;medio;todos (1-4);89.9;0.903741;278.99;281.1;4.815997;4.4;;575129.366;50102.74;570359.834;49687.24;483672.306;36454.05;277663.855;18507.079;63694.093;103294.41;463159.436;20512.869;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária
1;Norte;11;RO;Rondônia;1100403;Alto Paraíso;False;;;;;;;;;;;;667923.438;40926.68;605617.061;37108.89;510740.487;22946.38;185476.519;24383.68;119575.728;148950.644;478386.571;32353.916;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
1;Norte;11;RO;Rondônia;1100452;Buritis;True;2023;publica;medio;todos (1-4);83.8;0.833004;257.58;259.69;4.194786;3.5;;1221007.917;43619.89;1104420.348;39454.86;966555.755;23549.83;336952.669;35156.267;248229.417;272916.168;893254.521;73301.234;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
1;Norte;11;RO;Rondônia;1100502;Novo Horizonte do Oeste;True;2023;publica;medio;todos (1-4);98.0;0.981658;271.31;268.92;4.525796;4.4;;331958.408;43297.04;268863.485;35067.63;231501.394;28492.48;106735.659;12106.476;40100.003;61437.989;220380.128;11121.267;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita
