region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;has_educational_record;school_year;school_network;education_level;school_grades;approval_rate;performance_indicator;saeb_math_score;saeb_portuguese_score;saeb_standardized_average_score;ideb;ideb_projection;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021
1;Norte;14;RR;Roraima;1400027;Amajari;True;2023;publica;medio;todos (1-4);78.6;0.791623;241.0;243.23;3.715513;2.9;;329099.885;23630.35;300390.24;21568.91;240826.098;17758.73;62983.343;10213.139;21937.633;142661.497;237795.612;3030.486;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
1;Norte;14;RR;Roraima;1400050;Alto Alegre;True;2023;publica;medio;todos (1-4);91.2;0.909958;244.0;242.67;3.749265;3.4;;802540.265;38042.3;700057.799;33231.64;385506.664;25280.78;146584.677;14739.162;49570.385;167565.791;378460.014;7046.65;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
1;Norte;14;RR;Roraima;1400100;Boa Vista;True;2023;publica;medio;todos (1-4);87.5;0.874263;259.04;261.36;4.240291;3.7;;18234168.562;44098.64;15213965.661;36794.39;13493364.054;30906.19;190927.99;1306705.239;5625759.111;4791542.697;11914935.036;1578429.018;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
1;Norte;14;RR;Roraima;1400159;Bonfim;True;2023;publica;medio;todos (1-4);86.9;0.875923;241.19;230.84;3.532703;3.1;;772903.212;55512.69;705964.546;50799.78;522405.211;41131.03;274520.07;22091.098;70214.949;147193.341;514019.458;8385.753;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
1;Norte;14;RR;Roraima;1400175;Cantá;True;2023;publica;medio;todos (1-4);85.1;0.856695;242.72;237.96;3.660778;3.1;;498394.212;26677.78;405867.99;21725.08;353071.266;18334.7;58179.612;19722.879;38823.325;205699.657;322425.472;30645.794;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
1;Norte;14;RR;Roraima;1400209;Caracaraí;True;2023;publica;medio;todos (1-4);92.6;0.843276;264.01;273.71;4.494975;3.8;;637454.154;30417.24;530515.04;25314.46;453297.537;20026.4;68071.318;22712.45;89619.918;253062.043;433465.729;19831.808;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
1;Norte;14;RR;Roraima;1400233;Caroebe;False;;;;;;;;;;;;317377.066;29783.88;276635.064;25960.5;236787.802;22349.01;73570.281;6606.554;33952.204;116438.515;230567.554;6220.247;Administração, defesa, educação e saúde públicas e seguridade social;Produção florestal, pesca e aquicultura;Pecuária, inclusive apoio à pecuária
1;Norte;14;RR;Roraima;1400282;Iracema;True;2023;publica;medio;todos (1-4);94.2;0.950326;239.9;248.93;3.785393;3.6;;279559.465;27891.8;235247.048;23470.72;208476.682;16497.32;38618.321;5929.143;24504.885;135327.428;204379.777;4096.905;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
1;Norte;14;RR;Roraima;1400308;Mucajaí;True;2023;publica;medio;todos (1-4);91.6;0.924043;254.46;255.76;4.092133;3.8;;552044.224;30508.11;481025.356;26628.95;393852.028;21310.03;70846.356;19885.322;81158.588;199047.899;370938.165;22913.863;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
1;Norte;14;RR;Roraima;1400407;Normandia;True;2023;publica;medio;todos (1-4);86.8;0.871912;231.22;226.49;3.327555;2.9;;370956.111;26523.39;270719.777;19805.38;202859.421;17232.37;39995.823;6996.669;21175.348;131584.784;199752.625;3106.796;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
1;Norte;14;RR;Roraima;1400456;Pacaraima;True;2023;publica;medio;todos (1-4);87.9;0.883973;247.83;245.93;3.851859;3.4;;447420.649;23176.41;393277.711;20371.81;329091.961;16366.22;10377.612;12128.26;60785.46;222587.81;305879.141;23212.82;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
1;Norte;14;RR;Roraima;1400472;Rorainópolis;True;2023;publica;medio;todos (1-4);83.0;0.844578;251.22;256.11;4.051867;3.4;;981040.451;30049.94;828529.325;25378.42;732355.771;23333.09;104178.457;42449.47;161711.393;352449.258;660788.578;71567.194;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
1;Norte;14;RR;Roraima;1400506;São João da Baliza;True;2023;publica;medio;todos (1-4);77.2;0.771283;236.01;238.81;3.579261;2.8;;425809.496;48070.61;343559.231;38785.19;327768.1;38597.28;43138.363;36301.843;51108.515;95075.724;225624.445;102143.655;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias de transformação
1;Norte;14;RR;Roraima;1400605;São Luiz;False;;;;;;;;;;;;221584.508;30291.8;192540.478;26321.32;178971.582;21740.96;43740.103;7045.594;25915.571;92071.479;168772.747;10198.835;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
1;Norte;14;RR;Roraima;1400704;Uiramutã;True;2023;publica;medio;todos (1-4);92.0;0.916284;220.47;210.58;2.938398;2.7;;254452.849;18504.32;217046.557;15784.06;143945.313;13069.3;8657.086;2202.063;12597.847;118438.175;141895.171;2050.142;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
