region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;has_educational_record;school_year;school_network;education_level;school_grades;approval_rate;performance_indicator;saeb_math_score;saeb_portuguese_score;saeb_standardized_average_score;ideb;ideb_projection;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021
4;Sul;43;RS;Rio Grande do Sul;4300034;Aceguá;True;2023;publica;medio;todos (1-4);81.3;0.815947;276.82;290.2;4.921747;4.0;;382340.49;91688.37;291050.785;69796.35;458226.355;91994.85;269423.337;20614.439;99176.155;45049.677;434263.608;23962.747;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária;Demais serviços
4;Sul;43;RS;Rio Grande do Sul;4300059;Água Santa;True;2023;publica;medio;todos (1-4);94.5;0.948529;300.28;291.12;5.265014;5.0;;418737.672;107039.28;480667.73;122870.07;547412.925;146445.41;158098.364;24609.448;266705.759;28221.107;477634.678;69778.248;Comércio e reparação de veículos automotores e motocicletas;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
4;Sul;43;RS;Rio Grande do Sul;4300109;Agudo;True;2023;publica;medio;todos (1-4);92.6;0.928987;298.87;302.54;5.416169;5.0;;780151.895;48634.87;648342.377;40422.87;667876.901;40863.74;201172.602;101412.834;195298.233;99024.946;596908.615;70968.286;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
4;Sul;43;RS;Rio Grande do Sul;4300208;Ajuricaba;True;2023;publica;medio;todos (1-4);87.1;0.872316;289.72;302.41;5.285711;4.6;;383524.803;57072.14;379621.821;56491.34;521060.49;74961.95;247930.517;36130.704;152360.168;44354.687;480776.076;40284.415;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
4;Sul;43;RS;Rio Grande do Sul;4300307;Alecrim;True;2023;publica;medio;todos (1-4);91.1;0.915716;298.92;293.69;5.284386;4.8;;153719.013;25105.18;137865.214;22515.96;162073.239;28384.1;61908.999;4543.119;54717.617;32254.157;153423.892;8649.347;Pecuária, inclusive apoio à pecuária;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
4;Sul;43;RS;Rio Grande do Sul;4300406;Alegrete;True;2023;publica;medio;todos (1-4);76.6;0.723391;267.46;276.4;4.583699;3.3;;3102027.8;42840.36;2620665.238;36192.53;3079885.857;42485.29;1129604.87;260841.761;1042681.721;431648.217;2864776.569;215109.288;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
4;Sul;43;RS;Rio Grande do Sul;4300455;Alegria;True;2023;publica;medio;todos (1-4);81.4;0.819372;281.67;296.62;5.085973;4.2;;136099.35;37277.28;119787.123;32809.4;156623.193;47649.28;75782.485;3775.185;39468.23;27213.882;146239.782;10383.411;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária
4;Sul;43;RS;Rio Grande do Sul;4300471;Almirante Tamandaré do Sul;False;;;;;;;;;;;;223166.993;113340.27;267475.401;135843.27;276411.847;142848.5;156681.866;28161.484;52314.033;19604.688;256762.07;19649.777;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Pecuária, inclusive apoio à pecuária
4;Sul;43;RS;Rio Grande do Sul;4300505;Alpestre;True;2023;publica;medio;todos (1-4);97.2;0.972097;265.56;273.61;4.515248;4.4;;302869.447;42555.77;256623.881;36057.87;196383.735;33370.22;67275.681;25565.628;44935.29;50266.926;188043.524;8340.21;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
4;Sul;43;RS;Rio Grande do Sul;4300554;Alto Alegre;True;2023;publica;medio;todos (1-4);71.4;0.711672;290.87;304.82;5.337941;3.8;;72441.818;40245.45;67859.366;37699.65;106141.567;66755.7;62503.016;2952.186;20172.453;15898.809;101526.464;4615.103;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária
4;Sul;43;RS;Rio Grande do Sul;4300570;Alto Feliz;True;2023;publica;medio;todos (1-4);95.5;0.944141;303.08;300.74;5.448352;5.1;;203171.417;66136.53;174453.624;56788.29;161548.892;53088.69;43492.563;51050.704;25888.848;23132.2;143564.314;17984.577;Indústrias de transformação;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social
4;Sul;43;RS;Rio Grande do Sul;4300604;Alvorada;True;2023;publica;medio;todos (1-4);75.7;0.806416;261.01;271.12;4.414068;3.6;;4129934.297;22048.07;3529383.792;18841.97;3302273.337;15550.94;1325.751;475711.71;1415571.925;1066413.27;2959022.656;343250.681;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
