region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;has_educational_record;school_year;school_network;education_level;school_grades;approval_rate;performance_indicator;saeb_math_score;saeb_portuguese_score;saeb_standardized_average_score;ideb;ideb_projection;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021
4;Sul;42;SC;Santa Catarina;4200051;Abdon Batista;True;2023;publica;medio;todos (1-4);91.8;0.915571;257.46;260.13;4.199687;3.8;;115985.219;44644.04;110319.136;42463.1;75130.849;29649.11;29846.495;3426.206;16052.332;22296.53;71621.562;3509.287;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária
4;Sul;42;SC;Santa Catarina;4200101;Abelardo Luz;True;2023;publica;medio;todos (1-4);86.3;0.870168;262.45;267.9;4.386089;3.8;;1085858.106;62434.34;1018505.521;58561.73;785908.066;43625.2;253354.051;99921.301;278883.447;100027.724;732186.523;53721.543;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
4;Sul;42;SC;Santa Catarina;4200200;Agrolândia;False;;;;;;;;;;;;496110.326;45141.98;450052.033;40951.05;396148.384;35497.17;55175.622;127230.682;119960.432;61677.39;364044.127;32104.257;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
4;Sul;42;SC;Santa Catarina;4200309;Agronômica;True;2023;publica;medio;todos (1-4);90.2;0.898233;268.53;266.62;4.45232;4.0;;279405.695;46144.62;234769.166;38772.78;232893.071;41812.04;69700.205;46955.272;58194.749;32887.083;207737.308;25155.763;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Indústrias de transformação
4;Sul;42;SC;Santa Catarina;4200408;Água Doce;True;2023;publica;medio;todos (1-4);90.0;0.901887;285.25;265.81;4.675026;4.2;;747811.766;114906.54;755266.607;116052.03;651091.671;90934.59;194892.198;226011.45;145766.059;47717.035;614386.741;36704.931;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
4;Sul;42;SC;Santa Catarina;4200507;Águas de Chapecó;False;;;;;;;;;;;;240633.331;39866.36;159833.2;26479.99;137706.696;21043.2;51528.909;8299.492;36815.471;35180.063;131823.934;5882.761;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
4;Sul;42;SC;Santa Catarina;4200556;Águas Frias;False;;;;;;;;;;;;183331.993;64576.26;206975.31;72904.3;163075.085;69660.44;31273.407;29827.735;63111.56;18040.967;142253.668;20821.417;Comércio e reparação de veículos automotores e motocicletas;Demais serviços;Pecuária, inclusive apoio à pecuária
4;Sul;42;SC;Santa Catarina;4200606;Águas Mornas;True;2023;publica;medio;todos (1-4);90.4;0.903093;279.33;263.3;4.554305;4.1;;281792.179;41790.33;211415.892;31353.39;199589.555;30031.53;51584.999;22262.914;77980.415;35813.706;187642.035;11947.519;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social
4;Sul;42;SC;Santa Catarina;4200705;Alfredo Wagner;False;;;;;;;;;;;;414786.613;39575.1;352092.918;33593.45;336468.535;33195.4;153640.895;17235.244;108411.334;43305.384;322592.858;13875.677;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
4;Sul;42;SC;Santa Catarina;4200754;Alto Bela Vista;True;2023;publica;medio;todos (1-4);96.6;0.966192;316.03;306.1;5.710473;5.5;;94012.018;50653.03;82056.61;44211.54;78996.026;41251.19;31860.51;9183.349;16673.616;16834.175;74551.651;4444.375;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
