region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;has_educational_record;school_year;school_network;education_level;school_grades;approval_rate;performance_indicator;saeb_math_score;saeb_portuguese_score;saeb_standardized_average_score;ideb;ideb_projection;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021
2;Nordeste;28;SE;Sergipe;2800100;Amparo do São Francisco;True;2023;publica;medio;todos (1-4);98.5;0.988753;251.6;270.71;4.275767;4.2;;49411.591;22770.32;39348.389;18132.9;37966.816;15912.33;1991.836;3576.698;6625.269;23763.737;35957.539;2009.276;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação
2;Nordeste;28;SE;Sergipe;2800209;Aquidabã;True;2023;publica;medio;todos (1-4);91.9;0.920447;254.91;256.59;4.110879;3.8;;362299.329;17997.09;293234.442;14566.31;287874.395;13207.67;49086.217;14564.801;81227.715;127160.343;272039.076;15835.318;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;28;SE;Sergipe;2800308;Aracaju;True;2023;publica;medio;todos (1-4);88.9;0.895187;262.34;267.35;4.37631;3.9;;22291877.481;36983.19;20604498.178;34183.76;18405677.788;27364.4;3330.158;1850430.687;10683341.648;3511932.57;16049035.063;2356642.725;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
2;Nordeste;28;SE;Sergipe;2800407;Arauá;True;2023;publica;medio;todos (1-4);95.3;0.955847;243.2;244.02;3.758239;3.6;;203786.827;19750.61;153674.521;14893.83;140121.885;14240.03;34309.894;7663.025;27264.771;62856.674;132094.364;8027.521;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2;Nordeste;28;SE;Sergipe;2800506;Areia Branca;False;;;;;;;;;;;;353833.617;19569.36;282928.543;15647.84;252263.149;13400.43;46114.241;15837.316;64573.113;108155.226;234679.896;17583.253;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;28;SE;Sergipe;2800605;Barra dos Coqueiros;False;;;;;;;;;;;;2478981.558;59718.67;2283499.222;55009.5;2581591.798;82114.31;3614.258;1756682.227;214610.177;209915.431;2184822.093;396769.705;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2;Nordeste;28;SE;Sergipe;2800670;Boquim;True;2023;publica;medio;todos (1-4);98.9;0.989613;272.12;272.65;4.593011;4.5;;436636.496;17723.51;365383.428;14830.08;333080.032;12345.44;27215.269;12256.108;115890.561;148606.148;303968.086;29111.946;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2;Nordeste;28;SE;Sergipe;2800704;Brejo Grande;True;2023;publica;medio;todos (1-4);90.9;0.917552;244.49;243.74;3.772165;3.5;;122925.634;15677.29;108239.831;13804.34;95886.083;11420.45;12858.358;4143.003;19533.963;55138.924;91674.248;4211.835;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;28;SE;Sergipe;2801009;Campo do Brito;True;2023;publica;medio;todos (1-4);88.2;0.896272;257.71;264.4;4.267121;3.8;;354386.358;19526.5;277079.53;15266.93;237677.001;12970.1;18999.677;26048.874;72771.467;102397.888;220217.906;17459.095;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
2;Nordeste;28;SE;Sergipe;2801108;Canhoba;True;2023;publica;medio;todos (1-4);99.1;0.99187;252.47;254.65;4.047567;4.0;;95134.774;25094.9;77113.345;20341.16;84436.411;21093.28;33967.864;3699.28;12785.477;29053.053;79505.675;4930.736;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços
2;Nordeste;28;SE;Sergipe;2801207;Canindé de São Francisco;True;2023;publica;medio;todos (1-4);89.8;0.905115;257.41;258.21;4.170242;3.8;;2967956.618;110604.33;2954227.833;110092.71;2895221.78;93714.69;34942.808;2467497.911;141234.648;221038.554;2864713.921;30507.859;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
2;Nordeste;28;SE;Sergipe;2801306;Capela;True;2023;publica;medio;todos (1-4);91.5;0.917275;242.36;238.93;3.670243;3.4;;595060.958;18804.26;439115.131;13876.29;385290.499;11069.02;32283.32;22998.541;111317.25;196431.718;363030.829;22259.67;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
2;Nordeste;28;SE;Sergipe;2801405;Carira;True;2023;publica;medio;todos (1-4);78.5;0.788063;253.82;261.7;4.172067;3.3;;723768.733;36299.15;458583.778;22999.34;379817.764;16961.45;84247.412;21782.293;116571.083;123796.742;346397.529;33420.234;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita
