region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;has_educational_record;school_year;school_network;education_level;school_grades;approval_rate;performance_indicator;saeb_math_score;saeb_portuguese_score;saeb_standardized_average_score;ideb;ideb_projection;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021
3;Sudeste;35;SP;São Paulo;3500105;Adamantina;True;2023;publica;medio;todos (1-4);95.2;0.953572;278.15;289.92;4.936235;4.7;;1705894.987;49179.66;1542108.768;44457.83;1370865.929;38997.12;54224.142;178323.41;785582.034;228217.171;1246346.757;124519.171;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
3;Sudeste;35;SP;São Paulo;3500204;Adolfo;True;2023;publica;medio;todos (1-4);99.0;0.990143;280.04;285.4;4.895115;4.8;;215282.976;49478.96;152744.965;35105.71;115489.988;32578.28;22826.148;17782.937;42622.327;27140.209;110371.621;5118.367;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita
3;Sudeste;35;SP;São Paulo;3500303;Aguaí;True;2023;publica;medio;todos (1-4);89.0;0.899118;262.67;273.83;4.477951;4.0;;1773842.732;55308.14;1538788.797;47979.2;1314737.257;35551.7;121795.919;358840.73;437984.526;151739.51;1070360.685;244376.572;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social
3;Sudeste;35;SP;São Paulo;3500402;Águas da Prata;True;2023;publica;medio;todos (1-4);90.2;0.904626;276.78;290.01;4.918341;4.4;;272358.712;36960.06;237447.327;32222.46;209003.992;25297.02;25096.376;25550.804;106278.688;36922.718;193848.586;15155.406;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
3;Sudeste;35;SP;São Paulo;3500501;Águas de Lindóia;True;2023;publica;medio;todos (1-4);89.2;0.904564;286.93;295.49;5.142933;4.7;;801114.539;44680.12;709589.578;39799.74;585603.941;30971.23;10298.965;41438.678;372529.721;114950.716;539218.08;46385.86;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
3;Sudeste;35;SP;São Paulo;3500550;Águas de Santa Bárbara;True;2023;publica;medio;todos (1-4);93.0;0.937247;271.23;275.34;4.620781;4.3;;375561.879;52328.53;254816.779;35504.64;217295.581;35378.64;70378.677;9944.378;82958.154;41021.111;204302.32;12993.261;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social
3;Sudeste;35;SP;São Paulo;3500600;Águas de São Pedro;True;2023;publica;medio;todos (1-4);99.2;0.994268;278.75;288.43;4.922357;4.9;;185389.984;66687.04;160664.986;57793.16;147855.135;41208.23;0.0;8858.841;98194.675;31514.802;138568.318;9286.817;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
3;Sudeste;35;SP;São Paulo;3500709;Agudos;True;2023;publica;medio;todos (1-4);94.0;0.939831;259.48;271.61;4.399914;4.1;;3415808.553;90653.09;2685446.015;71269.8;2638622.611;70209.74;85373.367;1120495.303;780808.117;207612.863;2194289.65;444332.962;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
3;Sudeste;35;SP;São Paulo;3500758;Alambari;True;2023;publica;medio;todos (1-4);94.7;0.950083;254.52;262.43;4.192826;4.0;;160252.134;26095.45;133707.111;21772.86;129389.561;20765.46;35450.074;11402.717;42753.369;32355.482;121961.643;7427.919;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita
3;Sudeste;35;SP;São Paulo;3500808;Alfredo Marcondes;True;2023;publica;medio;todos (1-4);94.5;0.955222;254.49;256.87;4.109171;3.9;;158136.921;35576.36;129964.952;29238.46;120354.905;28649.11;9081.353;21154.99;35648.145;24617.494;90501.981;29852.924;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação
3;Sudeste;35;SP;São Paulo;3500907;Altair;True;2023;publica;medio;todos (1-4);91.2;0.912718;252.62;258.02;4.100123;3.7;;210528.68;61005.12;126933.661;36781.7;112274.385;26662.17;48058.627;5048.541;24150.276;29230.491;106487.936;5786.449;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
