region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;has_educational_record;school_year;school_network;education_level;school_grades;approval_rate;performance_indicator;saeb_math_score;saeb_portuguese_score;saeb_standardized_average_score;ideb;ideb_projection;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021
1;Norte;17;TO;Tocantins;1700251;Abreulândia;True;2023;publica;medio;todos (1-4);97.8;0.977028;247.63;246.89;3.863422;3.8;;141930.063;55097.07;109870.948;42651.77;112134.759;42979.98;74730.016;2743.122;9664.574;23144.709;110282.421;1852.338;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária
1;Norte;17;TO;Tocantins;1700301;Aguiarnópolis;True;2023;publica;medio;todos (1-4);91.2;0.911446;259.26;258.39;4.19892;3.8;;226238.275;50308.71;224319.851;49882.11;165479.833;23475.65;17292.131;21956.214;45844.36;51230.851;136323.556;29156.277;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas
1;Norte;17;TO;Tocantins;1700350;Aliança do Tocantins;True;2023;publica;medio;todos (1-4);99.4;0.994949;272.49;261.39;4.429645;4.4;;423069.71;82197.34;233447.077;45355.95;616571.342;116268.4;472908.832;6296.059;72123.267;43472.902;594801.059;21770.282;Produção florestal, pesca e aquicultura;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
1;Norte;17;TO;Tocantins;1700400;Almas;True;2023;publica;medio;todos (1-4);100.0;1.0;245.91;252.26;3.919654;3.9;;336120.393;51718.79;273731.679;42119.05;273740.577;39643.82;183498.054;6912.179;24691.477;51962.89;267064.6;6675.977;Produção florestal, pesca e aquicultura;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social
1;Norte;17;TO;Tocantins;1700707;Alvorada;True;2023;publica;medio;todos (1-4);95.8;0.961545;262.7;278.93;4.55472;4.4;;886077.059;100667.7;628959.278;71456.41;474111.349;56569.78;152194.498;42885.209;146123.308;65048.041;406251.056;67860.294;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social
1;Norte;17;TO;Tocantins;1701002;Ananás;True;2023;publica;medio;todos (1-4);90.8;0.904856;262.21;256.65;4.214305;3.8;;199525.611;19324.51;173648.609;16818.27;159769.353;16933.69;42526.925;4488.129;34258.264;69557.592;150830.909;8938.444;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
1;Norte;17;TO;Tocantins;1701051;Angico;True;2023;publica;medio;todos (1-4);100.0;1.0;272.64;266.26;4.504656;4.5;;54433.374;18926.76;49246.946;17123.42;48276.163;13892.42;10233.649;1661.377;6295.633;28757.975;46948.634;1327.529;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços
1;Norte;17;TO;Tocantins;1701101;Aparecida do Rio Negro;True;2023;publica;medio;todos (1-4);95.8;0.95806;241.33;245.55;3.754879;3.6;;283246.785;58329.24;288442.148;59399.12;255912.273;52216.34;161632.6;6607.715;38178.025;41229.371;247647.711;8264.562;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços
1;Norte;17;TO;Tocantins;1701309;Aragominas;True;2023;publica;medio;todos (1-4);98.8;0.987663;252.25;255.85;4.062441;4.0;;113907.856;21532.68;93577.024;17689.42;98441.127;17255.24;43333.847;1784.093;8618.104;42907.949;96643.993;1797.134;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita
1;Norte;17;TO;Tocantins;1701903;Araguacema;False;;;;;;;;;;;;411910.607;69497.32;347916.932;58700.34;240245.613;33261.2;148349.98;6923.334;24594.706;54962.666;234830.686;5414.927;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária
1;Norte;17;TO;Tocantins;1702000;Araguaçu;True;2023;publica;medio;todos (1-4);98.9;0.988568;270.92;265.46;4.468523;4.4;;474482.993;58340.46;388687.821;47791.44;349049.713;41464.68;200286.224;8542.364;63019.699;64898.781;336747.068;12302.645;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social
1;Norte;17;TO;Tocantins;1702109;Araguaína;True;2023;publica;medio;todos (1-4);94.9;0.949748;266.06;270.7;4.478707;4.3;;7357637.906;42951.52;6165264.538;35990.83;5239050.441;28129.89;112274.37;521090.338;2540744.286;1341819.103;4515928.096;723122.345;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas
1;Norte;17;TO;Tocantins;1702158;Araguanã;True;2023;publica;medio;todos (1-4);95.1;0.950191;241.92;249.73;3.82574;3.6;;107609.051;24967.3;90228.162;20934.61;101857.801;17393.75;39949.034;3244.878;10891.205;45416.86;99501.976;2355.825;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita
