region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_federal_fundamental_iniciais_1_5;performance_indicator_federal_fundamental_iniciais_1_5;saeb_math_score_federal_fundamental_iniciais_1_5;saeb_portuguese_score_federal_fundamental_iniciais_1_5;saeb_standardized_average_score_federal_fundamental_iniciais_1_5;ideb_federal_fundamental_iniciais_1_5;ideb_projection_federal_fundamental_iniciais_1_5;approval_rate_federal_fundamental_finais_6_9;performance_indicator_federal_fundamental_finais_6_9;saeb_math_score_federal_fundamental_finais_6_9;saeb_portuguese_score_federal_fundamental_finais_6_9;saeb_standardized_average_score_federal_fundamental_finais_6_9;ideb_federal_fundamental_finais_6_9;ideb_projection_federal_fundamental_finais_6_9
1;Norte;12;AC;Acre;1200013;Acrelândia;502663.016;35850.73;445829.309;31797.25;398724.884;25362.56;157857.659;13439.221;91388.786;114911.158;377596.825;21128.059;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;77.2;0.78646;262.95;261.66;4.299698;3.4;;77.2;0.78646;262.95;261.66;4.299698;3.4;;90.5;0.904841;251.2;256.04;5.120667;4.6;;90.3;0.902561;251.2;256.04;5.120667;4.6;;97.0;0.969634;207.06;191.85;5.403761;5.2;;97.0;0.969634;207.06;191.85;5.403761;5.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;12;AC;Acre;1200054;Assis Brasil;187366.498;23131.67;164920.809;20360.59;133916.175;17507.67;44810.294;3943.744;20601.455;61986.011;131341.504;2574.671;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;6;True;86.0;0.866122;266.78;267.12;4.435227;3.8;;86.0;0.866122;266.78;267.12;4.435227;3.8;;72.6;0.714329;237.59;236.08;4.561167;3.3;;72.6;0.714329;237.59;236.08;4.561167;3.3;;93.3;0.932457;204.49;196.04;5.430897;5.1;;82.7;0.830368;204.49;196.04;5.430897;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;12;AC;Acre;1200104;Brasiléia;929800.488;35761.56;820792.843;31568.96;685636.225;25278.78;185723.919;45440.044;171335.056;203111.807;605610.826;80025.399;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;7;True;94.5;0.946945;271.22;268.43;4.517197;4.3;;94.5;0.946945;271.22;268.43;4.517197;4.3;;95.9;0.959265;263.44;267.92;5.522667;5.3;;95.9;0.959265;263.44;267.92;5.522667;5.3;;97.7;0.976216;215.83;202.44;5.763673;5.6;;98.0;0.979478;233.08;215.78;6.335417;6.2;;99.1;0.991101;272.53;246.29;7.643007;7.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;12;AC;Acre;1200138;Bujari;365418.786;28289.76;344752.47;26689.83;300830.265;28455.38;168855.771;8390.806;36997.695;81805.917;296050.189;4780.076;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;88.7;0.886603;245.62;246.36;3.827257;3.4;;88.7;0.886603;245.62;246.36;3.827257;3.4;;84.9;0.849442;225.58;231.37;4.2825;3.6;;85.4;0.854607;225.58;231.37;4.2825;3.7;;96.4;0.964108;169.69;167.99;4.256775;4.1;;96.2;0.963292;169.69;167.99;4.256775;4.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;12;AC;Acre;1200179;Capixaba;530656.841;51063.98;717612.049;69054.28;512352.894;41722.55;342298.272;13142.103;52997.489;94528.186;502966.051;9386.843;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;6;True;81.4;0.827358;261.79;262.08;4.289693;3.5;;81.4;0.827358;261.79;262.08;4.289693;3.5;;86.7;0.865685;233.72;242.66;4.606333;4.0;;87.0;0.871056;235.87;237.58;4.5575;4.0;;92.2;0.921868;189.53;179.27;4.840492;4.5;;92.2;0.921868;189.53;179.27;4.840492;4.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;12;AC;Acre;1200203;Cruzeiro do Sul;2680143.051;29167.5;2313075.195;25172.77;2058629.669;22934.82;100356.957;167725.301;900139.923;696401.756;1864623.937;194005.732;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;8;True;86.3;0.875811;265.97;267.59;4.430886;3.9;;87.3;0.885849;265.97;267.59;4.430886;3.9;;95.5;0.954652;250.15;256.19;5.105667;4.9;;95.6;0.955364;249.28;255.24;5.075333;4.8;;94.8;0.947863;192.05;190.26;5.088402;4.8;;96.3;0.963358;214.04;211.87;5.900967;5.7;;98.0;0.979912;232.8;230.29;6.593892;6.5;;96.0;0.962983;235.13;239.68;4.580167;4.4;;;;;;;;;;;;;;;;;;;;;;
1;Norte;12;AC;Acre;1200252;Epitaciolândia;793426.711;42300.3;776867.616;41417.48;644541.502;33960.77;160895.347;22539.976;246925.145;143215.398;573575.866;70965.636;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;Demais serviços;6;True;91.8;0.923534;265.33;269.05;4.443754;4.1;;91.8;0.923534;265.33;269.05;4.443754;4.1;;94.9;0.950572;260.57;266.21;5.446333;5.2;;94.9;0.950572;260.57;266.21;5.446333;5.2;;98.2;0.98255;229.48;216.58;6.28126;6.2;;98.2;0.98255;229.48;216.58;6.28126;6.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;12;AC;Acre;1200302;Feijó;741343.805;20926.55;639843.594;18061.41;567040.488;16207.64;172858.325;24430.691;103189.963;248872.237;549351.216;17689.272;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;7;True;90.9;0.928951;254.63;250.52;4.016078;3.7;;90.9;0.928951;254.63;250.52;4.016078;3.7;;89.7;0.89524;249.37;255.92;5.088167;4.6;;89.7;0.89524;249.37;255.92;5.088167;4.6;;85.1;0.850248;209.36;198.95;5.576745;4.7;;87.9;0.880183;227.36;215.83;6.227166;5.5;;90.6;0.909041;233.58;221.67;6.45205;5.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;12;AC;Acre;1200328;Jordão;150648.095;16335.73;136531.072;14804.93;113975.208;13209.92;21976.924;2459.774;14030.504;73684.212;112151.415;1823.793;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;8;True;90.0;0.936562;251.72;264.58;4.185686;3.9;;90.0;0.936562;251.72;264.58;4.185686;3.9;;98.2;0.982086;237.63;244.06;4.694833;4.6;;94.7;0.946796;247.36;250.02;4.956333;4.7;;95.5;0.952608;182.78;174.41;4.623312;4.4;;96.3;0.961065;201.22;186.76;5.199765;5.0;;100.0;1.0;217.47;197.63;5.707516;5.7;;93.8;0.938625;258.7;256.97;5.261167;4.9;;;;;;;;;;;;;;;;;;;;;;
1;Norte;12;AC;Acre;1200336;Mâncio Lima;339224.183;17581.85;289345.138;14991.98;269204.838;13704.87;53380.808;13659.005;48626.059;147681.74;263347.612;5857.226;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;85.4;0.855859;250.25;256.68;4.046776;3.5;;85.4;0.855859;250.25;256.68;4.046776;3.5;;93.4;0.933427;233.59;241.94;4.592167;4.3;;93.4;0.933427;233.59;241.94;4.592167;4.3;;96.3;0.963692;191.59;183.18;4.950896;4.8;;96.4;0.964958;191.59;183.18;4.950896;4.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
