region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4
2;Nordeste;27;AL;Alagoas;2700102;Água Branca;246052.188;12832.6;218171.81;11477.89;202705.02;10003.7;34102.722;6900.23;46774.129;108512.583;196289.664;6415.355;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;97.5;0.973958;259.5;257.74;4.19256;4.1;;97.5;0.973958;259.5;257.74;4.19256;4.1;;97.5;0.975512;213.4;201.83;5.706208;5.6;;97.5;0.975512;213.4;201.83;5.706208;5.6;;91.2;0.913435;245.51;243.11;4.810333;4.4;;91.2;0.913435;245.51;243.11;4.810333;4.4;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;27;AL;Alagoas;2700201;Anadia;276951.671;19830.42;234236.944;16960.17;250500.324;14308.58;87012.19;14073.951;47812.205;93058.729;241957.075;8543.249;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;6;True;90.1;0.91091;250.25;248.75;3.928064;3.6;;90.1;0.91091;250.25;248.75;3.928064;3.6;;100.0;1.0;231.96;212.63;6.25677;6.3;;100.0;1.0;231.96;212.63;6.25677;6.3;;100.0;1.0;264.25;265.84;5.5015;5.5;;100.0;1.0;264.25;265.84;5.5015;5.5;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;27;AL;Alagoas;2700300;Arapiraca;6880940.082;29318.52;5859831.25;24967.75;5916237.941;25249.73;1159463.243;466663.138;2675436.489;952828.767;5254391.637;661846.304;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;Comércio e reparação de veículos automotores e motocicletas;7;True;93.1;0.934626;274.33;279.76;4.730488;4.4;;92.9;0.932579;270.81;277.27;4.643774;4.3;;97.4;0.974348;212.47;199.96;5.65446;5.5;;97.4;0.974348;212.47;199.96;5.65446;5.5;;91.8;0.91854;249.91;254.08;5.0665;4.7;;93.7;0.937619;254.99;257.59;5.209667;4.9;;98.3;0.982984;261.06;261.78;5.380667;5.3;;;;;;;;;;;;;;;
2;Nordeste;27;AL;Alagoas;2700409;Atalaia;1637106.831;43642.22;1135583.114;30272.53;1500459.65;31562.05;888066.539;92736.966;219985.033;251802.498;1452591.036;47868.613;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;6;True;95.4;0.953558;255.76;255.55;4.107248;3.9;;95.4;0.953558;255.76;255.55;4.107248;3.9;;99.4;0.993988;201.69;199.33;5.43728;5.4;;99.4;0.993988;201.69;199.33;5.43728;5.4;;95.7;0.958347;239.6;250.13;4.828833;4.6;;95.7;0.958347;239.6;250.13;4.828833;4.6;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;27;AL;Alagoas;2700508;Barra de Santo Antônio;358500.789;21906.56;268712.346;16419.94;262046.828;16174.73;107404.498;13175.464;46809.102;88312.073;255701.137;6345.691;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Produção florestal, pesca e aquicultura;6;True;97.7;0.978756;257.93;256.47;4.151498;4.1;;97.7;0.978756;257.93;256.47;4.151498;4.1;;98.7;0.98855;183.49;173.17;4.614316;4.6;;98.7;0.98855;183.49;173.17;4.614316;4.6;;97.1;0.969874;223.5;231.08;4.243;4.1;;97.1;0.969874;223.5;231.08;4.243;4.1;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;27;AL;Alagoas;2700607;Barra de São Miguel;304435.563;38322.7;259441.556;32658.81;238456.185;28273.2;42233.334;28737.927;102825.383;49912.7;223709.343;14746.841;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Produção florestal, pesca e aquicultura;6;True;78.6;0.776427;261.76;262.63;4.297506;3.3;;78.6;0.776427;261.76;262.63;4.297506;3.3;;97.9;0.982204;209.6;198.07;5.565325;5.5;;97.9;0.982204;209.6;198.07;5.565325;5.5;;81.0;0.789266;229.07;224.12;4.219833;3.3;;81.0;0.789266;229.07;224.12;4.219833;3.3;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;27;AL;Alagoas;2700706;Batalha;308733.305;18405.47;247802.949;15065.84;229982.453;12471.93;33768.811;11765.661;68514.221;102911.283;216959.976;13022.477;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;6;True;95.2;0.952624;268.59;271.01;4.518882;4.3;;96.8;0.967253;264.56;261.64;4.322011;4.2;;99.8;0.998195;225.16;212.22;6.119545;6.1;;99.8;0.998195;225.16;212.22;6.119545;6.1;;100.0;1.0;251.09;240.92;4.866833;4.9;;100.0;1.0;251.09;240.92;4.866833;4.9;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;27;AL;Alagoas;2700805;Belém;187160.23;39635.8;145721.211;30860.06;191336.348;45275.99;137598.741;4535.098;17461.337;30642.609;190237.785;1098.563;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;6;True;97.1;0.967708;244.76;237.72;3.685837;3.6;;97.1;0.967708;244.76;237.72;3.685837;3.6;;100.0;1.0;218.65;209.14;5.939308;5.9;;100.0;1.0;218.65;209.14;5.939308;5.9;;95.8;0.95844;251.37;254.98;5.105833;4.9;;95.8;0.95844;251.37;254.98;5.105833;4.9;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;27;AL;Alagoas;2700904;Belo Monte;196376.816;33934.13;111702.348;18817.78;151407.058;22540.88;76750.475;16365.751;15593.432;39973.116;148682.774;2724.283;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;6;True;95.6;0.949316;250.4;243.36;3.849482;3.7;;95.6;0.949316;250.4;243.36;3.849482;3.7;;100.0;1.0;231.84;215.85;6.313026;6.3;;100.0;1.0;231.84;215.85;6.313026;6.3;;99.5;0.996463;283.66;267.67;5.8555;5.8;;99.5;0.996463;283.66;267.67;5.8555;5.8;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;27;AL;Alagoas;2701001;Boca da Mata;565490.707;26690.46;425181.351;20068.03;506080.912;18450.58;217957.807;41939.584;94290.228;130748.039;484935.658;21145.254;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;6;True;100.0;1.0;261.38;255.54;4.186031;4.2;;100.0;1.0;261.38;255.54;4.186031;4.2;;99.9;0.999197;221.81;204.9;5.922523;5.9;;99.9;0.999197;221.81;204.9;5.922523;5.9;;100.0;1.0;247.43;249.68;4.951833;5.0;;100.0;1.0;247.43;249.68;4.951833;5.0;;;;;;;;;;;;;;;;;;;;;;
