region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4
1;Norte;13;AM;Amazonas;1300029;Alvarães;242584.495;15289.58;222261.723;14008.68;217332.509;13255.22;66407.124;10232.344;32275.709;104372.105;213287.281;4045.227;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;8;True;73.3;0.728945;234.82;234.36;3.495931;2.5;;73.3;0.728945;234.82;234.36;3.495931;2.5;;85.3;0.85581;227.57;220.71;4.138;3.5;;93.1;0.931217;172.44;168.18;4.312711;4.0;;93.2;0.931168;183.43;175.43;4.654262;4.3;;85.7;0.857623;231.41;232.8;4.4035;3.8;;86.1;0.860631;232.31;235.62;4.4655;3.8;;93.6;0.935849;212.43;194.57;5.555697;5.2;;;;;;;;
1;Norte;13;AM;Amazonas;1300060;Amaturá;134731.625;12453.24;124174.907;11477.48;118871.741;9960.76;13548.264;5176.561;19563.875;77746.18;116034.88;2836.861;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;8;True;91.3;0.914603;237.67;229.8;3.467696;3.2;;91.3;0.914603;237.67;229.8;3.467696;3.2;;80.1;0.806476;228.91;229.99;4.315;3.5;;91.4;0.905753;164.56;152.96;3.885602;3.5;;90.6;0.90559;173.49;160.6;4.194931;3.8;;85.3;0.85719;233.28;248.26;4.692333;4.0;;95.3;0.954329;236.14;260.17;4.9385;4.7;;83.3;0.85673;189.36;174.17;4.74452;4.1;;;;;;;;
1;Norte;13;AM;Amazonas;1300086;Anamã;154694.426;15528.45;135488.422;13600.52;138599.397;9697.69;36623.922;6641.347;20013.702;72409.641;135688.612;2910.785;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;8;True;86.0;0.858984;238.27;236.91;3.58256;3.1;;86.0;0.858984;238.27;236.91;3.58256;3.1;;96.1;0.958999;214.55;222.58;3.952167;3.8;;98.7;0.987221;176.44;174.24;4.499228;4.4;;99.0;0.989679;208.14;203.89;5.643281;5.6;;96.5;0.964633;234.25;243.36;4.626833;4.5;;97.1;0.970954;246.87;256.68;5.059167;4.9;;100.0;1.0;244.06;237.48;6.939505;6.9;;;;;;;;
1;Norte;13;AM;Amazonas;1300102;Anori;297170.704;17283.4;252603.104;14691.35;248435.25;11324.94;83154.828;10306.785;33232.566;115607.169;242301.348;6133.902;Administração, defesa, educação e saúde públicas e seguridade social;Produção florestal, pesca e aquicultura;Demais serviços;8;True;93.7;0.938456;255.72;257.63;4.137824;3.9;;93.7;0.938456;255.72;257.63;4.137824;3.9;;89.3;0.8937;233.62;245.5;4.652;4.2;;84.2;0.841288;185.69;175.88;4.705573;4.0;;88.0;0.879929;193.28;185.1;5.018057;4.4;;92.9;0.929454;244.6;252.83;4.957167;4.6;;99.7;0.997227;260.44;263.42;5.397667;5.4;;98.7;0.987149;208.84;204.03;5.659185;5.6;;;;;;;;
1;Norte;13;AM;Amazonas;1300144;Apuí;386133.301;18701.67;321020.398;15548.04;297810.086;13096.89;84455.832;24728.401;59992.079;113588.958;282765.269;15044.817;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços;8;True;78.5;0.788698;257.37;251.89;4.07507;3.2;;78.5;0.788698;257.37;251.89;4.07507;3.2;;82.6;0.825659;227.88;227.71;4.259833;3.5;;87.3;0.865889;190.99;178.6;4.856173;4.2;;88.8;0.877769;196.87;182.72;5.043296;4.4;;87.3;0.873274;245.09;241.47;4.776;4.2;;97.7;0.977701;263.55;256.23;5.329667;5.2;;91.6;0.902192;202.51;186.66;5.222566;4.7;;;;;;;;
1;Norte;13;AM;Amazonas;1300201;Atalaia do Norte;206768.902;13501.95;177564.771;11594.93;184947.271;8862.72;26576.167;5315.828;25012.825;123688.707;180593.528;4353.744;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;80.3;0.801234;227.13;225.22;3.251099;2.6;;80.3;0.801234;227.13;225.22;3.251099;2.6;;;;;;;;;94.0;0.940384;170.77;158.36;4.102295;3.9;;94.0;0.941267;170.77;158.36;4.102295;3.9;;86.3;0.865462;224.8;222.76;4.126;3.6;;88.5;0.876604;224.8;222.76;4.126;3.6;;;;;;;;;;;;;;;
1;Norte;13;AM;Amazonas;1300300;Autazes;584989.752;14074.43;567927.776;13658.02;506340.588;12348.26;118723.645;31985.203;95443.012;238317.386;484469.246;21871.342;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;7;True;83.4;0.835606;241.17;241.12;3.686314;3.1;;83.4;0.835606;241.17;241.12;3.686314;3.1;;;;;;;;;88.4;0.880762;194.59;193.15;5.189421;4.6;;89.4;0.892513;196.51;190.3;5.174244;4.6;;87.3;0.872038;236.18;246.99;4.7195;4.1;;87.1;0.860308;236.18;246.99;4.7195;4.1;;92.7;0.930155;197.19;189.29;5.168857;4.8;;;;;;;;
1;Norte;13;AM;Amazonas;1300409;Barcelos;242100.261;12854.43;207958.551;11043.42;245621.569;8844.22;31861.9;19069.033;41808.891;146399.995;239139.819;6481.75;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura;7;True;88.0;0.878787;245.9;245.05;3.811579;3.3;;88.0;0.878787;245.9;245.05;3.811579;3.3;;;;;;;;;92.9;0.927613;203.47;186.45;5.237068;4.9;;93.4;0.933003;207.65;191.54;5.409384;5.0;;92.3;0.922674;242.0;247.77;4.8295;4.5;;93.8;0.937507;242.0;247.77;4.8295;4.5;;96.1;0.961427;217.53;203.56;5.81648;5.6;;;;;;;;
1;Norte;13;AM;Amazonas;1300508;Barreirinha;398068.438;12819.83;377493.439;12151.73;344889.507;10476.91;52170.922;16600.356;57523.414;208089.569;334384.261;10505.246;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;8;True;87.7;0.877848;238.58;235.57;3.566854;3.1;;87.7;0.877848;238.58;235.57;3.566854;3.1;;86.8;0.868816;220.58;231.29;4.197833;3.6;;98.3;0.982776;185.17;174.08;4.662922;4.6;;97.6;0.975595;187.29;177.85;4.771926;4.7;;86.7;0.867559;231.91;237.31;4.487;3.9;;86.5;0.864661;241.45;242.38;4.7305;4.1;;93.9;0.942868;189.36;181.55;4.878702;4.6;;;;;;;;
1;Norte;13;AM;Amazonas;1300607;Benjamin Constant;469445.192;12469.33;390615.591;10375.47;388780.899;8664.03;36798.708;24291.26;64580.178;251028.324;376698.469;12082.43;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;8;True;95.6;0.95621;231.42;221.19;3.251023;3.1;;95.6;0.95621;231.42;221.19;3.251023;3.1;;97.1;0.97092;228.84;225.22;4.234333;4.1;;98.5;0.984717;196.98;185.53;5.096486;5.0;;98.6;0.986331;206.6;195.46;5.460619;5.4;;97.4;0.97419;234.82;234.17;4.483167;4.4;;99.5;0.994991;247.78;253.55;5.022167;5.0;;100.0;1.0;234.6;224.38;6.520788;6.5;;;;;;;;
1;Norte;13;AM;Amazonas;1300631;Beruri;262120.815;12651.84;239687.419;11569.04;211871.211;10333.67;26467.472;10111.881;38302.653;129777.153;204659.159;7212.053;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura;8;True;90.1;0.900876;258.69;258.63;4.194507;3.8;;90.1;0.900876;258.69;258.63;4.194507;3.8;;85.0;0.849571;212.2;211.22;3.723667;3.2;;92.7;0.927419;178.6;168.07;4.428268;4.1;;93.6;0.935791;193.66;180.83;4.947672;4.6;;86.9;0.869014;222.26;222.48;4.079;3.5;;96.1;0.956204;242.6;245.27;4.797833;4.6;;99.4;0.993852;241.86;221.64;6.60952;6.6;;;;;;;;
1;Norte;13;AM;Amazonas;1300680;Boa Vista do Ramos;243779.045;10249.28;216113.413;9086.12;182412.101;9102.4;25810.385;9165.166;30379.255;112933.086;178287.892;4124.209;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura;8;True;90.0;0.900975;239.97;236.01;3.592963;3.2;;90.0;0.900975;239.97;236.01;3.592963;3.2;;89.9;0.899692;231.62;248.79;4.6735;4.2;;95.4;0.95255;161.68;156.06;3.887003;3.7;;95.7;0.957466;180.98;176.89;4.634051;4.4;;91.1;0.911573;242.15;244.91;4.784333;4.4;;93.0;0.93089;243.7;244.33;4.8005;4.5;;96.7;0.972445;205.53;203.39;5.584381;5.4;;;;;;;;
1;Norte;13;AM;Amazonas;1300706;Boca do Acre;661734.76;18668.29;576050.778;16251.04;512795.578;14668.9;121255.395;53416.793;115369.362;189778.013;479819.562;32976.016;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;8;True;93.5;0.936481;242.74;248.52;3.819143;3.6;;93.5;0.936481;242.74;248.52;3.819143;3.6;;96.4;0.963342;277.95;279.41;5.956;5.7;;98.2;0.981333;230.32;203.23;6.054563;5.9;;98.6;0.986567;240.84;219.6;6.552963;6.5;;96.8;0.968401;258.24;255.62;5.231;5.1;;97.4;0.976068;252.39;248.56;5.015833;4.9;;100.0;1.0;253.89;239.89;7.170918;7.2;;;;;;;;
