region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4
1;Norte;16;AP;Amapá;1600055;Serra do Navio;126543.789;27079.78;99725.003;21340.68;92138.896;16521.23;3926.101;4403.386;15663.341;64932.751;88925.579;3213.317;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;4;True;94.6;0.948834;204.94;203.06;5.567121;5.3;;94.6;0.948834;204.94;203.06;5.567121;5.3;;80.3;0.787791;239.0;234.06;3.550148;2.8;;80.3;0.787791;239.0;234.06;3.550148;2.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;16;AP;Amapá;1600105;Amapá;219044.853;27577.09;184055.672;23172.06;159527.756;17218.32;28583.102;4594.977;26863.333;95507.175;155548.587;3979.168;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura;4;True;88.5;0.8853;171.28;165.61;4.243846;3.8;;89.8;0.898009;171.28;165.61;4.243846;3.8;;;;;;;;;;;;;;;;92.6;0.923503;223.26;224.19;4.124167;3.8;;92.6;0.923503;223.26;224.19;4.124167;3.8;;;;;;;;;;;;;;;;;;;;;;
1;Norte;16;AP;Amapá;1600154;Pedra Branca do Amapari;375826.783;29254.05;391427.154;30468.37;453332.697;25721.0;7110.505;142227.968;55803.822;192839.348;397981.644;55351.053;Administração, defesa, educação e saúde públicas e seguridade social;Construção;Demais serviços;4;True;98.6;0.987083;200.29;189.88;5.238745;5.2;;97.9;0.980324;200.29;189.88;5.238745;5.1;;92.2;0.92988;252.82;263.8;4.189459;3.9;;92.2;0.92988;252.82;263.8;4.189459;3.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;16;AP;Amapá;1600204;Calçoene;295400.671;27836.47;231683.745;21832.24;186851.738;16257.87;16007.332;10558.928;38438.997;113900.615;178905.872;7945.866;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;5;True;80.5;0.791505;170.2;167.91;4.265053;3.4;;80.8;0.792063;164.35;160.69;4.022139;3.2;;;;;;;;;;;;;;;;83.2;0.83752;227.1;230.66;4.296;3.6;;83.2;0.83752;227.1;230.66;4.296;3.6;;79.2;0.771393;180.02;180.03;4.672822;3.6;;;;;;;;;;;;;;;
1;Norte;16;AP;Amapá;1600212;Cutias;115359.475;25859.56;94530.609;21190.45;94992.099;15279.41;22728.846;1951.392;8393.777;60376.803;93450.817;1541.282;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços;4;True;;;;;;;;;;;;;;;86.0;0.866607;237.59;238.95;3.603548;3.1;;86.0;0.866607;237.59;238.95;3.603548;3.1;;91.7;0.915754;219.96;232.64;4.21;3.9;;91.7;0.915754;219.96;232.64;4.21;3.9;;;;;;;;;;;;;;;;;;;;;;
1;Norte;16;AP;Amapá;1600238;Ferreira Gomes;557990.114;83706.89;478972.318;71853.03;578736.652;71001.92;3229.019;439810.403;28152.457;101349.705;572541.584;6195.069;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;6;True;83.0;0.814504;176.28;169.89;4.417084;3.6;;83.4;0.814128;176.28;169.89;4.417084;3.6;;85.0;0.848946;244.98;260.7;4.032939;3.4;;85.0;0.848946;244.98;260.7;4.032939;3.4;;85.1;0.859956;225.61;239.73;4.422333;3.8;;;;;;;;;;;;;;;;84.0;0.85071;225.61;239.73;4.422333;3.8;;;;;;;;
1;Norte;16;AP;Amapá;1600253;Itaubal;132722.74;23704.72;108364.672;19354.29;87878.458;15336.55;11715.57;2495.382;9177.287;62281.954;85670.193;2208.265;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;2;True;81.9;0.820308;161.18;154.03;3.840552;3.2;;81.9;0.812047;161.18;154.03;3.840552;3.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;16;AP;Amapá;1600279;Laranjal do Jari;1335225.46;38025.44;1168830.466;33286.74;1134544.13;21692.17;13271.415;366792.267;196684.201;525104.315;1101852.198;32691.933;Administração, defesa, educação e saúde públicas e seguridade social;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Demais serviços;7;True;92.2;0.91939;199.47;189.92;5.223823;4.8;;94.1;0.940696;199.47;189.92;5.223823;4.9;;85.0;0.853034;258.24;269.78;4.355103;3.7;;81.4;0.818709;247.24;255.03;3.979801;3.3;;79.3;0.791721;232.77;242.56;4.588833;3.6;;84.2;0.834887;229.42;238.45;4.4645;3.7;;;;;;;;;74.9;0.755222;237.96;248.95;4.781833;3.6;;;;;;;;
1;Norte;16;AP;Amapá;1600303;Macapá;18470857.969;41701.25;15571144.823;35154.63;12938091.016;24768.68;71439.507;1069060.327;5643502.592;4962327.996;11746330.422;1191760.593;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;7;True;94.8;0.947544;201.91;194.49;5.353479;5.1;;97.8;0.977462;203.76;194.96;5.39733;5.3;;84.4;0.847435;257.62;269.24;4.338312;3.7;;83.7;0.84168;254.13;265.46;4.232708;3.6;;87.5;0.876748;235.35;246.2;4.6925;4.1;;87.5;0.876748;235.35;246.2;4.6925;4.1;;90.3;0.903492;198.55;193.64;5.273902;4.8;;;;;;;;;;;;;;;
1;Norte;16;AP;Amapá;1600402;Mazagão;583553.165;26617.09;468715.056;21384.94;374987.092;16689.83;27650.66;33320.478;57293.868;235717.633;353982.639;21004.453;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias de transformação;7;True;84.7;0.842888;184.96;173.95;4.656551;3.9;;85.4;0.839788;187.13;177.02;4.753781;4.0;;88.8;0.891626;242.85;243.26;3.741946;3.3;;88.8;0.891626;242.85;243.26;3.741946;3.3;;87.2;0.876585;231.0;239.56;4.509333;4.0;;87.2;0.876585;231.0;239.56;4.509333;4.0;;79.1;0.874215;180.23;167.24;4.444284;3.9;;;;;;;;;;;;;;;
