region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5
2;Nordeste;23;CE;Ceará;2300101;Abaiara;143729.523;14318.54;126793.548;12631.36;117970.96;9859.67;23662.663;3052.829;29092.647;56904.091;112712.23;5258.73;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;100.0;1.0;232.28;215.39;6.313059;6.3;;100.0;1.0;232.28;215.39;6.313059;6.3;;94.1;0.938879;264.93;266.53;4.400411;4.1;;94.1;0.938879;264.93;266.53;4.400411;4.1;;97.2;0.970143;257.41;263.25;5.344333;5.2;;97.2;0.970143;257.41;263.25;5.344333;5.2;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;23;CE;Ceará;2300150;Acarape;220474.376;15717.86;183506.602;13082.38;179994.282;11888.66;9311.684;34203.564;57169.15;68078.574;168762.971;11231.31;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias extrativas;6;True;99.4;0.993986;208.45;200.93;5.595379;5.6;;99.4;0.993986;208.45;200.93;5.595379;5.6;;100.0;1.0;271.57;266.11;4.487382;4.5;;100.0;1.0;271.57;266.11;4.487382;4.5;;99.3;0.992242;269.21;266.76;5.5995;5.6;;99.3;0.992242;269.21;266.76;5.5995;5.6;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;23;CE;Ceará;2300200;Acaraú;1250250.592;19156.82;1184672.454;18280.29;1020200.581;16051.99;133170.27;264941.961;289732.981;265681.611;953526.823;66673.758;Administração, defesa, educação e saúde públicas e seguridade social;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Demais serviços;6;True;99.9;0.998799;235.8;224.63;6.548235;6.5;;99.9;0.998799;235.8;224.63;6.548235;6.5;;98.5;0.985577;293.54;286.29;5.098045;5.0;;99.1;0.991639;293.54;286.29;5.098045;5.1;;98.4;0.98398;260.41;265.73;5.435667;5.3;;98.4;0.98398;260.41;265.73;5.435667;5.3;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;23;CE;Ceará;2300309;Acopiara;693534.939;15424.91;604192.176;13437.84;564519.851;10322.74;145254.33;19613.702;171030.614;190732.653;526631.299;37888.552;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;7;True;99.9;0.998592;209.12;209.82;5.769802;5.8;;99.9;0.998592;209.12;209.82;5.769802;5.8;;99.4;0.993626;277.83;275.57;4.71692;4.7;;99.8;0.997995;276.42;273.47;4.66568;4.7;;99.5;0.995229;246.39;257.94;5.072167;5.0;;99.5;0.995229;246.39;257.94;5.072167;5.0;;91.6;0.903122;299.28;307.53;5.496628;5.0;;;;;;;;;;;;;;;
2;Nordeste;23;CE;Ceará;2300408;Aiuaba;169075.878;12011.64;146744.374;10425.15;151596.307;8621.26;34132.687;3098.332;33932.697;75084.278;146247.994;5348.313;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;99.8;0.997591;226.67;217.03;6.235816;6.2;;99.8;0.997591;226.67;217.03;6.235816;6.2;;99.2;0.992304;265.39;264.75;4.380225;4.3;;99.2;0.992304;265.39;264.75;4.380225;4.3;;98.8;0.987941;274.57;278.54;5.885167;5.8;;98.8;0.987941;274.57;278.54;5.885167;5.8;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;23;CE;Ceará;2300507;Alcântaras;115642.521;10171.74;105769.787;9303.35;98201.759;8289.87;8402.252;4789.1;26246.944;54764.208;94202.504;3999.254;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;100.0;1.0;271.64;257.88;7.836749;7.8;;100.0;1.0;271.64;257.88;7.836749;7.8;;96.6;0.966862;279.14;277.91;4.770349;4.6;;96.6;0.966862;279.14;277.91;4.770349;4.6;;89.6;0.896664;269.48;265.1;5.576333;5.0;;89.6;0.896664;269.48;265.1;5.576333;5.0;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;23;CE;Ceará;2300606;Altaneira;92127.661;13584.14;82200.933;12120.46;74653.984;9680.24;9573.989;2560.762;19194.212;40752.564;72081.527;2572.457;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;100.0;1.0;282.13;279.5;8.430031;8.4;;100.0;1.0;282.13;279.5;8.430031;8.4;;97.9;0.97614;251.64;244.28;3.88067;3.8;;97.9;0.97614;251.64;244.28;3.88067;3.8;;100.0;1.0;252.93;245.58;4.975167;5.0;;100.0;1.0;252.93;245.58;4.975167;5.0;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;23;CE;Ceará;2300705;Alto Santo;273863.485;19347.47;240389.488;16982.66;232267.743;14447.21;72845.033;10252.489;56940.885;81357.513;221395.92;10871.823;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;6;True;100.0;1.0;242.67;226.13;6.706614;6.7;;100.0;1.0;242.67;226.13;6.706614;6.7;;95.4;0.955197;267.46;262.63;4.377562;4.2;;95.4;0.955197;267.46;262.63;4.377562;4.2;;99.3;0.992717;267.62;265.08;5.545;5.5;;99.3;0.992717;267.62;265.08;5.545;5.5;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;23;CE;Ceará;2300754;Amontada;808125.932;19169.89;684585.969;16239.35;665472.069;15057.63;54292.724;226017.734;147238.361;199441.792;626990.612;38481.458;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;6;True;99.4;0.993568;221.62;214.66;6.096351;6.1;;99.4;0.993568;221.62;214.66;6.096351;6.1;;98.4;0.984537;268.43;273.29;4.550766;4.5;;98.4;0.984537;268.43;273.29;4.550766;4.5;;98.7;0.986964;265.79;266.69;5.541333;5.5;;98.7;0.986964;265.79;266.69;5.541333;5.5;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;23;CE;Ceará;2300804;Antonina do Norte;101190.958;13967.01;89237.596;12317.13;78953.405;10666.5;5681.154;2950.285;25682.15;40074.056;74387.646;4565.76;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;6;True;100.0;1.0;206.29;201.01;5.555612;5.6;;100.0;1.0;206.29;201.01;5.555612;5.6;;96.4;0.96491;260.49;257.33;4.200327;4.1;;96.4;0.96491;260.49;257.33;4.200327;4.1;;99.4;0.992327;234.77;234.75;4.492;4.5;;99.4;0.992327;234.77;234.75;4.492;4.5;;;;;;;;;;;;;;;;;;;;;;
