region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4
3;Sudeste;32;ES;Espírito Santo;3200102;Afonso Cláudio;740219.596;24123.96;704170.435;22949.11;569778.046;18788.43;128586.908;48979.656;196277.678;157075.061;530919.303;38858.742;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;8;True;98.5;0.985425;277.07;276.59;5.894333;5.8;;98.2;0.982995;247.4;230.28;6.872336;6.8;;98.6;0.985641;247.66;230.76;6.886025;6.8;;97.7;0.978773;287.38;284.89;4.990571;4.9;;97.7;0.978773;287.38;284.89;4.990571;4.9;;97.1;0.971477;273.47;258.75;5.537;5.4;;99.8;0.997168;248.24;231.84;6.91673;6.9;;97.9;0.979104;276.55;274.05;5.843333;5.7;;;;;;;;
3;Sudeste;32;ES;Espírito Santo;3200136;Águia Branca;313557.518;32288.9;285359.077;29385.14;246002.446;25569.32;69292.967;23925.046;75295.943;56113.923;224627.879;21374.567;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;6;True;100.0;1.0;274.52;271.47;5.7665;5.8;;100.0;1.0;244.74;225.17;6.728663;6.7;;100.0;1.0;244.74;225.17;6.728663;6.7;;99.7;0.997656;278.83;280.44;4.80387;4.8;;99.7;0.997656;278.83;280.44;4.80387;4.8;;;;;;;;;;;;;;;;99.5;0.994465;274.52;271.47;5.7665;5.7;;;;;;;;
3;Sudeste;32;ES;Espírito Santo;3200169;Água Doce do Norte;234306.619;19457.45;193867.98;16099.32;184399.688;17072.46;35850.465;26076.813;51037.666;61241.195;174206.139;10193.549;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;7;True;97.7;0.977917;261.67;262.29;5.399333;5.3;;99.6;0.99619;241.09;223.23;6.623734;6.6;;99.6;0.99619;241.09;223.23;6.623734;6.6;;98.4;0.984322;272.7;280.81;4.723313;4.6;;98.4;0.984322;272.7;280.81;4.723313;4.6;;96.1;0.961403;251.87;254.62;5.108167;4.9;;;;;;;;;97.1;0.971191;257.93;259.36;5.288167;5.1;;;;;;;;
3;Sudeste;32;ES;Espírito Santo;3200201;Alegre;702107.251;24063.72;615686.288;21101.77;575149.145;19255.72;72353.453;133957.364;201941.773;134753.986;543006.577;32142.568;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;6;True;99.8;0.997241;275.43;265.3;5.678833;5.7;;96.3;0.963191;218.26;215.69;6.050956;5.8;;97.1;0.972373;225.29;220.09;6.265117;6.1;;;;;;;;;99.6;0.997319;276.0;277.44;4.719212;4.7;;;;;;;;;100.0;1.0;250.45;235.86;7.031997;7.0;;99.8;0.997241;275.43;265.3;5.678833;5.7;;;;;;;;
3;Sudeste;32;ES;Espírito Santo;3200300;Alfredo Chaves;565384.874;40863.32;503090.108;36360.95;457722.918;31201.29;100174.554;91659.178;140580.336;82615.745;415029.813;42693.106;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;7;True;99.1;0.989691;302.88;285.12;6.466667;6.4;;97.1;0.97233;247.45;230.99;6.886199;6.7;;97.1;0.97233;247.45;230.99;6.886199;6.7;;99.5;0.995968;293.1;304.18;5.35968;5.3;;99.5;0.995968;293.1;304.18;5.35968;5.3;;94.1;0.940872;296.99;285.91;6.381667;6.0;;;;;;;;;95.0;0.949039;298.43;285.72;6.4025;6.1;;;;;;;;
3;Sudeste;32;ES;Espírito Santo;3200359;Alto Rio Novo;152484.588;20511.78;128054.552;17225.52;113032.919;14288.07;26348.147;5259.733;30857.88;45621.751;108087.512;4945.407;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;7;True;99.4;0.994666;262.92;263.31;5.437167;5.4;;97.6;0.978921;233.54;228.13;6.568741;6.4;;97.6;0.978921;233.54;228.13;6.568741;6.4;;99.5;0.995289;279.82;287.37;4.921517;4.9;;99.5;0.995289;279.82;287.37;4.921517;4.9;;88.9;0.892654;267.09;263.2;5.504833;4.9;;;;;;;;;97.9;0.97877;263.48;263.3;5.446333;5.3;;;;;;;;
3;Sudeste;32;ES;Espírito Santo;3200409;Anchieta;2317578.734;77293.85;1812851.595;60460.63;5764186.103;190331.39;40268.586;4238345.458;1094528.302;250852.84;5623995.187;140190.916;Indústrias extrativas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;7;True;98.3;0.985244;275.53;277.0;5.8755;5.8;;97.2;0.971813;252.51;235.35;7.062037;6.9;;97.2;0.971813;252.51;235.35;7.062037;6.9;;93.3;0.940044;305.4;304.57;5.538271;5.2;;93.3;0.940044;305.4;304.57;5.538271;5.2;;90.1;0.902969;275.68;277.67;5.889167;5.3;;;;;;;;;90.9;0.91152;275.66;277.57;5.887167;5.4;;;;;;;;
3;Sudeste;32;ES;Espírito Santo;3200508;Apiacá;146814.376;20325.96;132066.536;18284.17;118191.414;15671.1;19530.803;5834.122;38434.154;43500.361;107299.439;10891.974;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;7;True;100.0;1.0;275.21;267.79;5.716667;5.7;;96.7;0.966347;204.65;189.6;5.31686;5.1;;96.7;0.966347;204.65;189.6;5.31686;5.1;;96.7;0.966801;278.97;291.22;4.967213;4.8;;96.7;0.966801;278.97;291.22;4.967213;4.8;;88.8;0.877114;232.05;222.63;4.244667;3.7;;;;;;;;;91.6;0.912875;247.95;239.27;4.787;4.4;;;;;;;;
3;Sudeste;32;ES;Espírito Santo;3200607;Aracruz;7724839.436;81515.74;6372857.764;67249.07;5313108.839;50629.0;79985.592;2627038.5;1304697.183;566579.569;4578300.844;734807.995;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;7;True;95.2;0.952393;250.0;254.12;5.068667;4.8;;98.0;0.980394;232.62;223.1;6.459729;6.3;;98.0;0.980394;232.62;223.1;6.459729;6.3;;94.7;0.949648;293.11;293.73;5.203383;4.9;;94.4;0.947156;281.51;285.69;4.920103;4.7;;92.7;0.926136;269.29;267.93;5.620333;5.2;;;;;;;;;93.3;0.933421;264.52;264.52;5.484;5.1;;;;;;;;
3;Sudeste;32;ES;Espírito Santo;3200706;Atílio Vivácqua;453838.514;43058.68;400925.534;38038.48;360868.696;29410.65;21920.219;94298.25;105393.433;73985.013;295596.915;65271.781;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;Demais serviços;6;True;;;;;;;;98.4;0.984288;238.76;223.21;6.578905;6.5;;98.4;0.984288;238.76;223.21;6.578905;6.5;;88.1;0.873687;266.61;261.66;4.351103;3.8;;88.1;0.873687;266.61;261.66;4.351103;3.8;;94.2;0.941669;238.39;231.36;4.495833;4.2;;;;;;;;;94.2;0.941669;238.39;231.36;4.495833;4.2;;;;;;;;
