region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_federal_fundamental_iniciais_1_5;performance_indicator_federal_fundamental_iniciais_1_5;saeb_math_score_federal_fundamental_iniciais_1_5;saeb_portuguese_score_federal_fundamental_iniciais_1_5;saeb_standardized_average_score_federal_fundamental_iniciais_1_5;ideb_federal_fundamental_iniciais_1_5;ideb_projection_federal_fundamental_iniciais_1_5;approval_rate_federal_fundamental_finais_6_9;performance_indicator_federal_fundamental_finais_6_9;saeb_math_score_federal_fundamental_finais_6_9;saeb_portuguese_score_federal_fundamental_finais_6_9;saeb_standardized_average_score_federal_fundamental_finais_6_9;ideb_federal_fundamental_finais_6_9;ideb_projection_federal_fundamental_finais_6_9;approval_rate_municipal_medio_todos_1_4;performance_indicator_municipal_medio_todos_1_4;saeb_math_score_municipal_medio_todos_1_4;saeb_portuguese_score_municipal_medio_todos_1_4;saeb_standardized_average_score_municipal_medio_todos_1_4;ideb_municipal_medio_todos_1_4;ideb_projection_municipal_medio_todos_1_4
5;Centro-oeste;52;GO;Goiás;5200050;Abadia de Goiás;477983.256;24988.67;405353.071;21191.61;353748.126;38627.22;14324.855;79643.857;155677.648;60678.175;310324.535;43423.592;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;7;True;100.0;1.0;273.32;285.58;4.803428;4.8;;100.0;1.0;273.32;285.58;4.803428;4.8;;98.8;0.987739;256.1;263.01;5.3185;5.3;;98.1;0.980734;259.83;265.63;5.424333;5.3;;99.7;0.996796;223.12;204.41;5.938613;5.9;;99.7;0.996796;223.12;204.41;5.938613;5.9;;100.0;1.0;251.99;260.11;5.201667;5.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;52;GO;Goiás;5200100;Abadiânia;633024.793;36735.42;544311.583;31594.59;445368.652;21337.07;81207.871;56946.179;168160.678;93489.322;399804.05;45564.602;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;6;True;98.3;0.984504;271.11;276.55;4.637209;4.6;;98.3;0.984504;271.11;276.55;4.637209;4.6;;99.6;0.995979;263.25;255.82;5.317833;5.3;;;;;;;;;97.7;0.974993;217.07;207.85;5.885701;5.7;;97.7;0.974777;217.07;207.85;5.885701;5.7;;99.6;0.995979;263.25;255.82;5.317833;5.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;52;GO;Goiás;5200134;Acreúna;1188179.252;55089.91;1456802.819;67544.64;1051903.257;46318.95;480043.203;71131.5;310693.241;116135.303;978003.246;73900.01;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;7;True;100.0;1.0;280.79;279.84;4.822416;4.8;;100.0;1.0;280.79;279.84;4.822416;4.8;;99.7;0.996973;276.75;269.45;5.77;5.8;;98.2;0.985386;269.4;267.39;5.613167;5.5;;99.3;0.98923;240.37;229.96;6.732357;6.7;;99.3;0.98923;240.37;229.96;6.732357;6.7;;99.8;0.997735;277.39;269.63;5.783667;5.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;52;GO;Goiás;5200159;Adelândia;59485.587;25897.08;53664.318;23362.79;48809.836;19407.49;11914.353;3545.699;12209.371;18976.256;46645.68;2164.156;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;6;True;100.0;1.0;260.0;248.34;4.058864;4.1;;100.0;1.0;260.0;248.34;4.058864;4.1;;100.0;1.0;249.5;246.18;4.928;4.9;;;;;;;;;100.0;1.0;213.01;221.33;6.053311;6.1;;100.0;1.0;213.01;221.33;6.053311;6.1;;100.0;1.0;249.5;246.18;4.928;4.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;52;GO;Goiás;5200175;Água Fria de Goiás;476287.771;96142.06;616436.524;124432.08;533255.861;91264.05;389836.207;20265.647;70533.278;33486.417;514121.549;19134.312;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;6;True;100.0;1.0;281.01;270.47;4.685236;4.7;;100.0;1.0;281.01;270.47;4.685236;4.7;;99.7;0.996718;262.22;249.39;5.1935;5.2;;;;;;;;;92.6;0.922393;221.34;208.44;5.977917;5.5;;92.6;0.922393;221.34;208.44;5.977917;5.5;;100.0;1.0;262.22;249.39;5.1935;5.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;52;GO;Goiás;5200209;Água Limpa;74935.31;40331.17;66332.045;35835.79;63866.678;35304.96;25089.902;2355.097;14060.132;19321.076;60826.206;3040.471;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;6;True;100.0;1.0;276.87;279.25;4.758527;4.8;;100.0;1.0;276.87;279.25;4.758527;4.8;;100.0;1.0;283.57;286.25;6.163667;6.2;;;;;;;;;100.0;1.0;239.19;239.4;6.881475;6.9;;100.0;1.0;239.19;239.4;6.881475;6.9;;100.0;1.0;283.57;286.25;6.163667;6.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;52;GO;Goiás;5200258;Águas Lindas de Goiás;3062184.834;13567.92;2814336.754;12470.97;2463487.799;11054.47;6071.775;186286.133;1132537.631;901917.413;2226812.951;236674.848;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;6;True;97.5;0.97655;266.84;276.12;4.5708;4.5;;97.4;0.975523;266.84;276.12;4.5708;4.5;;97.1;0.970986;249.44;254.89;5.072167;4.9;;;;;;;;;96.6;0.966586;207.82;203.98;5.638811;5.5;;96.6;0.966586;207.82;203.98;5.638811;5.5;;97.1;0.970986;249.44;254.89;5.072167;4.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;52;GO;Goiás;5200308;Alexânia;1832280.539;67842.14;1493904.867;55313.42;1128156.013;39779.83;105083.215;251302.051;460093.369;155999.091;972477.726;155678.287;Demais serviços;Indústrias de transformação;Comércio e reparação de veículos automotores e motocicletas;7;True;98.1;0.981872;271.46;276.56;4.642274;4.6;;98.1;0.981872;271.46;276.56;4.642274;4.6;;99.1;0.99097;269.89;268.05;5.632333;5.6;;98.2;0.980429;228.94;209.01;3.965833;3.9;;98.8;0.987877;224.05;213.02;6.112907;6.0;;98.8;0.987877;224.05;213.02;6.112907;6.0;;99.4;0.993989;276.87;278.11;5.916333;5.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;52;GO;Goiás;5200506;Aloândia;66408.229;33658.5;78700.887;39888.94;63742.508;32258.35;25349.454;2283.621;16604.493;15747.357;59984.926;3757.582;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;6;True;100.0;1.0;313.06;285.52;5.360676;5.4;;100.0;1.0;313.06;285.52;5.360676;5.4;;100.0;1.0;283.59;278.4;6.033167;6.0;;;;;;;;;100.0;1.0;256.33;253.32;7.461665;7.5;;;;;;;;;100.0;1.0;283.59;278.4;6.033167;6.0;;100.0;1.0;256.33;253.32;7.461665;7.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;52;GO;Goiás;5200555;Alto Horizonte;623005.66;102603.04;737307.708;121427.49;1280308.333;188391.46;22507.356;859699.765;224657.453;79589.071;1186453.646;93854.687;Indústrias extrativas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;6;True;100.0;1.0;264.6;272.33;4.482603;4.5;;98.8;0.988404;264.6;272.33;4.482603;4.4;;99.3;0.992731;259.57;258.49;5.301;5.3;;99.3;0.992731;259.57;258.49;5.301;5.3;;100.0;1.0;236.62;221.57;6.508247;6.5;;100.0;1.0;236.62;221.57;6.508247;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
