region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_federal_fundamental_finais_6_9;performance_indicator_federal_fundamental_finais_6_9;saeb_math_score_federal_fundamental_finais_6_9;saeb_portuguese_score_federal_fundamental_finais_6_9;saeb_standardized_average_score_federal_fundamental_finais_6_9;ideb_federal_fundamental_finais_6_9;ideb_projection_federal_fundamental_finais_6_9;approval_rate_federal_fundamental_iniciais_1_5;performance_indicator_federal_fundamental_iniciais_1_5;saeb_math_score_federal_fundamental_iniciais_1_5;saeb_portuguese_score_federal_fundamental_iniciais_1_5;saeb_standardized_average_score_federal_fundamental_iniciais_1_5;ideb_federal_fundamental_iniciais_1_5;ideb_projection_federal_fundamental_iniciais_1_5;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_municipal_medio_todos_1_4;performance_indicator_municipal_medio_todos_1_4;saeb_math_score_municipal_medio_todos_1_4;saeb_portuguese_score_municipal_medio_todos_1_4;saeb_standardized_average_score_municipal_medio_todos_1_4;ideb_municipal_medio_todos_1_4;ideb_projection_municipal_medio_todos_1_4;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5
2;Nordeste;21;MA;Maranhão;2100055;Açailândia;4274161.961;40114.14;4148952.591;38939.02;3828533.21;33647.67;492701.154;1393398.811;971135.48;515224.184;3372459.629;456073.581;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;6;True;98.1;0.980967;207.35;200.53;5.567114;5.5;;98.1;0.980967;207.35;200.53;5.567114;5.5;;93.2;0.932084;261.73;267.03;4.362952;4.1;;94.2;0.944547;260.17;264.37;4.301222;4.1;;95.5;0.95471;240.67;245.91;4.776333;4.6;;95.5;0.95471;240.67;245.91;4.776333;4.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;21;MA;Maranhão;2100105;Afonso Cunha;105581.152;17184.43;117492.738;19123.17;85052.498;12826.5;34864.52;2622.374;14426.105;31081.049;82994.048;2058.45;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;4;True;98.0;0.97998;222.25;200.72;5.85492;5.7;;98.0;0.97998;222.25;200.72;5.85492;5.7;;;;;;;;;;;;;;;;95.6;0.955238;224.08;221.12;4.086667;3.9;;95.6;0.955238;224.08;221.12;4.086667;3.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;21;MA;Maranhão;2100154;Água Doce do Maranhão;130745.967;10768.08;120773.934;9946.79;101642.077;7983.83;7597.057;5453.708;24560.017;59927.686;97538.467;4103.609;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;97.0;0.969754;186.26;178.72;4.768087;4.6;;97.0;0.969754;186.26;178.72;4.768087;4.6;;85.7;0.864968;266.41;270.16;4.475539;3.9;;85.7;0.864968;266.41;270.16;4.475539;3.9;;90.7;0.90717;213.8;219.38;3.886333;3.5;;90.7;0.90717;213.8;219.38;3.886333;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;21;MA;Maranhão;2100204;Alcântara;170260.679;9219.73;153680.475;8322.35;148762.762;6723.44;16394.547;6572.545;34492.965;84713.768;142173.824;6588.938;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Produção florestal, pesca e aquicultura;8;True;94.7;0.948986;178.34;179.08;4.623488;4.4;;94.9;0.950313;188.51;188.04;4.980481;4.7;;87.2;0.873302;248.27;239.7;3.764776;3.3;;87.2;0.871942;248.27;239.7;3.764776;3.3;;91.6;0.911122;223.22;221.23;4.074167;3.7;;91.9;0.915024;230.29;232.18;4.3745;4.0;;100.0;1.0;269.2;292.37;6.026167;6.0;;97.5;0.96829;241.26;234.52;6.832251;6.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;21;MA;Maranhão;2100303;Aldeias Altas;335245.811;14396.88;369369.725;15862.31;249395.852;9244.07;69463.145;8149.988;45152.369;117050.758;239816.26;9579.593;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;4;True;90.0;0.90138;188.67;178.46;4.809353;4.3;;90.0;0.90138;188.67;178.46;4.809353;4.3;;;;;;;;;;;;;;;;81.1;0.812442;227.09;235.14;4.3705;3.6;;81.1;0.812442;227.09;235.14;4.3705;3.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;21;MA;Maranhão;2100402;Altamira do Maranhão;88342.755;13702.92;79335.962;12305.87;71511.632;8668.08;21461.29;1828.674;12870.256;32742.255;68902.474;2609.158;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços;6;True;97.5;0.975219;184.66;185.08;4.853189;4.7;;97.5;0.975219;184.66;185.08;4.853189;4.7;;91.5;0.91742;231.14;227.13;3.336012;3.1;;91.5;0.91742;231.14;227.13;3.336012;3.1;;94.4;0.944958;232.97;224.88;4.2975;4.1;;94.4;0.944958;232.97;224.88;4.2975;4.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;21;MA;Maranhão;2100436;Alto Alegre do Maranhão;378314.119;15731.63;359926.42;14967.0;303118.129;10800.19;12130.813;11962.155;142255.45;100717.016;267065.433;36052.696;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;6;True;96.9;0.971746;184.97;175.42;4.683469;4.6;;96.9;0.971746;184.97;175.42;4.683469;4.6;;94.9;0.949424;238.74;239.48;3.627634;3.4;;94.9;0.949424;238.74;239.48;3.627634;3.4;;91.4;0.912179;220.29;226.06;4.105833;3.7;;91.4;0.912179;220.29;226.06;4.105833;3.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;21;MA;Maranhão;2100477;Alto Alegre do Pindaré;310141.738;12063.08;282348.467;10982.05;251719.288;7874.35;32375.604;8296.761;56442.649;141108.606;238223.621;13495.667;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;6;True;99.9;0.998797;241.98;214.88;6.488901;6.5;;99.9;0.998797;241.98;214.88;6.488901;6.5;;88.8;0.88989;253.68;252.4;4.030879;3.6;;88.8;0.88989;253.68;252.4;4.030879;3.6;;99.3;0.992975;265.23;249.65;5.248;5.2;;99.3;0.992975;265.23;249.65;5.248;5.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;21;MA;Maranhão;2100501;Alto Parnaíba;573769.442;51649.06;787087.276;70851.32;578961.339;51541.11;362237.776;34197.688;105140.411;57459.823;559035.698;19925.641;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;6;True;98.4;0.983405;238.34;220.95;6.529799;6.4;;98.4;0.983405;238.34;220.95;6.529799;6.4;;99.7;0.996644;247.55;254.36;3.974125;4.0;;99.7;0.996644;247.55;254.36;3.974125;4.0;;95.6;0.955888;261.11;260.54;5.360833;5.1;;95.6;0.955888;261.11;260.54;5.360833;5.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;21;MA;Maranhão;2100550;Amapá do Maranhão;95025.625;13253.23;77337.043;10786.2;70197.682;9961.36;13419.768;2679.498;17850.217;32292.315;66241.798;3955.884;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;6;True;98.7;0.987363;184.32;181.76;4.786337;4.7;;98.7;0.987363;184.32;181.76;4.786337;4.7;;95.9;0.958537;252.55;255.9;4.067403;3.9;;95.9;0.958537;252.55;255.9;4.067403;3.9;;93.8;0.933571;230.55;231.59;4.369;4.1;;93.8;0.933571;230.55;231.59;4.369;4.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
