region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_federal_fundamental_finais_6_9;performance_indicator_federal_fundamental_finais_6_9;saeb_math_score_federal_fundamental_finais_6_9;saeb_portuguese_score_federal_fundamental_finais_6_9;saeb_standardized_average_score_federal_fundamental_finais_6_9;ideb_federal_fundamental_finais_6_9;ideb_projection_federal_fundamental_finais_6_9;approval_rate_federal_fundamental_iniciais_1_5;performance_indicator_federal_fundamental_iniciais_1_5;saeb_math_score_federal_fundamental_iniciais_1_5;saeb_portuguese_score_federal_fundamental_iniciais_1_5;saeb_standardized_average_score_federal_fundamental_iniciais_1_5;ideb_federal_fundamental_iniciais_1_5;ideb_projection_federal_fundamental_iniciais_1_5;approval_rate_municipal_medio_todos_1_4;performance_indicator_municipal_medio_todos_1_4;saeb_math_score_municipal_medio_todos_1_4;saeb_portuguese_score_municipal_medio_todos_1_4;saeb_standardized_average_score_municipal_medio_todos_1_4;ideb_municipal_medio_todos_1_4;ideb_projection_municipal_medio_todos_1_4
3;Sudeste;31;MG;Minas Gerais;3100104;Abadia dos Dourados;190396.516;30356.59;179485.464;28616.94;176730.073;25168.05;75110.576;10609.966;43375.457;38585.978;167681.977;9048.095;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;6;True;93.5;0.937587;266.13;286.53;4.716666;4.4;;93.5;0.937587;266.13;286.53;4.716666;4.4;;94.1;0.937612;257.77;264.06;5.363833;5.0;;94.1;0.937612;257.77;264.06;5.363833;5.0;;100.0;1.0;227.42;215.17;6.216311;6.2;;100.0;1.0;227.42;215.17;6.216311;6.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;31;MG;Minas Gerais;3100203;Abaeté;641970.992;28311.84;569165.637;25101.02;541135.868;23261.65;127033.876;40594.899;220366.054;108966.05;496960.879;44174.989;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;8;True;77.9;0.785322;286.41;289.86;5.051348;4.0;;77.9;0.785322;286.41;289.86;5.051348;4.0;;87.0;0.869275;278.98;279.78;5.979333;5.2;;83.9;0.840055;273.28;274.73;5.800167;4.9;;99.4;0.993389;218.92;205.1;5.871006;5.8;;99.2;0.992765;235.63;217.38;6.413172;6.4;;77.8;0.783563;257.55;260.78;5.3055;4.2;;99.1;0.991882;254.46;231.23;7.024341;7.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;31;MG;Minas Gerais;3100302;Abre Campo;331512.387;23803.57;301984.737;21683.4;262668.33;19552.5;66751.611;14006.53;100226.086;61422.445;242406.671;20261.658;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;90.0;0.906788;278.99;272.71;4.690398;4.3;;90.0;0.906788;278.99;272.71;4.690398;4.3;;94.6;0.945952;250.89;247.29;4.969667;4.7;;93.1;0.930881;250.89;247.29;4.969667;4.6;;;;;;;;;98.9;0.98897;236.54;224.02;6.551266;6.5;;;;;;;;;99.6;0.99638;236.54;224.02;6.551266;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;31;MG;Minas Gerais;3100401;Acaiaca;85065.9;21761.55;75588.102;19336.94;64892.356;16243.39;3563.593;12306.954;22200.75;23345.463;61416.761;3475.596;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias extrativas;6;True;89.4;0.897228;266.74;266.99;4.432719;4.0;;89.4;0.897228;266.74;266.99;4.432719;4.0;;95.2;0.948656;243.64;257.62;5.021;4.8;;95.2;0.948656;243.64;257.62;5.021;4.8;;100.0;1.0;232.98;223.47;6.473327;6.5;;100.0;1.0;232.98;223.47;6.473327;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;31;MG;Minas Gerais;3100500;Açucena;172093.758;19243.4;158448.9;17717.65;165795.99;17885.22;21964.548;75035.537;24500.72;41343.003;162843.808;2952.181;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;6;True;88.7;0.887324;257.4;252.82;4.089413;3.6;;88.7;0.887324;257.4;252.82;4.089413;3.6;;89.4;0.895434;246.18;246.16;4.872333;4.4;;89.1;0.891701;246.18;246.16;4.872333;4.3;;;;;;;;;99.3;0.993737;222.87;214.64;6.119842;6.1;;;;;;;;;100.0;1.0;222.87;214.64;6.119842;6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;31;MG;Minas Gerais;3100609;Água Boa;235422.116;18700.62;223378.515;17743.94;192064.905;14420.37;56490.598;7669.372;54780.869;63873.615;182814.454;9250.451;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;6;True;90.9;0.913562;266.41;267.89;4.441557;4.1;;90.9;0.913562;266.41;267.89;4.441557;4.1;;95.9;0.959954;246.57;251.09;4.961;4.8;;95.9;0.959954;246.57;251.09;4.961;4.8;;;;;;;;;100.0;1.0;210.53;197.31;5.569255;5.6;;;;;;;;;100.0;1.0;210.53;197.31;5.569255;5.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;31;MG;Minas Gerais;3100708;Água Comprida;330940.253;156992.53;238190.686;112993.68;230005.138;115813.26;154963.363;9949.164;39703.55;20053.535;224669.612;5335.526;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;6;True;97.8;0.975157;258.16;264.06;4.268351;4.2;;97.8;0.975157;258.16;264.06;4.268351;4.2;;93.0;0.936037;268.5;268.18;5.611333;5.3;;93.0;0.936037;268.5;268.18;5.611333;5.3;;98.5;0.984026;221.15;207.44;5.956109;5.9;;98.5;0.984026;221.15;207.44;5.956109;5.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;31;MG;Minas Gerais;3100807;Aguanil;111493.611;25589.54;110897.644;25452.75;94598.101;20758.85;33972.85;3193.004;26809.425;27140.709;91115.988;3482.113;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;6;True;88.5;0.887998;275.28;288.86;4.880058;4.3;;88.5;0.887998;275.28;288.86;4.880058;4.3;;97.8;0.97857;266.37;269.98;5.605833;5.5;;97.8;0.97857;266.37;269.98;5.605833;5.5;;100.0;1.0;241.65;229.92;6.756058;6.8;;100.0;1.0;241.65;229.92;6.756058;6.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;31;MG;Minas Gerais;3100906;Águas Formosas;362825.731;19667.48;310640.891;16836.9;287546.392;14910.37;21207.082;24021.94;128787.557;91588.988;265605.567;21940.825;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;6;True;83.5;0.842196;263.01;270.01;4.425541;3.7;;83.5;0.842196;263.01;270.01;4.425541;3.7;;90.1;0.899143;233.51;235.09;4.476667;4.0;;90.5;0.903355;233.51;235.09;4.476667;4.0;;;;;;;;;99.9;0.999197;208.1;198.41;5.542881;5.5;;;;;;;;;99.9;0.998996;208.1;198.41;5.542881;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;31;MG;Minas Gerais;3101003;Águas Vermelhas;278389.902;19832.58;290803.105;20716.9;236693.731;17332.58;52991.442;8903.823;88300.49;65954.424;216150.179;20543.552;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;6;True;87.0;0.875747;267.26;261.49;4.357687;3.8;;87.0;0.875747;267.26;261.49;4.357687;3.8;;91.0;0.908032;247.87;254.44;5.0385;4.6;;91.0;0.908032;247.87;254.44;5.0385;4.6;;100.0;1.0;215.1;207.19;5.836105;5.8;;100.0;1.0;215.1;207.19;5.836105;5.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
