region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_federal_fundamental_finais_6_9;performance_indicator_federal_fundamental_finais_6_9;saeb_math_score_federal_fundamental_finais_6_9;saeb_portuguese_score_federal_fundamental_finais_6_9;saeb_standardized_average_score_federal_fundamental_finais_6_9;ideb_federal_fundamental_finais_6_9;ideb_projection_federal_fundamental_finais_6_9;approval_rate_municipal_medio_todos_1_4;performance_indicator_municipal_medio_todos_1_4;saeb_math_score_municipal_medio_todos_1_4;saeb_portuguese_score_municipal_medio_todos_1_4;saeb_standardized_average_score_municipal_medio_todos_1_4;ideb_municipal_medio_todos_1_4;ideb_projection_municipal_medio_todos_1_4
5;Centro-oeste;50;MS;Mato Grosso do Sul;5000203;Água Clara;1544633.286;92266.49;1718477.907;102650.85;1211925.182;75627.16;437794.807;352320.973;181127.601;139218.894;1110462.275;101462.907;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Produção florestal, pesca e aquicultura;Demais serviços;4;True;93.3;0.944885;246.5;254.26;5.012667;4.7;;94.7;0.947247;246.5;254.26;5.012667;4.7;;99.4;0.994184;244.6;227.78;6.773446;6.7;;99.4;0.994184;244.6;227.78;6.773446;6.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;50;MS;Mato Grosso do Sul;5000252;Alcinópolis;384368.067;84718.55;291925.709;64343.33;237904.41;43342.03;123963.725;8570.233;35896.421;53929.996;222360.374;15544.036;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;93.3;0.926857;252.13;252.52;5.0775;4.7;;95.7;0.95709;263.86;268.23;5.534833;5.3;;88.8;0.895307;225.66;223.21;6.328905;5.7;;88.8;0.895307;225.66;223.21;6.328905;5.7;;86.5;0.974332;265.93;273.74;4.52239;4.4;;86.5;0.974332;265.93;273.74;4.52239;4.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;50;MS;Mato Grosso do Sul;5000609;Amambai;2426261.174;61697.68;2107400.859;53589.34;2033694.68;50530.34;575058.731;104045.306;768518.777;286134.391;1733757.205;299937.475;Agricultura, inclusive apoio à agricultura e a pós colheita;Comércio e reparação de veículos automotores e motocicletas;Demais serviços;7;True;96.7;0.967934;263.31;264.71;5.467;5.3;;89.4;0.895406;262.82;263.24;5.434333;4.9;;95.5;0.955819;222.91;220.48;6.226788;6.0;;95.5;0.955819;222.91;220.48;6.226788;6.0;;87.3;0.874556;272.76;266.01;4.502599;3.9;;87.3;0.874556;272.76;266.01;4.502599;3.9;;79.8;0.79957;256.68;244.97;5.0275;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;50;MS;Mato Grosso do Sul;5000708;Anastácio;783841.0;32505.64;964114.854;39993.15;609913.447;24073.0;141824.745;87227.152;166075.174;167535.076;562662.147;47251.3;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;7;True;92.2;0.921807;237.91;246.9;4.746833;4.4;;92.3;0.923627;237.91;246.9;4.746833;4.4;;88.7;0.89141;192.43;186.45;5.026381;4.5;;87.8;0.88112;192.57;183.45;4.974507;4.4;;84.6;0.860963;255.88;262.03;4.205939;3.6;;84.6;0.860963;255.88;262.03;4.205939;3.6;;;;;;;;;82.1;0.788275;192.75;179.72;4.910124;3.9;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;50;MS;Mato Grosso do Sul;5000807;Anaurilândia;623710.209;81498.79;438852.733;57343.88;410374.498;45016.95;204618.225;21679.656;80933.44;73747.496;380978.818;29395.68;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;6;True;92.1;0.921835;258.37;251.47;5.164;4.8;;92.1;0.921835;258.37;251.47;5.164;4.8;;94.1;0.944886;230.69;216.82;6.308715;6.0;;94.1;0.944886;230.69;216.82;6.308715;6.0;;77.2;0.851032;261.1;261.81;4.27596;3.6;;77.2;0.851032;261.1;261.81;4.27596;3.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;50;MS;Mato Grosso do Sul;5000856;Angélica;1243471.217;115898.15;1013830.394;94494.4;883913.46;79768.38;444215.932;147320.973;150568.042;84082.117;826187.064;57726.396;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Indústrias de transformação;6;True;97.4;0.973298;262.35;269.13;5.524667;5.4;;97.4;0.973298;262.35;269.13;5.524667;5.4;;95.9;0.963019;241.0;229.78;6.741108;6.5;;96.1;0.963019;241.0;229.78;6.741108;6.5;;91.9;0.933082;250.05;256.04;4.034387;3.8;;91.9;0.933082;250.05;256.04;4.034387;3.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;50;MS;Mato Grosso do Sul;5000906;Antônio João;851780.994;91559.82;917074.913;98578.41;866590.014;95418.41;247294.367;17466.088;364115.302;67176.629;696052.385;170537.629;Comércio e reparação de veículos automotores e motocicletas;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;6;True;95.7;0.957033;235.62;244.3;4.665333;4.5;;95.7;0.957033;235.62;244.3;4.665333;4.5;;99.0;0.990713;210.59;195.86;5.544037;5.5;;99.0;0.990713;210.59;195.86;5.544037;5.5;;88.6;0.890754;258.98;264.75;4.290197;3.8;;88.6;0.890754;258.98;264.75;4.290197;3.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;50;MS;Mato Grosso do Sul;5001003;Aparecida do Taboado;2189221.716;79107.53;2245279.187;81133.16;1660199.249;62919.7;278535.172;748573.755;315031.136;175058.242;1517198.304;143000.946;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;6;True;91.7;0.917073;248.5;249.92;4.973667;4.6;;91.7;0.917073;248.5;249.92;4.973667;4.6;;92.4;0.924234;217.56;206.82;5.876325;5.4;;92.4;0.924234;217.56;206.82;5.876325;5.4;;80.3;0.806774;259.71;261.75;4.25554;3.4;;80.3;0.806774;259.71;261.75;4.25554;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;50;MS;Mato Grosso do Sul;5001102;Aquidauana;1437450.67;30712.79;1341941.172;28672.12;1116844.16;23178.73;226683.112;92770.038;387659.097;317298.603;1024410.85;92433.31;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;8;True;90.1;0.901141;246.37;251.1;4.957833;4.5;;90.4;0.904191;245.86;250.59;4.940833;4.5;;93.4;0.934019;192.09;189.97;5.083892;4.7;;93.1;0.930689;194.92;192.46;5.183173;4.8;;87.6;0.868898;267.16;269.78;4.480384;3.9;;85.7;0.868898;267.16;269.78;4.480384;3.9;;90.8;0.910544;242.15;246.85;4.816667;4.4;;85.7;0.857;199.96;196.9;5.360083;4.6;;;;;;;;;;;;;;;;;;;;;;
5;Centro-oeste;50;MS;Mato Grosso do Sul;5001243;Aral Moreira;1348751.703;125488.62;1184828.063;110237.07;1255600.93;100359.76;577099.317;45028.255;362335.734;97296.959;1081760.265;173840.665;Agricultura, inclusive apoio à agricultura e a pós colheita;Comércio e reparação de veículos automotores e motocicletas;Demais serviços;6;True;95.7;0.95642;239.28;244.44;4.728667;4.5;;95.8;0.956935;239.28;244.44;4.728667;4.5;;100.0;1.0;216.16;201.76;5.757607;5.8;;100.0;1.0;216.16;201.76;5.757607;5.8;;86.2;0.867015;252.2;253.46;4.02596;3.5;;86.2;0.867015;252.2;253.46;4.02596;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
