region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_municipal_medio_todos_1_4;performance_indicator_municipal_medio_todos_1_4;saeb_math_score_municipal_medio_todos_1_4;saeb_portuguese_score_municipal_medio_todos_1_4;saeb_standardized_average_score_municipal_medio_todos_1_4;ideb_municipal_medio_todos_1_4;ideb_projection_municipal_medio_todos_1_4;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_federal_fundamental_finais_6_9;performance_indicator_federal_fundamental_finais_6_9;saeb_math_score_federal_fundamental_finais_6_9;saeb_portuguese_score_federal_fundamental_finais_6_9;saeb_standardized_average_score_federal_fundamental_finais_6_9;ideb_federal_fundamental_finais_6_9;ideb_projection_federal_fundamental_finais_6_9;approval_rate_federal_fundamental_iniciais_1_5;performance_indicator_federal_fundamental_iniciais_1_5;saeb_math_score_federal_fundamental_iniciais_1_5;saeb_portuguese_score_federal_fundamental_iniciais_1_5;saeb_standardized_average_score_federal_fundamental_iniciais_1_5;ideb_federal_fundamental_iniciais_1_5;ideb_projection_federal_fundamental_iniciais_1_5
1;Norte;15;PA;Pará;1500107;Abaetetuba;2441092.172;15431.59;2193299.951;13865.15;1947974.167;12141.53;272103.456;73614.293;754091.481;669459.89;1769269.119;178705.048;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;6;True;96.7;0.967031;237.55;244.12;4.6945;4.5;;99.2;0.990489;254.69;255.79;4.095813;4.1;;98.7;0.986828;237.55;244.12;4.6945;4.6;;89.6;0.898026;189.15;184.29;4.924513;4.4;;89.6;0.898026;189.15;184.29;4.924513;4.4;;98.8;0.990366;259.16;261.09;4.237935;4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;15;PA;Pará;1500131;Abel Figueiredo;131077.033;21361.97;126585.01;18006.4;105404.256;13986.76;27211.225;9393.594;24584.275;36359.239;97548.333;7855.923;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços;6;True;85.6;0.860892;231.68;233.95;4.427167;3.8;;99.6;0.99187;249.59;249.41;3.928674;3.9;;;;;;;;;98.5;0.983554;203.98;193.69;5.378437;5.3;;98.5;0.983554;203.98;193.69;5.378437;5.3;;99.6;0.99187;249.59;249.41;3.928674;3.9;;85.6;0.860892;231.68;233.95;4.427167;3.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;15;PA;Pará;1500206;Acará;2111467.04;35773.63;1242612.023;21653.95;1432520.752;25698.21;904959.242;58472.312;130251.458;312426.984;1406109.995;26410.757;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;6;True;80.0;0.803078;231.97;232.57;4.409;3.5;;97.8;0.964668;247.79;246.33;3.857286;3.7;;;;;;;;;84.7;0.844392;197.04;186.49;5.115085;4.3;;84.7;0.844392;197.04;186.49;5.115085;4.3;;97.8;0.964668;247.79;246.33;3.857286;3.7;;80.0;0.803078;231.97;232.57;4.409;3.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;15;PA;Pará;1500305;Afuá;665557.288;17623.65;539302.779;14280.49;443759.447;11119.0;174162.198;20306.774;46160.739;191038.928;431668.638;12090.809;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Produção florestal, pesca e aquicultura;6;True;70.3;0.711266;225.08;228.96;4.234;3.0;;97.4;0.958484;257.34;259.1;4.182583;4.0;;;;;;;;;79.6;0.78664;184.54;174.74;4.662899;3.7;;79.6;0.78664;184.54;174.74;4.662899;3.7;;97.4;0.958484;257.34;259.1;4.182583;4.0;;70.3;0.711266;225.08;228.96;4.234;3.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;15;PA;Pará;1500347;Água Azul do Norte;1047225.878;57921.79;848598.193;46935.74;642852.642;23126.69;239535.884;123807.096;63707.32;123699.046;550749.346;92103.296;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;6;True;82.1;0.828114;226.79;246.88;4.561167;3.8;;100.0;1.0;258.12;262.94;4.251023;4.3;;;;;;;;;90.4;0.903933;199.3;190.15;5.224761;4.7;;90.4;0.903933;199.3;190.15;5.224761;4.7;;100.0;1.0;258.12;262.94;4.251023;4.3;;82.1;0.828114;226.79;246.88;4.561167;3.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;15;PA;Pará;1500404;Alenquer;1578583.75;22753.7;919275.51;13250.44;744810.674;12978.06;302185.384;24520.523;135246.493;258088.078;720040.478;24770.196;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;8;True;84.4;0.845733;231.57;235.58;4.4525;3.8;;98.8;0.984536;248.32;252.2;3.952604;3.9;;99.1;0.991644;236.92;239.44;4.606;4.6;;89.1;0.889429;182.63;175.35;4.63754;4.1;;89.4;0.894221;184.23;176.9;4.696256;4.2;;98.8;0.984536;248.32;252.2;3.952604;3.9;;81.2;0.815418;227.53;232.67;4.336667;3.5;;100.0;1.0;201.14;193.27;5.316602;5.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;15;PA;Pará;1500503;Almeirim;593847.2;17323.43;687485.189;20054.99;687773.094;20202.48;88297.443;217294.275;118064.406;197238.572;620894.696;66878.398;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias extrativas;6;True;71.1;0.712726;234.21;239.34;4.559167;3.2;;98.4;0.978805;246.92;248.87;3.883091;3.8;;;;;;;;;83.3;0.83241;175.05;169.68;4.389793;3.7;;83.3;0.83241;175.05;169.68;4.389793;3.7;;98.4;0.978805;246.92;248.87;3.883091;3.8;;71.1;0.712726;234.21;239.34;4.559167;3.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;15;PA;Pará;1500602;Altamira;3887893.813;30788.13;3457956.969;27383.47;3118776.506;26583.5;429743.804;443279.899;1337527.145;569188.773;2779739.621;339036.885;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;6;True;89.9;0.89972;244.19;250.45;4.910667;4.4;;99.7;0.995629;268.82;282.34;4.691723;4.7;;;;;;;;;95.1;0.950607;203.39;196.3;5.414632;5.1;;95.1;0.950607;203.39;196.3;5.414632;5.1;;99.1;0.990975;270.14;283.52;4.727927;4.7;;89.9;0.89972;244.19;250.45;4.910667;4.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;15;PA;Pará;1500701;Anajás;370837.756;13239.0;304791.32;10881.13;258574.161;8593.07;38552.119;7906.759;37950.767;159539.327;243948.972;14625.189;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;75.7;0.764067;226.86;231.1;4.299333;3.3;;98.2;0.977352;235.23;230.02;3.43672;3.4;;;;;;;;;81.3;0.809816;181.6;171.44;4.546793;3.7;;81.3;0.809816;181.6;171.44;4.546793;3.7;;98.2;0.977352;235.23;230.02;3.43672;3.4;;75.7;0.764067;226.86;231.1;4.299333;3.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;15;PA;Pará;1500800;Ananindeua;11473897.449;23964.96;9983644.977;20852.35;8937579.161;16538.52;13285.364;1035307.804;4679394.526;1832302.524;7560290.219;1377288.942;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;Administração, defesa, educação e saúde públicas e seguridade social;8;True;99.6;0.995475;247.5;258.28;5.096333;5.1;;99.5;0.995438;261.4;272.24;4.436312;4.4;;99.2;0.992183;242.75;254.34;4.9515;4.9;;100.0;1.0;221.69;213.7;6.080232;6.1;;100.0;0.9996;217.41;210.24;5.935644;5.9;;99.5;0.995191;262.27;272.96;4.459309;4.4;;100.0;1.0;254.96;264.47;5.323833;5.3;;99.8;0.998195;208.42;202.95;5.631534;5.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
