region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_municipal_medio_todos_1_4;performance_indicator_municipal_medio_todos_1_4;saeb_math_score_municipal_medio_todos_1_4;saeb_portuguese_score_municipal_medio_todos_1_4;saeb_standardized_average_score_municipal_medio_todos_1_4;ideb_municipal_medio_todos_1_4;ideb_projection_municipal_medio_todos_1_4
2;Nordeste;25;PB;Paraíba;2500106;Água Branca;107368.213;11501.68;95192.995;10197.43;92268.329;8893.33;6074.33;3754.809;20934.959;57405.239;88169.337;4098.992;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;6;True;80.8;0.826845;282.49;277.78;4.815454;4.0;;80.8;0.826845;282.49;277.78;4.815454;4.0;;100.0;1.0;253.97;231.18;7.014081;7.0;;100.0;1.0;253.97;231.18;7.014081;7.0;;99.8;0.998241;275.84;265.76;5.693333;5.7;;99.8;0.998241;275.84;265.76;5.693333;5.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;25;PB;Paraíba;2500205;Aguiar;68585.332;13708.84;61115.323;12215.74;60255.576;10717.82;5837.415;5973.882;12376.005;31700.426;55887.728;4367.848;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;7;True;96.6;0.968462;280.78;283.56;4.877964;4.7;;96.6;0.968462;280.78;283.56;4.877964;4.7;;100.0;1.0;227.27;204.35;6.016721;6.0;;100.0;1.0;227.27;204.35;6.016721;6.0;;94.8;0.946838;257.05;253.12;5.1695;4.9;;94.0;0.942963;260.63;253.45;5.234667;4.9;;95.8;0.96316;254.04;252.83;5.1145;4.9;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;25;PB;Paraíba;2500304;Alagoa Grande;367231.922;14090.7;320351.096;12291.88;300766.384;10596.34;29547.763;15614.498;86553.76;151077.907;282793.928;17972.456;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;8;True;61.6;0.621798;246.5;257.16;4.001293;2.5;;61.6;0.621798;246.5;257.16;4.001293;2.5;;87.0;0.868818;211.26;195.56;5.551368;4.8;;86.6;0.86538;213.55;198.04;5.640162;4.9;;76.2;0.761079;232.68;232.18;4.414333;3.4;;78.3;0.784615;238.79;233.85;4.544;3.6;;73.6;0.734324;229.67;231.35;4.350333;3.2;;100.0;1.0;175.29;156.54;4.155464;4.2;;;;;;;;;;;;;;;
2;Nordeste;25;PB;Paraíba;2500403;Alagoa Nova;376825.036;17932.95;377884.689;17983.38;335568.446;15985.54;106987.3;47694.485;61155.046;102035.992;317872.824;17695.622;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;6;True;;;;;;;;;;;;;;;97.9;0.979589;202.6;191.19;5.306647;5.2;;98.1;0.980632;200.04;186.97;5.181065;5.1;;81.8;0.818139;233.95;238.02;4.532833;3.7;;83.6;0.840638;239.8;235.09;4.5815;3.9;;79.6;0.797441;230.74;239.62;4.506;3.6;;94.8;0.950682;215.6;212.66;5.945102;5.7;;;;;;;;;;;;;;;
2;Nordeste;25;PB;Paraíba;2500502;Alagoinha;166686.215;12144.72;152279.608;11095.05;138844.393;9491.04;12232.541;4813.802;34654.769;80675.963;132377.075;6467.318;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;6;True;83.2;0.838922;232.82;236.58;3.501075;2.9;;83.2;0.838922;232.82;236.58;3.501075;2.9;;96.6;0.965822;196.66;187.2;5.120743;4.9;;96.6;0.965822;196.66;187.2;5.120743;4.9;;97.9;0.978795;229.23;228.38;4.2935;4.2;;97.9;0.978795;229.23;228.38;4.2935;4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;25;PB;Paraíba;2500536;Alcantil;70347.946;12611.68;62649.179;11231.48;55221.414;9991.21;6315.517;1919.346;11031.2;34075.748;53341.811;1879.603;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;4;True;81.6;0.832005;285.01;301.62;5.207733;4.3;;81.6;0.832005;285.01;301.62;5.207733;4.3;;96.9;0.967957;217.7;195.61;5.675178;5.5;;96.9;0.967957;217.7;195.61;5.675178;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;25;PB;Paraíba;2500577;Algodão de Jandaíra;38482.518;13031.67;33767.792;11435.08;28687.686;11084.89;1977.301;931.241;5452.437;19708.633;28069.612;618.074;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;6;True;80.3;0.809329;262.01;259.77;4.258202;3.4;;80.3;0.809329;262.01;259.77;4.258202;3.4;;98.2;0.979905;188.56;183.27;4.894708;4.8;;98.2;0.979905;188.56;183.27;4.894708;4.8;;85.6;0.858727;233.62;238.44;4.534333;3.9;;85.6;0.858727;233.62;238.44;4.534333;3.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;25;PB;Paraíba;2500601;Alhandra;3148252.077;144880.45;3639169.052;167603.24;3391901.194;170747.61;30130.762;181909.568;2232427.0;136909.015;2581376.344;810524.85;Comércio e reparação de veículos automotores e motocicletas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;7;True;86.3;0.864571;246.32;250.28;3.895771;3.4;;86.3;0.864571;246.32;250.28;3.895771;3.4;;92.6;0.926934;181.28;168.37;4.484867;4.2;;92.6;0.926934;181.28;168.37;4.484867;4.2;;87.2;0.873213;233.97;240.72;4.578167;4.0;;88.0;0.884134;223.54;224.24;4.129667;3.7;;86.1;0.849658;245.39;258.76;5.069167;4.3;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;25;PB;Paraíba;2500700;São João do Rio do Peixe;286060.022;15924.07;248471.599;13831.64;226325.939;12559.71;24075.694;11447.132;71169.243;98894.551;205586.621;20739.318;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;7;True;88.8;0.889561;261.22;257.7;4.216119;3.8;;88.8;0.889561;261.22;257.7;4.216119;3.8;;97.4;0.973574;191.61;178.06;4.858187;4.7;;97.4;0.973574;191.61;178.06;4.858187;4.7;;86.5;0.865079;236.82;231.58;4.473333;3.9;;88.5;0.887998;231.32;223.96;4.254667;3.8;;79.4;0.769598;245.77;243.95;4.828667;3.7;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;25;PB;Paraíba;2500734;Amparo;37039.128;16579.74;33047.789;14793.1;29514.119;13036.27;2456.023;1422.681;6615.939;17848.745;28343.388;1170.731;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;6;True;100.0;1.0;264.07;254.22;4.204051;4.2;;100.0;1.0;264.07;254.22;4.204051;4.2;;97.3;0.971721;215.91;208.68;5.878654;5.7;;97.3;0.971721;215.91;208.68;5.878654;5.7;;84.5;0.844049;235.74;227.97;4.395167;3.7;;84.5;0.844049;235.74;227.97;4.395167;3.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
