region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5
2;Nordeste;22;PI;Piauí;2200053;Acauã;84924.313;13228.09;69703.234;10857.2;73622.922;10341.75;16418.648;2482.409;14358.629;36877.224;70136.911;3486.011;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;99.1;0.990622;273.31;271.44;4.591611;4.5;;99.1;0.990622;273.31;271.44;4.591611;4.5;;100.0;1.0;276.22;262.15;5.6395;5.6;;100.0;1.0;276.22;262.15;5.6395;5.6;;99.7;0.997577;234.55;207.62;6.215107;6.2;;99.7;0.997577;234.55;207.62;6.215107;6.2;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;22;PI;Piauí;2200103;Agricolândia;57335.342;11606.34;51901.68;10506.41;47283.337;9229.62;7406.218;3185.921;9090.615;25409.486;45092.24;2191.097;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;7;True;100.0;1.0;288.43;280.97;4.946635;4.9;;100.0;1.0;288.43;280.97;4.946635;4.9;;98.3;0.983625;249.64;235.15;4.7465;4.7;;98.6;0.986663;262.18;254.05;5.2705;5.2;;99.7;0.997373;200.82;186.95;5.195586;5.2;;99.7;0.997373;200.82;186.95;5.195586;5.2;;100.0;1.0;280.14;281.15;6.0215;6.0;;;;;;;;;;;;;;;
2;Nordeste;22;PI;Piauí;2200202;Água Branca;303532.26;17272.65;267272.929;15209.29;244026.811;13924.5;5365.341;18155.182;106537.977;95314.261;225372.761;18654.05;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;6;True;100.0;1.0;253.82;256.34;4.091827;4.1;;100.0;1.0;253.82;256.34;4.091827;4.1;;99.4;0.994451;272.44;266.9;5.655667;5.6;;99.4;0.994451;272.44;266.9;5.655667;5.6;;99.9;0.999197;243.62;228.5;6.767835;6.8;;99.9;0.999197;243.62;228.5;6.767835;6.8;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;22;PI;Piauí;2200251;Alagoinha do Piauí;80787.107;11847.35;75805.535;11116.81;65441.715;8523.28;12193.652;2631.576;11886.461;36415.254;63126.943;2314.773;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;7;True;93.8;0.934647;271.84;264.52;4.467372;4.2;;93.8;0.934647;271.84;264.52;4.467372;4.2;;94.3;0.945894;265.38;267.93;5.555167;5.3;;95.0;0.95239;280.19;278.99;5.986333;5.7;;98.2;0.982992;200.88;195.81;5.357822;5.3;;98.2;0.982992;200.88;195.81;5.357822;5.3;;96.8;0.969178;287.24;284.25;6.1915;6.0;;;;;;;;;;;;;;;
2;Nordeste;22;PI;Piauí;2200277;Alegrete do Piauí;56359.397;12162.15;54723.972;11809.23;48183.522;9791.41;7211.957;1889.813;11232.302;25567.293;45901.365;2282.157;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;96.6;0.967744;271.81;266.73;4.500034;4.4;;96.6;0.967744;271.81;266.73;4.500034;4.4;;99.3;0.992697;255.48;244.2;4.994667;5.0;;99.3;0.992697;255.48;244.2;4.994667;5.0;;99.3;0.991308;221.4;203.91;5.896698;5.8;;99.3;0.991308;221.4;203.91;5.896698;5.8;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;22;PI;Piauí;2200301;Alto Longá;146913.269;10899.42;128594.608;9540.37;130958.328;9112.68;20280.394;5069.754;27746.637;71899.688;124996.472;5961.856;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;7;True;89.5;0.904816;277.69;278.07;4.752379;4.3;;89.5;0.904816;277.69;278.07;4.752379;4.3;;99.3;0.993182;250.65;256.2;5.114167;5.1;;99.4;0.993432;249.64;249.69;4.988833;5.0;;99.2;0.992105;212.99;200.6;5.67602;5.6;;99.2;0.992105;212.99;200.6;5.67602;5.6;;100.0;1.0;246.45;229.2;4.594167;4.6;;;;;;;;;;;;;;;
2;Nordeste;22;PI;Piauí;2200400;Altos;764914.1;16119.4;660824.303;13936.74;538140.324;13228.3;14420.98;56925.681;201070.857;217848.945;490266.462;47873.862;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;7;True;97.9;0.979795;264.22;262.96;4.336996;4.2;;97.9;0.979795;264.22;262.96;4.336996;4.2;;99.9;0.998999;282.61;272.7;5.921833;5.9;;99.5;0.995238;271.53;264.66;5.603167;5.6;;99.9;0.998998;243.82;241.9;7.015288;7.0;;99.9;0.998998;243.82;241.9;7.015288;7.0;;97.1;0.97048;236.43;239.17;4.593333;4.5;;;;;;;;;;;;;;;
2;Nordeste;22;PI;Piauí;2200459;Alvorada do Gurguéia;109088.428;20497.64;95670.499;17976.42;82124.847;15016.43;22668.039;3198.457;20090.708;30328.482;76285.686;5839.161;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;6;True;99.5;0.994609;263.79;249.43;4.128412;4.1;;99.5;0.994609;263.79;249.43;4.128412;4.1;;93.1;0.932174;244.03;225.53;4.492667;4.2;;93.7;0.937118;205.54;202.38;3.465333;3.2;;98.2;0.981672;187.44;183.18;4.871697;4.8;;98.2;0.981672;187.44;183.18;4.871697;4.8;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;22;PI;Piauí;2200509;Amarante;243953.678;14155.37;220119.299;12771.64;192593.565;10937.22;18989.055;18115.84;53064.666;89829.234;179998.795;12594.77;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;7;True;91.9;0.9191;250.58;247.99;3.921321;3.6;;91.9;0.9191;250.58;247.99;3.921321;3.6;;95.9;0.964227;227.09;239.07;4.436;4.3;;96.4;0.968492;226.96;237.64;4.41;4.3;;98.4;0.983089;175.7;174.07;4.482015;4.4;;98.4;0.983089;175.7;174.07;4.482015;4.4;;100.0;1.0;226.7;234.8;4.358333;4.4;;;;;;;;;;;;;;;
2;Nordeste;22;PI;Piauí;2200608;Angical do Piauí;84771.951;12417.16;75215.065;11017.29;66749.412;9846.5;6252.324;3422.879;21198.007;31248.462;62121.672;4627.74;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;8;True;97.1;0.98114;276.17;284.77;4.83133;4.7;;98.1;0.980797;264.86;269.68;4.446584;4.4;;99.7;0.997988;264.59;251.07;5.261;5.3;;99.8;0.997988;256.14;254.63;5.1795;5.2;;99.8;0.99778;239.32;234.75;6.79941;6.8;;99.8;0.99778;239.32;234.75;6.79941;6.8;;100.0;1.0;246.67;258.61;5.088;5.1;;96.4;1.0;285.44;297.13;5.146557;5.1;;;;;;;;
