region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_federal_fundamental_finais_6_9;performance_indicator_federal_fundamental_finais_6_9;saeb_math_score_federal_fundamental_finais_6_9;saeb_portuguese_score_federal_fundamental_finais_6_9;saeb_standardized_average_score_federal_fundamental_finais_6_9;ideb_federal_fundamental_finais_6_9;ideb_projection_federal_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5
4;Sul;41;PR;Paraná;4100103;Abatiá;297166.248;41039.39;282503.197;39014.39;221816.638;30138.13;110595.508;9932.391;52304.936;40040.739;212873.574;8943.064;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;6;True;100.0;1.0;262.48;265.07;4.344145;4.3;;100.0;1.0;262.48;265.07;4.344145;4.3;;100.0;1.0;257.8;250.23;5.133833;5.1;;100.0;1.0;257.8;250.23;5.133833;5.1;;97.9;0.978518;217.21;206.83;5.869827;5.7;;97.9;0.978728;217.21;206.83;5.869827;5.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;41;PR;Paraná;4100202;Adrianópolis;467129.251;74669.0;442776.424;70776.28;368853.702;63628.38;27453.137;209013.429;52302.063;35027.116;323795.745;45057.957;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;6;True;98.7;0.986981;257.25;264.52;4.262456;4.2;;98.7;0.986981;257.25;264.52;4.262456;4.2;;100.0;1.0;239.4;247.78;4.786333;4.8;;100.0;1.0;239.4;247.78;4.786333;4.8;;100.0;1.0;223.2;217.05;6.169958;6.2;;100.0;1.0;223.2;217.05;6.169958;6.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;41;PR;Paraná;4100301;Agudos do Sul;279388.38;27302.69;238564.978;23313.3;216903.776;22672.08;74699.052;12693.01;66287.359;48096.204;201775.625;15128.151;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;6;True;96.7;0.969147;293.38;297.47;5.263164;5.1;;96.7;0.969147;293.38;297.47;5.263164;5.1;;94.9;0.949348;258.03;264.68;5.3785;5.1;;94.9;0.949348;258.03;264.68;5.3785;5.1;;97.1;0.97209;219.4;207.28;5.919803;5.8;;97.1;0.97209;219.4;207.28;5.919803;5.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;41;PR;Paraná;4100400;Almirante Tamandaré;2242619.546;18715.79;2074574.049;17313.37;1936254.916;15946.75;51409.687;491204.082;702419.93;484339.152;1729372.851;206882.065;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;6;True;95.5;0.960578;267.52;277.06;4.594422;4.4;;95.5;0.960578;267.52;277.06;4.594422;4.4;;98.3;0.983223;243.83;246.83;4.844333;4.8;;98.3;0.983223;243.83;246.83;4.844333;4.8;;97.1;0.971916;200.4;195.41;5.341389;5.2;;97.1;0.971916;200.4;195.41;5.341389;5.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;41;PR;Paraná;4100459;Altamira do Paraná;115509.036;32175.22;106033.128;29535.69;96207.266;67324.89;50691.225;3237.393;21899.422;15395.11;91223.15;4984.115;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;6;True;99.2;0.99118;265.56;261.42;4.332763;4.3;;99.2;0.99118;265.56;261.42;4.332763;4.3;;100.0;1.0;259.89;257.22;5.285167;5.3;;100.0;1.0;259.89;257.22;5.285167;5.3;;95.1;0.943926;248.87;228.93;6.875844;6.5;;95.1;0.943926;248.87;228.93;6.875844;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;41;PR;Paraná;4100509;Altônia;546400.969;29153.82;442850.157;23633.8;462492.851;20746.1;118591.363;29725.462;176952.506;102560.909;427830.24;34662.611;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;98.2;0.986382;288.05;294.76;5.147735;5.1;;98.2;0.986382;288.05;294.76;5.147735;5.1;;99.6;0.995979;280.85;281.14;6.033167;6.0;;99.6;0.995979;280.85;281.14;6.033167;6.0;;96.5;0.963512;242.3;226.8;6.711735;6.5;;96.5;0.963512;242.3;226.8;6.711735;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;41;PR;Paraná;4100608;Alto Paraná;562666.681;40453.42;391675.5;28159.86;436261.407;29191.13;208719.693;35429.821;98518.253;72865.767;415533.534;20727.873;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;6;True;100.0;1.0;277.66;279.06;4.766778;4.8;;100.0;1.0;277.66;279.06;4.766778;4.8;;98.9;0.988929;264.54;273.29;5.6305;5.6;;98.9;0.988929;264.54;273.29;5.6305;5.6;;92.8;0.929507;240.12;218.04;6.510859;6.1;;92.8;0.929507;240.12;218.04;6.510859;6.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;41;PR;Paraná;4100707;Alto Piquiri;488593.684;50230.67;381077.187;39177.26;410779.606;42252.58;177000.125;19871.393;130778.872;52293.15;379943.54;30836.066;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;6;True;98.0;0.983844;265.07;268.67;4.434413;4.4;;98.0;0.983844;265.07;268.67;4.434413;4.4;;99.8;0.997481;259.39;260.28;5.327833;5.3;;99.8;0.997481;259.39;260.28;5.327833;5.3;;98.5;0.985692;230.46;220.95;6.379417;6.3;;98.5;0.985692;230.46;220.95;6.379417;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;41;PR;Paraná;4100806;Alvorada do Sul;436442.873;42266.4;449849.048;43564.7;338358.675;29173.88;109215.74;17170.2;123759.131;64222.644;314367.716;23990.959;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;6;True;99.6;0.997227;262.96;269.09;4.411066;4.4;;99.6;0.997227;262.96;269.09;4.411066;4.4;;98.4;0.985533;264.46;251.69;5.269167;5.2;;98.4;0.985533;264.46;251.69;5.269167;5.2;;99.1;0.990973;234.02;229.35;6.600083;6.5;;99.1;0.990973;234.02;229.35;6.600083;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;41;PR;Paraná;4100905;Amaporã;163898.554;34418.01;122957.49;25820.56;121114.3;18909.34;42474.46;5477.422;30270.619;33434.802;111657.302;9456.997;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;6;True;96.3;0.956915;284.45;275.33;4.806305;4.6;;96.3;0.956915;284.45;275.33;4.806305;4.6;;95.4;0.954527;267.8;273.49;5.688167;5.4;;95.4;0.954527;267.8;273.49;5.688167;5.4;;93.5;0.935136;233.21;216.95;6.359171;5.9;;93.5;0.935136;233.21;216.95;6.359171;5.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
