region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_municipal_medio_todos_1_4;performance_indicator_municipal_medio_todos_1_4;saeb_math_score_municipal_medio_todos_1_4;saeb_portuguese_score_municipal_medio_todos_1_4;saeb_standardized_average_score_municipal_medio_todos_1_4;ideb_municipal_medio_todos_1_4;ideb_projection_municipal_medio_todos_1_4;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_federal_fundamental_finais_6_9;performance_indicator_federal_fundamental_finais_6_9;saeb_math_score_federal_fundamental_finais_6_9;saeb_portuguese_score_federal_fundamental_finais_6_9;saeb_standardized_average_score_federal_fundamental_finais_6_9;ideb_federal_fundamental_finais_6_9;ideb_projection_federal_fundamental_finais_6_9;approval_rate_federal_fundamental_iniciais_1_5;performance_indicator_federal_fundamental_iniciais_1_5;saeb_math_score_federal_fundamental_iniciais_1_5;saeb_portuguese_score_federal_fundamental_iniciais_1_5;saeb_standardized_average_score_federal_fundamental_iniciais_1_5;ideb_federal_fundamental_iniciais_1_5;ideb_projection_federal_fundamental_iniciais_1_5
3;Sudeste;33;RJ;Rio de Janeiro;3300100;Angra dos Reis;11900498.299;71075.76;11032724.613;65899.27;11194156.559;53262.14;60857.099;3331322.385;4796224.935;1921437.991;10109842.41;1084314.149;Demais serviços;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Administração, defesa, educação e saúde públicas e seguridade social;8;True;92.9;0.92873;239.56;250.28;4.830667;4.5;;78.9;0.793864;255.12;264.57;4.233289;3.4;;85.8;0.857324;237.73;245.75;4.724667;4.1;;80.2;0.80532;270.61;272.91;4.575696;3.7;;91.2;0.911374;238.85;248.52;4.7895;4.4;;98.5;0.982113;406.4;346.01;7.57717;7.4;;97.4;0.974655;217.17;203.57;5.809791;5.7;;97.4;0.974448;217.17;203.57;5.809791;5.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;33;RJ;Rio de Janeiro;3300159;Aperibé;301129.434;27291.05;276294.733;25040.31;249118.566;20697.79;9386.796;13598.342;85160.834;121490.989;229636.96;19481.606;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;7;True;95.7;0.96092;251.65;237.57;4.820333;4.6;;96.1;0.960016;277.3;282.31;4.810375;4.6;;95.8;0.953162;272.99;275.87;5.814333;5.5;;96.1;0.960016;277.3;282.31;4.810375;4.6;;95.7;0.95562;268.22;267.31;5.592167;5.3;;;;;;;;;95.2;0.947033;225.68;214.01;6.162014;5.8;;95.2;0.947033;225.68;214.01;6.162014;5.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;33;RJ;Rio de Janeiro;3300209;Araruama;13156181.005;101458.16;9387990.044;72399.65;4234216.841;31109.01;59720.946;1071336.057;1557778.1;1183055.339;3871890.442;362326.399;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias extrativas;6;True;81.4;0.816151;254.9;259.87;5.246167;4.3;;84.0;0.844862;253.69;261.49;4.167097;3.5;;;;;;;;;84.0;0.844862;253.69;261.49;4.167097;3.5;;81.4;0.816151;254.9;259.87;5.246167;4.3;;;;;;;;;91.1;0.90983;219.42;211.45;5.996003;5.5;;91.1;0.90983;219.42;211.45;5.996003;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;33;RJ;Rio de Janeiro;3300225;Areal;597072.116;50479.55;488446.186;41295.75;427436.369;33490.27;4394.159;89807.921;123296.226;134994.427;352492.733;74943.636;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias de transformação;6;True;;;;;;;;92.5;0.926074;248.1;246.61;3.865831;3.6;;95.9;0.959617;257.04;261.08;5.302;5.1;;92.5;0.926074;248.1;246.61;3.865831;3.6;;77.3;0.775492;257.04;261.08;5.302;4.1;;;;;;;;;97.6;0.976115;221.38;216.7;6.128862;6.0;;97.6;0.976115;221.38;216.7;6.128862;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;33;RJ;Rio de Janeiro;3300233;Armação dos Búzios;5019621.154;125471.71;4138736.702;103452.9;2970296.615;84720.38;12585.504;1181356.021;1165231.458;478879.548;2838052.531;132244.084;Indústrias extrativas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;6;True;82.3;0.823112;241.91;253.06;4.916167;4.0;;;;;;;;;;;;;;;;71.1;0.76992;256.07;255.21;4.106512;3.2;;82.3;0.823112;241.91;253.06;4.916167;4.0;;;;;;;;;88.3;0.882984;226.62;219.68;6.283044;5.5;;88.3;0.882984;226.62;219.68;6.283044;5.5;;80.4;0.847358;261.91;268.15;4.382247;3.7;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;33;RJ;Rio de Janeiro;3300258;Arraial do Cabo;9335373.871;301277.15;7026277.255;226756.51;2705449.583;87762.34;22382.215;1510707.133;713995.074;387018.786;2634103.206;71346.376;Indústrias extrativas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;6;True;89.2;0.894235;260.34;258.92;5.321;4.8;;93.0;0.934629;265.04;267.94;4.423064;4.1;;;;;;;;;92.1;0.934629;265.04;267.94;4.423064;4.1;;89.2;0.894235;260.34;258.92;5.321;4.8;;;;;;;;;83.9;0.839566;219.6;208.42;5.944347;5.0;;83.9;0.839566;219.6;208.42;5.944347;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;33;RJ;Rio de Janeiro;3300308;Barra do Piraí;3225723.098;34728.89;3005431.969;32357.18;2713889.71;26833.27;47238.386;540720.293;1047621.072;776395.591;2411975.341;301914.369;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;7;True;89.0;0.89171;233.45;246.91;4.672667;4.2;;84.3;0.845219;261.11;265.83;4.336281;3.7;;86.2;0.860267;240.83;246.95;4.796333;4.1;;84.3;0.845219;261.11;265.83;4.336281;3.7;;86.7;0.866096;239.62;246.94;4.776;4.1;;;;;;;;;89.4;0.892996;211.14;205.06;5.721806;5.1;;89.4;0.892996;211.14;205.06;5.721806;5.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;33;RJ;Rio de Janeiro;3300407;Barra Mansa;6831114.616;40208.1;6513673.527;38338.5;6449269.604;34816.31;70860.157;1292422.94;2974215.604;1419176.464;5756675.165;692594.439;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;7;True;89.9;0.894233;261.48;266.49;5.466167;4.9;;89.4;0.899655;270.62;281.21;4.700087;4.2;;88.4;0.887209;255.53;261.11;5.277333;4.7;;89.4;0.899655;270.62;281.21;4.700087;4.2;;89.5;0.891925;259.48;264.68;5.402667;4.8;;;;;;;;;92.4;0.926391;228.41;220.71;6.335931;5.9;;92.4;0.926391;228.41;220.71;6.335931;5.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;33;RJ;Rio de Janeiro;3300456;Belford Roxo;9686338.741;20050.92;9579716.4;19830.21;8839736.389;17156.57;3708.386;1047938.144;3073704.556;3675975.987;7801327.073;1038409.316;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;7;True;86.3;0.871845;232.67;238.38;4.5175;3.9;;83.2;0.83538;239.46;247.06;3.751219;3.1;;86.0;0.860706;223.23;229.49;4.212;3.6;;83.2;0.83538;239.46;247.06;3.751219;3.1;;86.1;0.860441;225.67;231.79;4.291;3.7;;;;;;;;;91.1;0.910666;198.35;191.13;5.224449;4.8;;91.1;0.910666;198.35;191.13;5.224449;4.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;33;RJ;Rio de Janeiro;3300506;Bom Jardim;1018919.574;36257.9;890883.017;31701.77;887295.416;31941.23;105463.985;184754.56;252072.86;232367.879;774659.283;112636.133;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias de transformação;6;True;;;;;;;;89.2;0.887404;278.15;279.67;4.782792;4.2;;84.4;0.844321;253.16;253.3;5.107667;4.3;;89.2;0.887404;278.15;279.67;4.782792;4.2;;83.5;0.836172;256.77;255.51;5.204667;4.4;;;;;;;;;92.4;0.923836;222.17;217.35;6.155756;5.7;;92.4;0.923836;222.17;217.35;6.155756;5.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
