region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_federal_fundamental_iniciais_1_5;performance_indicator_federal_fundamental_iniciais_1_5;saeb_math_score_federal_fundamental_iniciais_1_5;saeb_portuguese_score_federal_fundamental_iniciais_1_5;saeb_standardized_average_score_federal_fundamental_iniciais_1_5;ideb_federal_fundamental_iniciais_1_5;ideb_projection_federal_fundamental_iniciais_1_5;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4
2;Nordeste;24;RN;Rio Grande do Norte;2400109;Acari;195828.116;18479.58;173700.041;16391.44;141991.931;12785.15;17168.872;8761.905;41690.199;63154.107;130775.084;11216.847;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;7;True;88.6;0.886455;263.72;265.33;4.365453;3.9;;88.6;0.886455;263.72;265.33;4.365453;3.9;;95.7;0.957934;225.64;240.81;4.440833;4.3;;92.4;0.92449;247.01;250.31;4.955333;4.6;;99.8;0.99839;228.93;223.04;6.388219;6.4;;99.8;0.99839;228.93;223.04;6.388219;6.4;;90.1;0.901394;257.3;254.89;5.203167;4.7;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;24;RN;Rio Grande do Norte;2400208;Açu;2170177.264;38412.94;2146108.39;37982.87;1467561.99;24982.76;35044.132;483175.739;518976.745;330938.934;1368135.55;99426.44;Indústrias extrativas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;8;True;79.2;0.800615;250.5;257.46;4.061964;3.3;;79.2;0.800615;250.5;257.46;4.061964;3.3;;77.5;0.790424;234.5;241.78;4.604667;3.6;;77.9;0.786514;236.04;241.49;4.6255;3.6;;94.1;0.941375;191.34;185.33;4.985216;4.7;;94.1;0.941087;191.02;185.09;4.974745;4.7;;78.6;0.780069;236.81;241.35;4.636;3.6;;93.1;0.946422;194.8;187.9;5.097974;4.8;;;;;;;;;;;;;;;
2;Nordeste;24;RN;Rio Grande do Norte;2400307;Afonso Bezerra;160921.097;14846.49;193262.64;17830.3;138262.051;12541.91;8877.799;21455.315;28611.588;73058.876;132003.577;6258.473;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Construção;6;True;;;;;;;;;;;;;;;86.2;0.863346;221.94;222.67;4.076833;3.5;;89.6;0.89817;217.52;225.59;4.051833;3.6;;96.8;0.969436;181.34;166.19;4.446376;4.3;;97.6;0.976085;174.84;162.31;4.251785;4.2;;93.2;0.9346;215.41;226.98;4.039833;3.8;;93.9;0.940223;203.6;179.48;5.112822;4.8;;;;;;;;;;;;;;;
2;Nordeste;24;RN;Rio Grande do Norte;2400406;Água Nova;42554.072;14444.7;37808.694;12833.91;34552.095;10492.59;1135.124;1000.937;8886.842;22038.278;33061.182;1490.912;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;4;True;92.5;0.932888;271.27;292.14;4.872839;4.5;;92.5;0.932888;271.27;292.14;4.872839;4.5;;94.9;0.949377;254.28;251.21;5.0915;4.8;;94.9;0.949377;254.28;251.21;5.0915;4.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;24;RN;Rio Grande do Norte;2400505;Alexandria;209116.995;15331.16;178559.142;13090.85;150788.602;11145.58;6759.887;3026.819;58179.665;72752.262;140718.632;10069.97;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;7;True;74.3;0.748605;264.9;284.5;4.669002;3.5;;74.3;0.748605;264.9;284.5;4.669002;3.5;;73.1;0.712919;233.76;233.5;4.454333;3.2;;80.6;0.804056;236.05;243.53;4.659667;3.7;;95.7;0.957686;194.04;189.19;5.106924;4.9;;95.7;0.957686;194.04;189.19;5.106924;4.9;;84.2;0.8413;237.14;248.29;4.757167;4.0;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;24;RN;Rio Grande do Norte;2400604;Almino Afonso;68328.729;14578.35;61041.514;13023.58;50061.102;10685.4;2673.071;2238.398;12955.675;29925.13;47792.274;2268.828;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;7;True;90.0;0.895913;267.3;272.27;4.519626;4.0;;90.0;0.895913;267.3;272.27;4.519626;4.0;;;;;;;;;86.6;0.86208;229.58;229.79;4.322833;3.7;;96.6;0.966463;203.64;187.79;5.264676;5.1;;96.9;0.971775;194.16;180.67;4.954305;4.8;;86.6;0.86208;229.58;229.79;4.322833;3.7;;96.2;0.948414;213.7;195.36;5.594297;5.3;;;;;;;;;;;;;;;
2;Nordeste;24;RN;Rio Grande do Norte;2400703;Alto do Rodrigues;902783.049;72315.21;792175.921;63455.3;616322.331;41300.16;21237.096;304515.088;141516.24;109153.277;576421.701;39900.63;Indústrias extrativas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;6;True;77.4;0.78544;256.3;264.59;4.250161;3.3;;77.4;0.78544;256.3;264.59;4.250161;3.3;;96.8;0.968088;247.91;260.28;5.1365;5.0;;96.8;0.968088;247.91;260.28;5.1365;5.0;;96.8;0.966885;222.91;221.37;6.242969;6.0;;96.8;0.966885;222.91;221.37;6.242969;6.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;24;RN;Rio Grande do Norte;2400802;Angicos;257919.437;22173.27;214392.795;18431.29;180163.149;15405.14;6313.769;6847.368;78364.365;71610.555;163136.056;17027.093;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;8;True;77.0;0.775023;251.5;258.91;4.097716;3.2;;77.0;0.775023;251.5;258.91;4.097716;3.2;;83.8;0.849251;252.84;247.64;5.008;4.3;;87.5;0.877942;243.67;242.6;4.771167;4.2;;92.6;0.921774;200.87;192.91;5.304904;4.9;;91.7;0.891792;193.4;187.76;5.068711;4.5;;93.6;0.929358;234.8;237.73;4.542167;4.2;;93.9;0.944417;207.32;197.35;5.508723;5.2;;;;;;;;;;;;;;;
2;Nordeste;24;RN;Rio Grande do Norte;2400901;Antônio Martins;79463.801;12082.07;70796.769;10764.3;65524.996;9148.98;3496.661;2869.552;15338.859;40750.864;62455.935;3069.061;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;7;True;86.3;0.861029;254.52;266.39;4.252108;3.7;;86.3;0.861029;254.52;266.39;4.252108;3.7;;66.5;0.71213;259.07;268.01;5.451333;3.9;;72.4;0.736254;244.61;254.43;4.984;3.7;;83.6;0.84428;201.29;183.96;5.150192;4.3;;81.6;0.814927;196.69;186.23;5.103679;4.2;;;;;;;;;92.3;0.928489;211.0;179.16;5.248225;4.9;;;;;;;;;;;;;;;
2;Nordeste;24;RN;Rio Grande do Norte;2401008;Apodi;941920.331;26239.53;895177.54;24801.28;709585.968;19763.42;65974.569;168018.971;229537.839;191888.015;655419.394;54166.574;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Indústrias extrativas;8;True;88.9;0.905301;297.89;296.89;5.317824;4.8;;86.3;0.86561;279.95;276.71;4.763762;4.1;;83.3;0.833668;251.82;258.24;5.167667;4.3;;86.3;0.862542;238.9;243.0;4.698333;4.1;;95.9;0.95884;208.8;207.12;5.714604;5.5;;96.8;0.967676;211.24;209.16;5.79826;5.6;;88.4;0.880913;232.5;235.46;4.466;3.9;;92.5;0.932031;204.38;203.42;5.56298;5.2;;;;;;;;;;;;;;;
