region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4
1;Norte;11;RO;Rondônia;1100015;Alta Floresta D'Oeste;1046342.546;48680.68;919520.273;42778.33;734467.017;32619.78;311468.683;27845.497;172434.698;173121.632;684870.51;49596.507;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita;8;True;87.6;0.875571;238.44;233.56;4.533333;4.0;;97.4;0.978445;274.69;273.68;4.644526;4.5;;97.4;0.978445;274.69;273.68;4.644526;4.5;;93.0;0.922921;211.45;204.42;5.716085;5.3;;93.4;0.925403;205.06;200.92;5.530502;5.1;;95.6;0.955774;258.13;249.46;5.1265;4.9;;90.0;0.889528;244.1;222.33;6.664813;5.9;;93.2;0.931733;254.11;246.21;5.005333;4.7;;;;;;;;
1;Norte;11;RO;Rondônia;1100023;Ariquemes;4383815.338;45271.91;3809355.08;39339.43;3211294.276;28892.06;293000.779;407674.509;1307976.899;782306.216;2790958.402;420335.874;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;8;True;91.9;0.921178;237.33;246.46;4.729833;4.4;;91.2;0.913555;272.01;274.56;4.620059;4.2;;90.9;0.909918;269.37;271.11;4.531334;4.1;;93.2;0.931521;215.77;203.99;5.79071;5.4;;92.9;0.92808;213.93;203.06;5.738686;5.3;;94.4;0.945972;252.55;252.21;5.079333;4.8;;100.0;1.0;227.86;210.08;6.132162;6.1;;93.8;0.937832;251.95;251.99;5.065667;4.8;;;;;;;;
1;Norte;11;RO;Rondônia;1100031;Cabixi;300832.108;56219.79;289782.675;54033.69;238414.1;47052.32;136659.3;8117.127;35865.575;46579.249;227221.251;11192.849;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;6;True;;;;;;;;98.1;0.980316;262.44;256.32;4.212595;4.1;;98.1;0.980316;262.44;256.32;4.212595;4.1;;96.5;0.962655;226.78;206.52;6.046824;5.8;;96.5;0.962655;226.78;206.52;6.046824;5.8;;99.7;0.997227;247.93;252.78;5.011833;5.0;;;;;;;;;99.7;0.997227;247.93;252.78;5.011833;5.0;;;;;;;;
1;Norte;11;RO;Rondônia;1100049;Cacoal;3848467.896;44292.79;3195489.49;36774.15;2792505.911;32314.69;341314.544;236801.003;1200653.615;629109.371;2407878.532;384627.379;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;9;True;98.3;0.980511;219.28;227.34;4.110333;4.0;;92.9;0.929303;270.03;268.93;4.507969;4.2;;91.9;0.91931;262.62;260.23;4.273656;3.9;;99.2;0.99197;212.54;204.52;5.738705;5.7;;99.3;0.991346;205.27;198.75;5.495056;5.4;;98.9;0.989485;249.65;251.27;5.015333;5.0;;99.1;0.991779;221.69;211.77;6.045142;6.0;;98.8;0.988228;247.61;249.67;4.954667;4.9;;97.8;0.978608;301.01;305.36;5.48844;5.4;
1;Norte;11;RO;Rondônia;1100056;Cerejeiras;1006389.44;63334.77;903098.536;56834.39;743061.678;46187.32;151690.475;27433.023;308668.019;123364.617;611156.134;131905.544;Comércio e reparação de veículos automotores e motocicletas;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;7;True;;;;;;;;87.8;0.888075;272.43;275.23;4.635988;4.1;;87.8;0.888075;272.43;275.23;4.635988;4.1;;97.5;0.974393;220.83;206.3;5.929275;5.8;;97.3;0.971163;215.66;202.41;5.759883;5.6;;96.7;0.966651;255.25;252.94;5.1365;5.0;;99.2;0.993243;239.62;220.41;6.544408;6.5;;96.7;0.966651;255.25;252.94;5.1365;5.0;;;;;;;;
1;Norte;11;RO;Rondônia;1100064;Colorado do Oeste;580898.591;37087.31;514218.546;32830.14;424845.954;27926.51;123523.517;28827.32;124601.082;114880.697;391832.616;33013.338;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços;7;True;;;;;;;;97.3;0.975512;279.57;284.06;4.868454;4.7;;96.6;0.9652;265.89;267.06;4.421829;4.3;;98.2;0.981431;241.24;229.04;6.732233;6.6;;98.2;0.981431;241.24;229.04;6.732233;6.6;;98.4;0.983959;256.11;256.08;5.203167;5.1;;;;;;;;;97.7;0.977226;256.11;256.08;5.203167;5.1;;98.0;0.982759;290.94;298.2;5.239822;5.1;
1;Norte;11;RO;Rondônia;1100072;Corumbiara;509565.719;67770.41;473844.806;63019.66;396740.22;56259.25;260728.227;14013.544;45391.792;60535.181;380668.745;16071.475;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;6;True;;;;;;;;98.2;0.98319;255.62;256.99;4.126838;4.1;;98.2;0.98319;255.62;256.99;4.126838;4.1;;91.1;0.909639;233.36;215.31;6.332215;5.8;;90.7;0.904843;233.36;215.31;6.332215;5.7;;98.7;0.986474;266.71;267.79;5.575;5.5;;;;;;;;;98.7;0.986474;266.71;267.79;5.575;5.5;;;;;;;;
1;Norte;11;RO;Rondônia;1100080;Costa Marques;413942.952;32782.37;349795.626;27702.2;316671.541;16446.2;116782.743;6682.944;53392.482;128056.964;304915.132;11756.408;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços;6;True;;;;;;;;96.7;0.967926;263.2;257.28;4.23764;4.1;;96.7;0.967926;263.2;257.28;4.23764;4.1;;93.0;0.928206;187.36;178.12;4.778171;4.4;;93.0;0.928206;187.36;178.12;4.778171;4.4;;96.3;0.963044;251.46;251.82;5.054667;4.9;;;;;;;;;89.5;0.896507;247.38;249.49;4.947833;4.4;;;;;;;;
1;Norte;11;RO;Rondônia;1100098;Espigão D'Oeste;1023972.935;34812.43;921381.731;31342.71;773371.568;23429.11;202433.801;54682.28;221161.996;217510.539;695788.617;77582.951;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços;8;True;96.8;0.968086;239.22;236.72;4.599;4.5;;96.6;0.966336;272.12;269.35;4.54361;4.4;;96.6;0.966336;272.12;269.35;4.54361;4.4;;98.5;0.985678;225.64;209.95;6.087432;6.0;;98.2;0.983129;228.59;215.36;6.242094;6.1;;99.2;0.991731;262.24;257.75;5.333167;5.3;;99.2;0.992107;219.22;198.18;5.750913;5.7;;98.7;0.986719;259.72;255.45;5.252833;5.2;;;;;;;;
1;Norte;11;RO;Rondônia;1100106;Guajará-Mirim;1145033.649;29071.36;1057883.463;26859.38;1054254.562;22464.41;77441.552;40538.01;436343.879;319235.34;873558.78;180695.782;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;Demais serviços;7;True;;;;;;;;92.4;0.928341;259.42;269.69;4.370329;4.1;;92.7;0.932086;254.67;261.6;4.182508;3.9;;95.1;0.951311;197.9;190.11;5.197316;4.9;;95.4;0.953434;189.4;178.22;4.81892;4.6;;98.7;0.987728;240.1;241.88;4.699667;4.6;;94.6;0.952516;213.25;211.61;5.881164;5.6;;98.7;0.987728;240.1;241.88;4.699667;4.6;;;;;;;;
