region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_federal_fundamental_finais_6_9;performance_indicator_federal_fundamental_finais_6_9;saeb_math_score_federal_fundamental_finais_6_9;saeb_portuguese_score_federal_fundamental_finais_6_9;saeb_standardized_average_score_federal_fundamental_finais_6_9;ideb_federal_fundamental_finais_6_9;ideb_projection_federal_fundamental_finais_6_9;approval_rate_federal_fundamental_iniciais_1_5;performance_indicator_federal_fundamental_iniciais_1_5;saeb_math_score_federal_fundamental_iniciais_1_5;saeb_portuguese_score_federal_fundamental_iniciais_1_5;saeb_standardized_average_score_federal_fundamental_iniciais_1_5;ideb_federal_fundamental_iniciais_1_5;ideb_projection_federal_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9
1;Norte;14;RR;Roraima;1400027;Amajari;329099.885;23630.35;300390.24;21568.91;240826.098;17758.73;62983.343;10213.139;21937.633;142661.497;237795.612;3030.486;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços;7;True;78.6;0.791623;241.0;243.23;3.715513;2.9;;98.9;0.989738;191.54;179.86;4.889578;4.8;;93.9;0.938899;191.54;179.86;4.889578;4.6;;90.8;0.907862;209.3;201.22;3.508667;3.2;;90.8;0.90886;209.3;201.22;3.508667;3.2;;73.2;0.73515;235.26;239.26;3.575464;2.6;;91.6;0.923458;248.14;248.16;3.889597;3.6;;;;;;;;;;;;;;;;;;;;;;
1;Norte;14;RR;Roraima;1400050;Alto Alegre;802540.265;38042.3;700057.799;33231.64;385506.664;25280.78;146584.677;14739.162;49570.385;167565.791;378460.014;7046.65;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;6;True;91.2;0.909958;244.0;242.67;3.749265;3.4;;95.2;0.950275;190.68;177.39;4.828257;4.6;;93.3;0.931947;190.68;177.39;4.828257;4.5;;93.6;0.935981;219.5;218.6;3.968333;3.7;;93.6;0.935981;219.5;218.6;3.968333;3.7;;91.2;0.909958;244.0;242.67;3.749265;3.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;14;RR;Roraima;1400100;Boa Vista;18234168.562;44098.64;15213965.661;36794.39;13493364.054;30906.19;190927.99;1306705.239;5625759.111;4791542.697;11914935.036;1578429.018;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;9;True;87.5;0.874263;259.04;261.36;4.240291;3.7;;97.6;0.976163;219.11;205.3;5.878269;5.7;;97.6;0.975959;219.13;205.41;5.88065;5.7;;92.6;0.926037;240.48;241.53;4.700167;4.4;;92.7;0.926548;240.71;241.73;4.707333;4.4;;87.1;0.86987;256.25;257.88;4.14901;3.6;;92.3;0.922702;289.2;298.93;5.226312;4.8;;97.9;0.978513;266.84;264.83;5.527833;5.4;;99.2;0.992162;222.99;231.0;6.419587;6.4;;;;;;;;
1;Norte;14;RR;Roraima;1400159;Bonfim;772903.212;55512.69;705964.546;50799.78;522405.211;41131.03;274520.07;22091.098;70214.949;147193.341;514019.458;8385.753;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;7;True;86.9;0.875923;241.19;230.84;3.532703;3.1;;95.8;0.956766;191.77;182.95;4.950149;4.7;;95.7;0.956749;191.77;182.95;4.950149;4.7;;90.0;0.897476;239.01;231.51;4.508667;4.0;;91.6;0.914426;225.45;226.58;4.2005;3.8;;86.9;0.875923;241.19;230.84;3.532703;3.1;;;;;;;;;;;;;;;;;;;;;;;93.9;0.938965;219.05;224.25;4.055;3.8;
1;Norte;14;RR;Roraima;1400175;Cantá;498394.212;26677.78;405867.99;21725.08;353071.266;18334.7;58179.612;19722.879;38823.325;205699.657;322425.472;30645.794;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços;6;True;85.1;0.856695;242.72;237.96;3.660778;3.1;;96.7;0.967116;189.32;177.31;4.800848;4.6;;96.9;0.968656;189.32;177.31;4.800848;4.7;;90.8;0.906926;219.15;212.59;3.862333;3.5;;90.9;0.908022;219.15;212.59;3.862333;3.5;;85.1;0.856695;242.72;237.96;3.660778;3.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;14;RR;Roraima;1400209;Caracaraí;637454.154;30417.24;530515.04;25314.46;453297.537;20026.4;68071.318;22712.45;89619.918;253062.043;433465.729;19831.808;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;92.6;0.843276;264.01;273.71;4.494975;3.8;;89.1;0.8901;189.6;182.71;4.904373;4.4;;90.0;0.899445;189.6;182.71;4.904373;4.4;;90.5;0.904196;232.71;237.72;4.507167;4.1;;90.5;0.904196;232.71;237.72;4.507167;4.1;;93.1;0.935978;248.99;252.17;3.961565;3.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;14;RR;Roraima;1400233;Caroebe;317377.066;29783.88;276635.064;25960.5;236787.802;22349.01;73570.281;6606.554;33952.204;116438.515;230567.554;6220.247;Administração, defesa, educação e saúde públicas e seguridade social;Produção florestal, pesca e aquicultura;Pecuária, inclusive apoio à pecuária;2;True;;;;;;;;94.1;0.939111;199.72;191.77;5.26223;4.9;;94.0;0.938165;199.72;191.77;5.26223;4.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;14;RR;Roraima;1400282;Iracema;279559.465;27891.8;235247.048;23470.72;208476.682;16497.32;38618.321;5929.143;24504.885;135327.428;204379.777;4096.905;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços;4;True;94.2;0.950326;239.9;248.93;3.785393;3.6;;90.6;0.903175;188.01;175.09;4.735484;4.3;;91.2;0.90367;188.01;175.09;4.735484;4.3;;;;;;;;;;;;;;;;94.2;0.950326;239.9;248.93;3.785393;3.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;14;RR;Roraima;1400308;Mucajaí;552044.224;30508.11;481025.356;26628.95;393852.028;21310.03;70846.356;19885.322;81158.588;199047.899;370938.165;22913.863;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços;6;True;91.6;0.924043;254.46;255.76;4.092133;3.8;;95.7;0.957159;183.25;173.32;4.612463;4.4;;95.9;0.958161;183.25;173.32;4.612463;4.4;;94.4;0.943172;228.33;234.67;4.383333;4.1;;94.4;0.943172;228.33;234.67;4.383333;4.1;;91.6;0.924043;254.46;255.76;4.092133;3.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;Norte;14;RR;Roraima;1400407;Normandia;370956.111;26523.39;270719.777;19805.38;202859.421;17232.37;39995.823;6996.669;21175.348;131584.784;199752.625;3106.796;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;6;True;86.8;0.871912;231.22;226.49;3.327555;2.9;;97.2;0.970452;190.72;176.8;4.818293;4.7;;95.6;0.953799;190.72;176.8;4.818293;4.6;;88.4;0.883804;217.56;217.83;3.923167;3.5;;88.6;0.887006;217.56;217.83;3.923167;3.5;;86.8;0.871912;231.22;226.49;3.327555;2.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
