region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_municipal_medio_todos_1_4;performance_indicator_municipal_medio_todos_1_4;saeb_math_score_municipal_medio_todos_1_4;saeb_portuguese_score_municipal_medio_todos_1_4;saeb_standardized_average_score_municipal_medio_todos_1_4;ideb_municipal_medio_todos_1_4;ideb_projection_municipal_medio_todos_1_4;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_federal_fundamental_iniciais_1_5;performance_indicator_federal_fundamental_iniciais_1_5;saeb_math_score_federal_fundamental_iniciais_1_5;saeb_portuguese_score_federal_fundamental_iniciais_1_5;saeb_standardized_average_score_federal_fundamental_iniciais_1_5;ideb_federal_fundamental_iniciais_1_5;ideb_projection_federal_fundamental_iniciais_1_5;approval_rate_federal_fundamental_finais_6_9;performance_indicator_federal_fundamental_finais_6_9;saeb_math_score_federal_fundamental_finais_6_9;saeb_portuguese_score_federal_fundamental_finais_6_9;saeb_standardized_average_score_federal_fundamental_finais_6_9;ideb_federal_fundamental_finais_6_9;ideb_projection_federal_fundamental_finais_6_9
4;Sul;43;RS;Rio Grande do Sul;4300034;Aceguá;382340.49;91688.37;291050.785;69796.35;458226.355;91994.85;269423.337;20614.439;99176.155;45049.677;434263.608;23962.747;Agricultura, inclusive apoio à agricultura e a pós colheita;Pecuária, inclusive apoio à pecuária;Demais serviços;6;True;81.3;0.815947;276.82;290.2;4.921747;4.0;;81.3;0.815947;276.82;290.2;4.921747;4.0;;92.0;0.923104;249.86;251.24;5.018333;4.6;;91.5;0.917643;249.86;251.24;5.018333;4.6;;96.0;0.962468;228.04;224.27;6.393598;6.2;;97.4;0.975289;228.04;224.27;6.393598;6.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;43;RS;Rio Grande do Sul;4300059;Água Santa;418737.672;107039.28;480667.73;122870.07;547412.925;146445.41;158098.364;24609.448;266705.759;28221.107;477634.678;69778.248;Comércio e reparação de veículos automotores e motocicletas;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;6;True;94.5;0.948529;300.28;291.12;5.265014;5.0;;94.5;0.948529;300.28;291.12;5.265014;5.0;;91.0;0.90955;265.77;242.98;5.145833;4.7;;93.2;0.933063;265.77;242.98;5.145833;4.8;;95.0;0.953365;238.6;220.31;6.523124;6.2;;96.7;0.970726;238.6;220.31;6.523124;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;43;RS;Rio Grande do Sul;4300109;Agudo;780151.895;48634.87;648342.377;40422.87;667876.901;40863.74;201172.602;101412.834;195298.233;99024.946;596908.615;70968.286;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;8;True;92.6;0.928987;298.87;302.54;5.416169;5.0;;92.6;0.928987;298.87;302.54;5.416169;5.0;;88.2;0.877475;259.73;264.23;5.399333;4.7;;86.0;0.855649;262.14;262.78;5.415333;4.6;;93.2;0.929624;244.24;229.57;6.799121;6.3;;92.7;0.9221;238.02;226.97;6.633146;6.1;;97.7;0.981286;270.48;240.55;7.499521;7.4;;97.7;0.97653;255.27;266.91;5.369667;5.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;43;RS;Rio Grande do Sul;4300208;Ajuricaba;383524.803;57072.14;379621.821;56491.34;521060.49;74961.95;247930.517;36130.704;152360.168;44354.687;480776.076;40284.415;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;8;True;87.1;0.872316;289.72;302.41;5.285711;4.6;;87.1;0.872316;289.72;302.41;5.285711;4.6;;96.2;0.961596;265.83;266.87;5.545;5.3;;95.0;0.945642;224.16;246.92;4.518;4.3;;99.0;0.990337;251.02;228.41;6.90742;6.8;;98.5;0.985864;251.14;225.73;6.860983;6.8;;100.0;1.0;250.75;234.28;7.008994;7.0;;96.8;0.968757;275.79;271.64;5.7905;5.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;43;RS;Rio Grande do Sul;4300307;Alecrim;153719.013;25105.18;137865.214;22515.96;162073.239;28384.1;61908.999;4543.119;54717.617;32254.157;153423.892;8649.347;Pecuária, inclusive apoio à pecuária;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;6;True;91.1;0.915716;298.92;293.69;5.284386;4.8;;91.1;0.915716;298.92;293.69;5.284386;4.8;;94.3;0.942069;260.82;256.54;5.289333;5.0;;;;;;;;;99.7;0.996553;243.48;223.06;6.666254;6.6;;;;;;;;;100.0;1.0;243.48;223.06;6.666254;6.7;;95.4;0.951297;260.82;256.54;5.289333;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;43;RS;Rio Grande do Sul;4300406;Alegrete;3102027.8;42840.36;2620665.238;36192.53;3079885.857;42485.29;1129604.87;260841.761;1042681.721;431648.217;2864776.569;215109.288;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;8;True;75.8;0.79735;261.86;274.78;4.480796;3.6;;76.6;0.723391;267.46;276.4;4.583699;3.3;;92.4;0.923246;248.81;259.89;5.145;4.8;;91.8;0.919621;243.03;249.4;4.873833;4.5;;95.6;0.956085;217.7;213.51;6.000633;5.7;;93.7;0.934747;209.18;205.15;5.686037;5.3;;96.9;0.969702;222.28;218.01;6.169856;6.0;;92.7;0.926347;250.67;263.26;5.232167;4.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;43;RS;Rio Grande do Sul;4300455;Alegria;136099.35;37277.28;119787.123;32809.4;156623.193;47649.28;75782.485;3775.185;39468.23;27213.882;146239.782;10383.411;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;7;True;81.4;0.819372;281.67;296.62;5.085973;4.2;;81.4;0.819372;281.67;296.62;5.085973;4.2;;95.9;0.959807;269.75;272.03;5.696333;5.5;;93.9;0.943692;258.75;265.8;5.409167;5.1;;98.3;0.983277;237.78;227.82;6.644021;6.5;;96.7;0.963395;225.06;226.53;6.377818;6.1;;;;;;;;;97.6;0.974599;276.12;275.63;5.8625;5.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;43;RS;Rio Grande do Sul;4300471;Almirante Tamandaré do Sul;223166.993;113340.27;267475.401;135843.27;276411.847;142848.5;156681.866;28161.484;52314.033;19604.688;256762.07;19649.777;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Pecuária, inclusive apoio à pecuária;2;True;;;;;;;;;;;;;;;92.2;0.91954;264.88;270.57;5.590833;5.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;93.2;0.906987;264.88;270.57;5.590833;5.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;43;RS;Rio Grande do Sul;4300505;Alpestre;302869.447;42555.77;256623.881;36057.87;196383.735;33370.22;67275.681;25565.628;44935.29;50266.926;188043.524;8340.21;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;8;True;97.2;0.972097;265.56;273.61;4.515248;4.4;;97.2;0.972097;265.56;273.61;4.515248;4.4;;99.7;0.996973;274.29;273.92;5.8035;5.8;;99.5;0.995695;273.03;273.74;5.7795;5.8;;100.0;1.0;257.75;241.83;7.279855;7.3;;100.0;1.0;265.7;248.62;7.555027;7.6;;100.0;1.0;249.01;234.35;6.977061;7.0;;100.0;1.0;275.95;274.16;5.835167;5.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;43;RS;Rio Grande do Sul;4300554;Alto Alegre;72441.818;40245.45;67859.366;37699.65;106141.567;66755.7;62503.016;2952.186;20172.453;15898.809;101526.464;4615.103;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;6;True;71.4;0.711672;290.87;304.82;5.337941;3.8;;71.4;0.711672;290.87;304.82;5.337941;3.8;;100.0;1.0;258.66;267.99;5.444167;5.4;;;;;;;;;98.4;0.988931;243.6;228.95;6.775635;6.7;;;;;;;;;98.4;0.988931;243.6;228.95;6.775635;6.7;;100.0;1.0;258.66;267.99;5.444167;5.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
