region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_municipal_medio_todos_1_4;performance_indicator_municipal_medio_todos_1_4;saeb_math_score_municipal_medio_todos_1_4;saeb_portuguese_score_municipal_medio_todos_1_4;saeb_standardized_average_score_municipal_medio_todos_1_4;ideb_municipal_medio_todos_1_4;ideb_projection_municipal_medio_todos_1_4;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_federal_fundamental_iniciais_1_5;performance_indicator_federal_fundamental_iniciais_1_5;saeb_math_score_federal_fundamental_iniciais_1_5;saeb_portuguese_score_federal_fundamental_iniciais_1_5;saeb_standardized_average_score_federal_fundamental_iniciais_1_5;ideb_federal_fundamental_iniciais_1_5;ideb_projection_federal_fundamental_iniciais_1_5;approval_rate_federal_fundamental_finais_6_9;performance_indicator_federal_fundamental_finais_6_9;saeb_math_score_federal_fundamental_finais_6_9;saeb_portuguese_score_federal_fundamental_finais_6_9;saeb_standardized_average_score_federal_fundamental_finais_6_9;ideb_federal_fundamental_finais_6_9;ideb_projection_federal_fundamental_finais_6_9
4;Sul;42;SC;Santa Catarina;4200051;Abdon Batista;115985.219;44644.04;110319.136;42463.1;75130.849;29649.11;29846.495;3426.206;16052.332;22296.53;71621.562;3509.287;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Pecuária, inclusive apoio à pecuária;6;True;89.5;0.884371;251.07;241.2;4.871167;4.3;;89.5;0.884371;251.07;241.2;4.871167;4.3;;91.8;0.915571;257.46;260.13;4.199687;3.8;;91.8;0.915571;257.46;260.13;4.199687;3.8;;98.9;0.986287;238.94;233.7;6.773067;6.7;;98.9;0.986287;238.94;233.7;6.773067;6.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;42;SC;Santa Catarina;4200101;Abelardo Luz;1085858.106;62434.34;1018505.521;58561.73;785908.066;43625.2;253354.051;99921.301;278883.447;100027.724;732186.523;53721.543;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;8;True;91.7;0.916728;252.79;254.88;5.127833;4.7;;76.6;0.726855;227.73;235.7;4.3905;3.2;;85.4;0.861139;262.45;267.9;4.386089;3.8;;86.3;0.870168;262.45;267.9;4.386089;3.8;;96.5;0.962745;233.0;219.52;6.40189;6.2;;96.4;0.961408;234.95;221.48;6.47474;6.2;;97.4;0.975593;207.17;193.57;5.437133;5.3;;94.4;0.944469;264.84;264.11;5.4825;5.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;42;SC;Santa Catarina;4200200;Agrolândia;496110.326;45141.98;450052.033;40951.05;396148.384;35497.17;55175.622;127230.682;119960.432;61677.39;364044.127;32104.257;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;5;True;87.9;0.874338;262.26;262.77;5.417167;4.7;;85.3;0.847827;258.97;258.81;5.296333;4.5;;;;;;;;;;;;;;;;96.8;0.967432;238.97;227.64;6.663458;6.4;;96.8;0.967432;238.97;227.64;6.663458;6.4;;;;;;;;;94.5;0.943832;272.29;274.87;5.786;5.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;42;SC;Santa Catarina;4200309;Agronômica;279405.695;46144.62;234769.166;38772.78;232893.071;41812.04;69700.205;46955.272;58194.749;32887.083;207737.308;25155.763;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Indústrias de transformação;4;True;;;;;;;;;;;;;;;90.2;0.898233;268.53;266.62;4.45232;4.0;;90.2;0.898233;268.53;266.62;4.45232;4.0;;99.4;0.994272;218.78;203.23;5.834334;5.8;;;;;;;;;92.9;0.929;218.78;203.23;5.834334;5.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;42;SC;Santa Catarina;4200408;Água Doce;747811.766;114906.54;755266.607;116052.03;651091.671;90934.59;194892.198;226011.45;145766.059;47717.035;614386.741;36704.931;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;6;True;89.5;0.897653;248.55;247.53;4.934667;4.4;;90.9;0.910378;248.55;247.53;4.934667;4.5;;90.0;0.901887;285.25;265.81;4.675026;4.2;;90.0;0.901887;285.25;265.81;4.675026;4.2;;96.7;0.968446;229.82;226.97;6.476658;6.3;;96.7;0.968446;229.82;226.97;6.476658;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;42;SC;Santa Catarina;4200507;Águas de Chapecó;240633.331;39866.36;159833.2;26479.99;137706.696;21043.2;51528.909;8299.492;36815.471;35180.063;131823.934;5882.761;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços;5;True;85.0;0.852654;258.55;243.63;5.036333;4.3;;85.0;0.852654;258.55;243.63;5.036333;4.3;;;;;;;;;;;;;;;;97.9;0.979345;195.2;188.9;5.123789;5.0;;100.0;1.0;200.83;205.93;5.540868;5.5;;96.7;0.967615;193.91;185.02;5.028625;4.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;42;SC;Santa Catarina;4200556;Águas Frias;183331.993;64576.26;206975.31;72904.3;163075.085;69660.44;31273.407;29827.735;63111.56;18040.967;142253.668;20821.417;Comércio e reparação de veículos automotores e motocicletas;Demais serviços;Pecuária, inclusive apoio à pecuária;4;True;87.9;0.872953;242.76;240.45;4.720167;4.1;;87.9;0.872953;242.76;240.45;4.720167;4.1;;;;;;;;;;;;;;;;99.5;0.996141;258.88;243.84;7.337965;7.3;;99.5;0.996141;258.88;243.84;7.337965;7.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;42;SC;Santa Catarina;4200606;Águas Mornas;281792.179;41790.33;211415.892;31353.39;199589.555;30031.53;51584.999;22262.914;77980.415;35813.706;187642.035;11947.519;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;7;True;91.9;0.90415;258.91;254.04;5.215833;4.7;;91.9;0.90415;258.91;254.04;5.215833;4.7;;90.4;0.903093;279.33;263.3;4.554305;4.1;;90.4;0.903093;279.33;263.3;4.554305;4.1;;99.8;0.997984;241.85;238.23;6.910965;6.9;;99.7;0.997168;249.48;246.11;7.199849;7.2;;100.0;1.0;225.74;221.6;6.301159;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;42;SC;Santa Catarina;4200705;Alfredo Wagner;414786.613;39575.1;352092.918;33593.45;336468.535;33195.4;153640.895;17235.244;108411.334;43305.384;322592.858;13875.677;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;5;True;90.7;0.904993;252.04;237.11;4.819167;4.4;;89.9;0.895228;252.04;237.11;4.819167;4.3;;;;;;;;;;;;;;;;97.2;0.974001;232.7;216.9;6.348529;6.2;;97.3;0.974476;221.89;211.73;6.048231;5.9;;97.0;0.97305;244.37;222.48;6.672693;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;Sul;42;SC;Santa Catarina;4200754;Alto Bela Vista;94012.018;50653.03;82056.61;44211.54;78996.026;41251.19;31860.51;9183.349;16673.616;16834.175;74551.651;4444.375;Pecuária, inclusive apoio à pecuária;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;6;True;91.6;0.911824;289.71;278.31;6.133667;5.6;;91.6;0.911824;289.71;278.31;6.133667;5.6;;96.6;0.966192;316.03;306.1;5.710473;5.5;;96.6;0.966192;316.03;306.1;5.710473;5.5;;99.0;0.990017;232.57;219.64;6.395866;6.3;;99.0;0.990017;232.57;219.64;6.395866;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
