region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_federal_fundamental_finais_6_9;performance_indicator_federal_fundamental_finais_6_9;saeb_math_score_federal_fundamental_finais_6_9;saeb_portuguese_score_federal_fundamental_finais_6_9;saeb_standardized_average_score_federal_fundamental_finais_6_9;ideb_federal_fundamental_finais_6_9;ideb_projection_federal_fundamental_finais_6_9
2;Nordeste;28;SE;Sergipe;2800100;Amparo do São Francisco;49411.591;22770.32;39348.389;18132.9;37966.816;15912.33;1991.836;3576.698;6625.269;23763.737;35957.539;2009.276;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;6;True;86.2;0.875044;208.02;206.96;5.696809;5.0;;86.2;0.875044;208.02;206.96;5.696809;5.0;;69.1;0.688603;260.37;252.85;5.220333;3.6;;69.1;0.688603;260.37;252.85;5.220333;3.6;;98.5;0.988753;251.6;270.71;4.275767;4.2;;98.5;0.988753;251.6;270.71;4.275767;4.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;28;SE;Sergipe;2800209;Aquidabã;362299.329;17997.09;293234.442;14566.31;287874.395;13207.67;49086.217;14564.801;81227.715;127160.343;272039.076;15835.318;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;8;True;94.8;0.948846;173.22;163.68;4.245778;4.0;;94.6;0.952419;189.32;176.93;4.793939;4.6;;78.9;0.7846;234.22;242.14;4.606;3.6;;74.0;0.739363;234.03;233.2;4.453833;3.3;;91.9;0.920447;254.91;256.59;4.110879;3.8;;91.9;0.920447;254.91;256.59;4.110879;3.8;;87.1;0.872857;234.27;244.43;4.645;4.1;;93.6;0.939839;201.39;186.87;5.20501;4.9;;;;;;;;;;;;;;;
2;Nordeste;28;SE;Sergipe;2800308;Aracaju;22291877.481;36983.19;20604498.178;34183.76;18405677.788;27364.4;3330.158;1850430.687;10683341.648;3511932.57;16049035.063;2356642.725;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;8;True;98.8;0.987532;201.83;192.01;5.306861;5.2;;98.5;0.985676;201.68;193.06;5.32309;5.2;;88.3;0.882935;240.54;246.93;4.791167;4.2;;91.4;0.916523;238.29;245.33;4.727;4.3;;88.9;0.895187;262.34;267.35;4.37631;3.9;;89.1;0.897395;260.7;265.77;4.329624;3.9;;86.7;0.866405;241.53;247.64;4.8195;4.2;;98.1;0.982907;201.45;194.68;5.348155;5.3;;;;;;;;;;;;;;;
2;Nordeste;28;SE;Sergipe;2800407;Arauá;203786.827;19750.61;153674.521;14893.83;140121.885;14240.03;34309.894;7663.025;27264.771;62856.674;132094.364;8027.521;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;7;True;96.8;0.968348;192.57;174.89;4.818871;4.7;;96.8;0.968348;192.57;174.89;4.818871;4.7;;91.4;0.913912;232.68;234.51;4.453167;4.1;;88.2;0.883325;224.29;216.51;4.013333;3.5;;95.3;0.955847;243.2;244.02;3.758239;3.6;;95.3;0.955847;243.2;244.02;3.758239;3.6;;100.0;1.0;239.45;249.04;4.808167;4.8;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;28;SE;Sergipe;2800506;Areia Branca;353833.617;19569.36;282928.543;15647.84;252263.149;13400.43;46114.241;15837.316;64573.113;108155.226;234679.896;17583.253;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;5;True;88.5;0.87601;184.24;173.91;4.642083;4.1;;88.5;0.87601;184.24;173.91;4.642083;4.1;;76.5;0.765929;228.63;235.13;4.396;3.4;;74.1;0.73746;226.75;233.3;4.334167;3.2;;;;;;;;;;;;;;;;87.4;0.871256;237.03;243.28;4.671833;4.1;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;28;SE;Sergipe;2800605;Barra dos Coqueiros;2478981.558;59718.67;2283499.222;55009.5;2581591.798;82114.31;3614.258;1756682.227;214610.177;209915.431;2184822.093;396769.705;Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;5;True;93.7;0.938261;197.24;188.52;5.155811;4.8;;93.9;0.940314;197.24;188.52;5.155811;4.8;;80.6;0.803808;232.05;234.52;4.442833;3.6;;79.0;0.786947;230.97;231.46;4.373833;3.4;;;;;;;;;;;;;;;;86.6;0.871524;237.84;251.07;4.815167;4.2;;;;;;;;;;;;;;;;;;;;;;
2;Nordeste;28;SE;Sergipe;2800670;Boquim;436636.496;17723.51;365383.428;14830.08;333080.032;12345.44;27215.269;12256.108;115890.561;148606.148;303968.086;29111.946;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;8;True;90.0;0.901069;188.17;183.19;4.885811;4.4;;91.2;0.913652;192.06;186.68;5.023502;4.6;;78.9;0.790674;240.93;243.66;4.743167;3.8;;77.1;0.773848;236.46;238.26;4.578667;3.5;;98.9;0.989613;272.12;272.65;4.593011;4.5;;98.9;0.989613;272.12;272.65;4.593011;4.5;;89.4;0.892574;259.21;265.74;5.415833;4.8;;100.0;1.0;202.88;196.39;5.406536;5.4;;;;;;;;;;;;;;;
2;Nordeste;28;SE;Sergipe;2800704;Brejo Grande;122925.634;15677.29;108239.831;13804.34;95886.083;11420.45;12858.358;4143.003;19533.963;55138.924;91674.248;4211.835;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;8;True;88.4;0.872243;164.26;159.86;4.005331;3.5;;89.7;0.895834;176.77;171.07;4.44789;4.0;;86.8;0.870678;228.42;231.57;4.333167;3.8;;83.2;0.855884;223.73;230.22;4.2325;3.6;;90.9;0.917552;244.49;243.74;3.772165;3.5;;90.9;0.917552;244.49;243.74;3.772165;3.5;;90.7;0.903971;230.89;232.29;4.386333;4.0;;98.8;0.988404;192.52;185.17;5.004826;4.9;;;;;;;;;;;;;;;
2;Nordeste;28;SE;Sergipe;2801009;Campo do Brito;354386.358;19526.5;277079.53;15266.93;237677.001;12970.1;18999.677;26048.874;72771.467;102397.888;220217.906;17459.095;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;8;True;89.8;0.900559;189.45;182.5;4.897693;4.4;;90.9;0.916464;193.17;180.46;4.931594;4.5;;84.8;0.847779;241.87;246.83;4.811667;4.1;;68.9;0.710769;239.79;245.69;4.758;3.4;;88.2;0.896272;257.71;264.4;4.267121;3.8;;88.2;0.896272;257.71;264.4;4.267121;3.8;;89.8;0.895725;242.35;247.09;4.824;4.3;;93.9;0.949155;196.64;178.56;4.96327;4.7;;;;;;;;;;;;;;;
2;Nordeste;28;SE;Sergipe;2801108;Canhoba;95134.774;25094.9;77113.345;20341.16;84436.411;21093.28;33967.864;3699.28;12785.477;29053.053;79505.675;4930.736;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;6;True;89.2;0.900533;214.62;188.99;5.496036;4.9;;89.2;0.900533;214.62;188.99;5.496036;4.9;;86.3;0.873163;231.29;238.16;4.490833;3.9;;83.3;0.846989;230.49;235.58;4.4345;3.8;;99.1;0.99187;252.47;254.65;4.047567;4.0;;99.1;0.99187;252.47;254.65;4.047567;4.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
