region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4;approval_rate_municipal_medio_todos_1_4;performance_indicator_municipal_medio_todos_1_4;saeb_math_score_municipal_medio_todos_1_4;saeb_portuguese_score_municipal_medio_todos_1_4;saeb_standardized_average_score_municipal_medio_todos_1_4;ideb_municipal_medio_todos_1_4;ideb_projection_municipal_medio_todos_1_4;approval_rate_federal_fundamental_iniciais_1_5;performance_indicator_federal_fundamental_iniciais_1_5;saeb_math_score_federal_fundamental_iniciais_1_5;saeb_portuguese_score_federal_fundamental_iniciais_1_5;saeb_standardized_average_score_federal_fundamental_iniciais_1_5;ideb_federal_fundamental_iniciais_1_5;ideb_projection_federal_fundamental_iniciais_1_5
3;Sudeste;35;SP;São Paulo;3500105;Adamantina;1705894.987;49179.66;1542108.768;44457.83;1370865.929;38997.12;54224.142;178323.41;785582.034;228217.171;1246346.757;124519.171;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;6;True;95.2;0.953572;278.15;289.92;4.936235;4.7;;95.2;0.953572;278.15;289.92;4.936235;4.7;;98.7;0.986973;268.13;262.63;5.512667;5.4;;98.7;0.986973;268.13;262.63;5.512667;5.4;;99.8;0.998396;239.75;215.83;6.463616;6.5;;99.8;0.998396;239.75;215.83;6.463616;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;35;SP;São Paulo;3500204;Adolfo;215282.976;49478.96;152744.965;35105.71;115489.988;32578.28;22826.148;17782.937;42622.327;27140.209;110371.621;5118.367;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;99.0;0.990143;280.04;285.4;4.895115;4.8;;99.0;0.990143;280.04;285.4;4.895115;4.8;;99.0;0.988876;276.86;273.79;5.844167;5.8;;;;;;;;;100.0;1.0;248.39;228.17;6.852865;6.9;;100.0;1.0;248.39;228.17;6.852865;6.9;;99.0;0.988876;276.86;273.79;5.844167;5.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;35;SP;São Paulo;3500303;Aguaí;1773842.732;55308.14;1538788.797;47979.2;1314737.257;35551.7;121795.919;358840.73;437984.526;151739.51;1070360.685;244376.572;Demais serviços;Indústrias de transformação;Administração, defesa, educação e saúde públicas e seguridade social;8;True;89.0;0.899118;262.67;273.83;4.477951;4.0;;89.0;0.899118;262.67;273.83;4.477951;4.0;;97.2;0.971965;258.03;258.69;5.278667;5.1;;97.2;0.970323;249.7;248.27;4.966167;4.8;;97.6;0.97697;220.88;211.54;6.025502;5.9;;97.3;0.972809;220.95;211.37;6.023747;5.9;;97.3;0.973765;272.74;277.09;5.8305;5.7;;100.0;1.0;220.39;212.79;6.038878;6.0;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;35;SP;São Paulo;3500402;Águas da Prata;272358.712;36960.06;237447.327;32222.46;209003.992;25297.02;25096.376;25550.804;106278.688;36922.718;193848.586;15155.406;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;6;True;90.2;0.904626;276.78;290.01;4.918341;4.4;;90.2;0.904626;276.78;290.01;4.918341;4.4;;95.7;0.956735;273.93;277.15;5.851333;5.6;;95.7;0.956735;273.93;277.15;5.851333;5.6;;97.5;0.976202;232.27;222.85;6.448505;6.3;;97.5;0.976202;232.27;222.85;6.448505;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;35;SP;São Paulo;3500501;Águas de Lindóia;801114.539;44680.12;709589.578;39799.74;585603.941;30971.23;10298.965;41438.678;372529.721;114950.716;539218.08;46385.86;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;8;True;89.2;0.904564;286.93;295.49;5.142933;4.7;;89.2;0.904564;286.93;295.49;5.142933;4.7;;93.4;0.932694;284.22;282.02;6.104;5.7;;99.4;0.992949;284.06;279.58;6.060667;6.0;;94.7;0.944903;258.0;236.81;7.193353;6.8;;94.2;0.940029;256.83;234.03;7.12048;6.7;;89.9;0.897075;284.31;283.32;6.127167;5.5;;100.0;1.0;263.21;249.28;7.519508;7.5;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;35;SP;São Paulo;3500550;Águas de Santa Bárbara;375561.879;52328.53;254816.779;35504.64;217295.581;35378.64;70378.677;9944.378;82958.154;41021.111;204302.32;12993.261;Demais serviços;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;6;True;93.0;0.937247;271.23;275.34;4.620781;4.3;;93.0;0.937247;271.23;275.34;4.620781;4.3;;98.9;0.988498;281.34;275.42;5.946;5.9;;98.9;0.988498;281.34;275.42;5.946;5.9;;100.0;1.0;233.28;214.42;6.314507;6.3;;100.0;1.0;233.28;214.42;6.314507;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;35;SP;São Paulo;3500600;Águas de São Pedro;185389.984;66687.04;160664.986;57793.16;147855.135;41208.23;0.0;8858.841;98194.675;31514.802;138568.318;9286.817;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;6;True;99.2;0.994268;278.75;288.43;4.922357;4.9;;99.2;0.994268;278.75;288.43;4.922357;4.9;;99.2;0.992327;305.35;290.32;6.5945;6.5;;;;;;;;;99.3;0.99313;254.37;238.95;7.162988;7.1;;99.3;0.99313;254.37;238.95;7.162988;7.1;;99.2;0.992327;305.35;290.32;6.5945;6.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;35;SP;São Paulo;3500709;Agudos;3415808.553;90653.09;2685446.015;71269.8;2638622.611;70209.74;85373.367;1120495.303;780808.117;207612.863;2194289.65;444332.962;Indústrias de transformação;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;6;True;94.0;0.939831;259.48;271.61;4.399914;4.1;;94.0;0.939831;259.48;271.61;4.399914;4.1;;97.0;0.969786;251.26;252.23;5.058167;4.9;;97.0;0.969786;251.26;252.23;5.058167;4.9;;97.7;0.976259;237.22;218.96;6.472243;6.3;;97.7;0.976259;237.22;218.96;6.472243;6.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;35;SP;São Paulo;3500758;Alambari;160252.134;26095.45;133707.111;21772.86;129389.561;20765.46;35450.074;11402.717;42753.369;32355.482;121961.643;7427.919;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;94.7;0.950083;254.52;262.43;4.192826;4.0;;94.7;0.950083;254.52;262.43;4.192826;4.0;;97.9;0.97902;254.11;261.69;5.263333;5.2;;97.9;0.97902;254.11;261.69;5.263333;5.2;;96.3;0.962282;233.62;221.36;6.447177;6.2;;96.3;0.962282;233.62;221.36;6.447177;6.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;Sudeste;35;SP;São Paulo;3500808;Alfredo Marcondes;158136.921;35576.36;129964.952;29238.46;120354.905;28649.11;9081.353;21154.99;35648.145;24617.494;90501.981;29852.924;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;Indústrias de transformação;6;True;94.5;0.955222;254.49;256.87;4.109171;3.9;;94.5;0.955222;254.49;256.87;4.109171;3.9;;95.8;0.951194;253.89;258.93;5.213667;5.0;;95.8;0.951194;253.89;258.93;5.213667;5.0;;100.0;1.0;218.14;201.02;5.781939;5.8;;;;;;;;;;;;;;;;100.0;1.0;218.14;201.02;5.781939;5.8;;;;;;;;;;;;;;;;;;;;;;
