region_code;region_name;state_code;state_abbr;state_name;city_code;city_name;gdp_2023_current_prices_thousand_reais;gdp_per_capita_2023_current_reais;gdp_2022_current_prices_thousand_reais;gdp_per_capita_2022_current_reais;gdp_2021_current_prices_thousand_reais;gdp_per_capita_2021_current_reais;gross_value_added_agriculture_2021_current_prices_thousand_reais;gross_value_added_industry_2021_current_prices_thousand_reais;gross_value_added_services_2021_current_prices_thousand_reais;gross_value_added_public_administration_2021_current_prices_thousand_reais;gross_value_added_total_2021_current_prices_thousand_reais;taxes_less_subsidies_2021_current_prices_thousand_reais;main_economic_activity_2021;second_main_economic_activity_2021;third_main_economic_activity_2021;total_school_records;has_any_school_record;approval_rate_municipal_fundamental_iniciais_1_5;performance_indicator_municipal_fundamental_iniciais_1_5;saeb_math_score_municipal_fundamental_iniciais_1_5;saeb_portuguese_score_municipal_fundamental_iniciais_1_5;saeb_standardized_average_score_municipal_fundamental_iniciais_1_5;ideb_municipal_fundamental_iniciais_1_5;ideb_projection_municipal_fundamental_iniciais_1_5;approval_rate_publica_fundamental_iniciais_1_5;performance_indicator_publica_fundamental_iniciais_1_5;saeb_math_score_publica_fundamental_iniciais_1_5;saeb_portuguese_score_publica_fundamental_iniciais_1_5;saeb_standardized_average_score_publica_fundamental_iniciais_1_5;ideb_publica_fundamental_iniciais_1_5;ideb_projection_publica_fundamental_iniciais_1_5;approval_rate_estadual_medio_todos_1_4;performance_indicator_estadual_medio_todos_1_4;saeb_math_score_estadual_medio_todos_1_4;saeb_portuguese_score_estadual_medio_todos_1_4;saeb_standardized_average_score_estadual_medio_todos_1_4;ideb_estadual_medio_todos_1_4;ideb_projection_estadual_medio_todos_1_4;approval_rate_publica_medio_todos_1_4;performance_indicator_publica_medio_todos_1_4;saeb_math_score_publica_medio_todos_1_4;saeb_portuguese_score_publica_medio_todos_1_4;saeb_standardized_average_score_publica_medio_todos_1_4;ideb_publica_medio_todos_1_4;ideb_projection_publica_medio_todos_1_4;approval_rate_estadual_fundamental_finais_6_9;performance_indicator_estadual_fundamental_finais_6_9;saeb_math_score_estadual_fundamental_finais_6_9;saeb_portuguese_score_estadual_fundamental_finais_6_9;saeb_standardized_average_score_estadual_fundamental_finais_6_9;ideb_estadual_fundamental_finais_6_9;ideb_projection_estadual_fundamental_finais_6_9;approval_rate_publica_fundamental_finais_6_9;performance_indicator_publica_fundamental_finais_6_9;saeb_math_score_publica_fundamental_finais_6_9;saeb_portuguese_score_publica_fundamental_finais_6_9;saeb_standardized_average_score_publica_fundamental_finais_6_9;ideb_publica_fundamental_finais_6_9;ideb_projection_publica_fundamental_finais_6_9;approval_rate_municipal_fundamental_finais_6_9;performance_indicator_municipal_fundamental_finais_6_9;saeb_math_score_municipal_fundamental_finais_6_9;saeb_portuguese_score_municipal_fundamental_finais_6_9;saeb_standardized_average_score_municipal_fundamental_finais_6_9;ideb_municipal_fundamental_finais_6_9;ideb_projection_municipal_fundamental_finais_6_9;approval_rate_estadual_fundamental_iniciais_1_5;performance_indicator_estadual_fundamental_iniciais_1_5;saeb_math_score_estadual_fundamental_iniciais_1_5;saeb_portuguese_score_estadual_fundamental_iniciais_1_5;saeb_standardized_average_score_estadual_fundamental_iniciais_1_5;ideb_estadual_fundamental_iniciais_1_5;ideb_projection_estadual_fundamental_iniciais_1_5;approval_rate_federal_medio_todos_1_4;performance_indicator_federal_medio_todos_1_4;saeb_math_score_federal_medio_todos_1_4;saeb_portuguese_score_federal_medio_todos_1_4;saeb_standardized_average_score_federal_medio_todos_1_4;ideb_federal_medio_todos_1_4;ideb_projection_federal_medio_todos_1_4
1;Norte;17;TO;Tocantins;1700251;Abreulândia;141930.063;55097.07;109870.948;42651.77;112134.759;42979.98;74730.016;2743.122;9664.574;23144.709;110282.421;1852.338;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;6;True;100.0;1.0;219.95;212.37;6.022845;6.0;;100.0;1.0;219.95;212.37;6.022845;6.0;;97.8;0.977028;247.63;246.89;3.863422;3.8;;97.8;0.977028;247.63;246.89;3.863422;3.8;;100.0;1.0;246.46;248.73;4.919833;4.9;;100.0;1.0;246.46;248.73;4.919833;4.9;;;;;;;;;;;;;;;;;;;;;;
1;Norte;17;TO;Tocantins;1700301;Aguiarnópolis;226238.275;50308.71;224319.851;49882.11;165479.833;23475.65;17292.131;21956.214;45844.36;51230.851;136323.556;29156.277;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;Comércio e reparação de veículos automotores e motocicletas;7;True;91.8;0.913124;191.75;173.76;4.782677;4.4;;91.8;0.913124;191.75;173.76;4.782677;4.4;;91.2;0.911446;259.26;258.39;4.19892;3.8;;91.2;0.911446;259.26;258.39;4.19892;3.8;;97.1;0.974535;255.04;254.22;5.154333;5.0;;91.9;0.917132;252.93;254.34;5.121167;4.7;;84.7;0.842475;243.07;254.9;4.966167;4.2;;;;;;;;;;;;;;;
1;Norte;17;TO;Tocantins;1700350;Aliança do Tocantins;423069.71;82197.34;233447.077;45355.95;616571.342;116268.4;472908.832;6296.059;72123.267;43472.902;594801.059;21770.282;Produção florestal, pesca e aquicultura;Administração, defesa, educação e saúde públicas e seguridade social;Comércio e reparação de veículos automotores e motocicletas;8;True;98.4;0.979512;209.83;191.82;5.456078;5.3;;98.0;0.980442;230.2;206.09;6.104273;6.0;;99.4;0.994949;272.49;261.39;4.429645;4.4;;99.4;0.994949;272.49;261.39;4.429645;4.4;;99.1;0.991172;253.84;249.84;5.061333;5.0;;98.7;0.984827;255.6;254.4;5.166667;5.1;;97.9;0.959955;259.23;263.8;5.383833;5.2;;97.1;0.96973;254.49;223.1;6.877096;6.7;;;;;;;;
1;Norte;17;TO;Tocantins;1700400;Almas;336120.393;51718.79;273731.679;42119.05;273740.577;39643.82;183498.054;6912.179;24691.477;51962.89;267064.6;6675.977;Produção florestal, pesca e aquicultura;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;6;True;100.0;1.0;193.1;176.23;4.853349;4.9;;100.0;1.0;193.1;176.23;4.853349;4.9;;100.0;1.0;245.91;252.26;3.919654;3.9;;100.0;1.0;245.91;252.26;3.919654;3.9;;99.8;0.997988;235.53;233.69;4.487;4.5;;99.8;0.997988;235.53;233.69;4.487;4.5;;;;;;;;;;;;;;;;;;;;;;
1;Norte;17;TO;Tocantins;1700707;Alvorada;886077.059;100667.7;628959.278;71456.41;474111.349;56569.78;152194.498;42885.209;146123.308;65048.041;406251.056;67860.294;Agricultura, inclusive apoio à agricultura e a pós colheita;Demais serviços;Administração, defesa, educação e saúde públicas e seguridade social;8;True;99.6;0.996178;215.13;206.38;5.821951;5.8;;99.6;0.996178;219.52;208.77;5.949184;5.9;;95.8;0.961545;262.7;278.93;4.55472;4.4;;95.8;0.961545;262.7;278.93;4.55472;4.4;;99.6;0.996207;266.46;266.86;5.555333;5.5;;99.5;0.99421;257.3;263.36;5.344333;5.3;;99.4;0.99295;251.52;261.16;5.211333;5.2;;100.0;1.0;230.35;214.65;6.262772;6.3;;;;;;;;
1;Norte;17;TO;Tocantins;1701002;Ananás;199525.611;19324.51;173648.609;16818.27;159769.353;16933.69;42526.925;4488.129;34258.264;69557.592;150830.909;8938.444;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços;6;True;97.1;0.964123;220.98;204.44;5.898319;5.7;;97.1;0.964123;220.98;204.44;5.898319;5.7;;90.8;0.904856;262.21;256.65;4.214305;3.8;;90.8;0.904856;262.21;256.65;4.214305;3.8;;97.2;0.970578;244.27;249.07;4.889;4.7;;97.2;0.970578;244.27;249.07;4.889;4.7;;;;;;;;;;;;;;;;;;;;;;
1;Norte;17;TO;Tocantins;1701051;Angico;54433.374;18926.76;49246.946;17123.42;48276.163;13892.42;10233.649;1661.377;6295.633;28757.975;46948.634;1327.529;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Demais serviços;6;True;98.6;0.985618;192.65;190.19;5.098579;5.0;;98.6;0.985618;192.65;190.19;5.098579;5.0;;100.0;1.0;272.64;266.26;4.504656;4.5;;100.0;1.0;272.64;266.26;4.504656;4.5;;96.7;0.965886;241.92;232.16;4.568;4.4;;96.7;0.965886;241.92;232.16;4.568;4.4;;;;;;;;;;;;;;;;;;;;;;
1;Norte;17;TO;Tocantins;1701101;Aparecida do Rio Negro;283246.785;58329.24;288442.148;59399.12;255912.273;52216.34;161632.6;6607.715;38178.025;41229.371;247647.711;8264.562;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Demais serviços;7;True;100.0;1.0;190.81;185.98;4.98692;5.0;;100.0;1.0;190.81;185.98;4.98692;5.0;;95.8;0.95806;241.33;245.55;3.754879;3.6;;95.8;0.95806;241.33;245.55;3.754879;3.6;;95.8;0.961811;240.08;236.27;4.605833;4.4;;98.3;0.982783;239.12;239.34;4.641;4.6;;99.6;0.995951;238.12;242.52;4.677333;4.7;;;;;;;;;;;;;;;
1;Norte;17;TO;Tocantins;1701309;Aragominas;113907.856;21532.68;93577.024;17689.42;98441.127;17255.24;43333.847;1784.093;8618.104;42907.949;96643.993;1797.134;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;Agricultura, inclusive apoio à agricultura e a pós colheita;6;True;94.2;0.939175;188.19;169.76;4.64201;4.4;;94.2;0.939175;188.19;169.76;4.64201;4.4;;98.8;0.987663;252.25;255.85;4.062441;4.0;;98.8;0.987663;252.25;255.85;4.062441;4.0;;98.5;0.984981;223.84;232.77;4.276833;4.2;;98.5;0.984981;223.84;232.77;4.276833;4.2;;;;;;;;;;;;;;;;;;;;;;
1;Norte;17;TO;Tocantins;1701903;Araguacema;411910.607;69497.32;347916.932;58700.34;240245.613;33261.2;148349.98;6923.334;24594.706;54962.666;234830.686;5414.927;Agricultura, inclusive apoio à agricultura e a pós colheita;Administração, defesa, educação e saúde públicas e seguridade social;Pecuária, inclusive apoio à pecuária;4;True;100.0;1.0;196.15;185.22;5.07501;5.1;;100.0;1.0;196.15;185.22;5.07501;5.1;;;;;;;;;;;;;;;;97.5;0.975269;228.86;226.84;4.261667;4.2;;98.2;0.981824;228.86;226.84;4.261667;4.2;;;;;;;;;;;;;;;;;;;;;;
